pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp
68.05,181.65,43.34,26.41,120.39,3.2,38.96,36.49,2023-12-21 10:15:00
68.05,181.65,43.51,25.94,119.03,2.88,38.79,35.99,2023-12-21 10:30:00
68.32,177.99,43.61,25.01,121.01,2.99,38.33,36.07,2023-12-21 10:45:00
72.17,126.74,43.71,25.8,120.33,2.83,38.82,36.7,2023-12-21 11:00:00
72.17,126.74,43.59,26.44,120.72,3.54,39.11,36.79,2023-12-21 11:15:00
72.17,126.74,43.48,25.99,124.14,3.56,38.8,37.03,2023-12-21 11:30:00
69.89,124.88,42.73,26.3,120.41,3.23,38.56,37.74,2023-12-21 11:45:00
38.02,98.87,42.88,25.3,121.43,3.58,38.08,36.89,2023-12-21 12:00:00
38.02,98.87,42.89,25.44,123.24,3.21,38.16,37.46,2023-12-21 12:15:00
38.02,98.87,42.98,25.27,123.64,3.34,38.12,36.64,2023-12-21 12:30:00
36.97,96.97,42.63,27.28,120.14,3.25,39.04,36.42,2023-12-21 12:45:00
22.24,70.39,42.59,26.23,123.44,2.84,38.44,36.33,2023-12-21 13:00:00
22.24,70.39,43.09,26.37,126.03,3.29,38.79,35.37,2023-12-21 13:15:00
22.24,70.39,43.5,24.96,120.62,3.44,38.23,36.22,2023-12-21 13:30:00
22.14,69.65,43.73,24.7,123.3,3.49,38.22,36.21,2023-12-21 13:45:00
20.8,59.26,43.1,25.89,125.83,3.23,38.53,36.08,2023-12-21 14:00:00
20.8,59.26,43.59,25.64,122.62,2.97,38.66,35.65,2023-12-21 14:15:00
20.8,59.26,42.32,26.81,122.47,3.25,38.61,34.66,2023-12-21 14:30:00
19.66,58.76,43.56,25.78,121.35,3.58,38.73,34.14,2023-12-21 14:45:00
3.64,51.81,42.92,25.73,124.16,3.48,38.34,33.89,2023-12-21 15:00:00
56.63,79.34,44.32,30.91,118.57,3.67,42.02,31.15,2023-12-21 15:15:00
56.63,79.34,43.34,25.38,117.93,3.31,38.38,32.56,2023-12-21 15:30:00
52.85,79.69,44.05,25.19,119.85,3.13,38.67,30.75,2023-12-21 15:45:00
,84.61,42.88,25.72,120.62,3.21,38.31,30.85,2023-12-21 16:00:00
,84.61,43.18,24.86,117.18,3.56,38.0,29.95,2023-12-21 16:15:00
,84.61,42.88,26.35,122.9,3.07,38.66,28.66,2023-12-21 16:30:00
0.75,88.31,42.37,26.86,119.08,2.85,38.66,28.5,2023-12-21 16:45:00
11.31,140.14,42.19,26.46,120.85,3.12,38.34,27.98,2023-12-21 17:00:00
11.31,140.14,42.73,26.01,119.32,2.75,38.39,27.77,2023-12-21 17:15:00
11.31,140.14,43.45,26.17,115.44,3.45,38.88,27.46,2023-12-21 17:30:00
13.51,147.24,43.91,26.02,116.48,3.3,39.05,27.08,2023-12-21 17:45:00
44.26,246.57,42.87,25.27,118.85,3.2,38.06,26.95,2023-12-21 18:00:00
44.26,246.57,43.32,26.2,117.77,3.33,38.83,26.77,2023-12-21 18:15:00
44.26,246.57,42.63,26.65,119.43,3.11,38.7,25.94,2023-12-21 18:30:00
46.82,249.79,42.81,26.38,120.61,3.14,38.64,26.42,2023-12-21 18:45:00
82.62,294.93,43.47,25.94,118.23,3.0,38.77,24.96,2023-12-21 19:00:00
82.62,294.93,42.98,25.88,117.41,4.01,38.46,25.3,2023-12-21 19:15:00
82.62,294.93,43.07,25.28,119.39,2.89,38.18,23.72,2023-12-21 19:30:00
83.62,299.27,42.87,25.89,119.29,3.41,38.4,23.05,2023-12-21 19:45:00
97.58,360.09,42.62,27.3,119.03,2.84,39.05,22.31,2023-12-21 20:00:00
97.58,360.09,43.01,26.7,118.37,3.05,38.94,22.13,2023-12-21 20:15:00
97.58,360.09,43.86,24.58,116.39,3.24,38.23,21.5,2023-12-21 20:30:00
99.38,352.34,43.46,26.86,119.46,3.12,39.27,20.9,2023-12-21 20:45:00
124.59,243.89,42.18,26.71,120.04,2.84,38.47,20.62,2023-12-21 21:00:00
124.59,243.89,42.85,25.59,119.69,2.85,38.22,20.4,2023-12-21 21:15:00
124.59,243.89,42.79,26.05,121.4,2.91,38.45,20.48,2023-12-21 21:30:00
121.43,238.23,43.06,25.89,120.94,3.26,38.5,20.01,2023-12-21 21:45:00
77.16,159.03,43.52,24.75,121.51,3.31,38.13,19.51,2023-12-21 22:00:00
77.16,159.03,42.45,27.43,121.3,2.85,39.03,19.1,2023-12-21 22:15:00
77.16,159.03,42.15,26.03,121.23,2.88,38.08,18.99,2023-12-21 22:30:00
74.75,157.05,42.47,26.68,124.02,2.99,38.62,18.84,2023-12-21 22:45:00
40.96,129.38,42.34,25.66,120.63,2.9,37.98,19.56,2023-12-21 23:00:00
40.96,129.38,42.23,27.46,123.77,3.24,38.92,19.04,2023-12-21 23:15:00
40.96,129.38,42.52,26.15,125.21,2.94,38.35,19.08,2023-12-21 23:30:00
40.27,129.68,42.36,25.58,124.09,2.42,37.94,19.54,2023-12-21 23:45:00
30.57,133.86,42.29,26.1,122.03,2.96,38.19,19.85,2023-12-22 00:00:00
30.57,133.86,42.56,27.36,122.04,3.19,39.05,20.19,2023-12-22 00:15:00
30.57,133.86,42.59,25.82,121.61,2.82,38.21,20.75,2023-12-22 00:30:00
31.2,133.97,42.43,26.43,121.28,3.22,38.46,20.34,2023-12-22 00:45:00
40.0,135.46,42.08,27.19,119.65,2.7,38.69,20.41,2023-12-22 01:00:00
40.0,135.46,42.31,26.18,124.46,3.11,38.25,21.04,2023-12-22 01:15:00
40.0,135.46,42.57,26.66,123.22,3.06,38.66,21.03,2023-12-22 01:30:00
39.2,134.4,42.96,25.91,124.41,2.81,38.46,21.07,2023-12-22 01:45:00
27.99,119.5,42.83,26.55,122.93,3.46,38.75,21.69,2023-12-22 02:00:00
27.99,119.5,42.63,26.31,121.61,3.27,38.5,21.66,2023-12-22 02:15:00
27.99,119.5,42.44,26.48,122.15,3.25,38.49,22.41,2023-12-22 02:30:00
28.39,119.56,42.46,26.01,121.4,2.9,38.24,23.73,2023-12-22 02:45:00
34.0,120.47,42.77,26.23,122.48,3.26,38.54,22.59,2023-12-22 03:00:00
34.0,120.47,42.97,25.74,122.11,3.03,38.38,22.65,2023-12-22 03:15:00
34.0,120.47,42.38,25.42,122.87,3.39,37.87,23.64,2023-12-22 03:30:00
33.47,119.97,42.4,26.26,121.06,3.44,38.35,23.8,2023-12-22 03:45:00
25.99,112.96,42.47,26.02,121.22,2.72,38.25,23.82,2023-12-22 04:00:00
25.99,112.96,43.16,25.05,120.65,3.13,38.1,24.21,2023-12-22 04:15:00
25.99,112.96,42.96,26.26,121.11,2.85,38.66,24.81,2023-12-22 04:30:00
25.9,113.15,42.85,25.37,122.34,2.81,38.1,25.15,2023-12-22 04:45:00
24.66,115.74,43.11,26.01,118.48,3.31,38.6,25.54,2023-12-22 05:00:00
24.66,115.74,42.34,26.84,119.52,3.23,38.64,25.21,2023-12-22 05:15:00
24.66,115.74,42.34,26.12,122.84,3.07,38.23,25.97,2023-12-22 05:30:00
24.95,116.91,41.15,26.74,119.58,3.14,37.91,25.65,2023-12-22 05:45:00
28.98,133.3,42.43,25.99,120.88,3.7,38.21,26.39,2023-12-22 06:00:00
28.98,133.3,42.98,25.64,120.59,3.45,38.33,26.24,2023-12-22 06:15:00
28.98,133.3,42.81,25.29,118.07,3.34,38.03,25.99,2023-12-22 06:30:00
28.15,134.71,42.37,25.86,121.18,3.2,38.11,26.26,2023-12-22 06:45:00
16.57,154.38,42.73,26.09,120.57,2.89,38.44,25.92,2023-12-22 07:00:00
16.57,154.38,43.11,24.42,120.57,3.0,37.72,25.91,2023-12-22 07:15:00
16.57,154.38,42.0,27.06,123.7,3.25,38.57,25.44,2023-12-22 07:30:00
18.56,158.27,41.65,25.92,121.35,2.7,37.74,25.12,2023-12-22 07:45:00
46.48,212.77,42.37,24.96,120.53,3.17,37.61,25.37,2023-12-22 08:00:00
46.48,212.77,42.64,25.9,121.59,3.17,38.28,26.17,2023-12-22 08:15:00
46.48,212.77,42.47,26.14,118.14,2.99,38.31,26.52,2023-12-22 08:30:00
48.05,216.57,42.03,25.78,115.52,2.82,37.87,26.0,2023-12-22 08:45:00
70.06,269.7,43.23,25.6,117.12,2.88,38.44,26.75,2023-12-22 09:00:00
70.06,269.7,43.08,25.8,117.14,2.78,38.47,27.24,2023-12-22 09:15:00
70.06,269.7,43.59,25.95,118.97,2.8,38.84,26.97,2023-12-22 09:30:00
72.17,269.98,44.16,25.96,120.82,2.67,39.16,27.51,2023-12-22 09:45:00
101.67,273.93,43.25,25.81,119.08,3.08,38.57,27.8,2023-12-22 10:00:00
101.67,273.93,43.11,26.57,118.15,3.2,38.91,28.31,2023-12-22 10:15:00
101.67,273.93,43.21,25.01,120.75,2.76,38.1,28.77,2023-12-22 10:30:00
94.89,255.93,43.19,25.7,118.74,3.21,38.48,29.03,2023-12-22 10:45:00
,3.95,43.94,26.14,121.19,3.21,39.14,29.85,2023-12-22 11:00:00
,3.95,43.62,26.19,118.46,3.35,38.99,30.3,2023-12-22 11:15:00
,3.95,42.85,25.58,123.65,2.91,38.22,30.54,2023-12-22 11:30:00
2.13,9.13,44.05,25.98,121.79,2.96,39.11,30.32,2023-12-22 11:45:00
31.89,81.62,42.45,25.87,121.72,2.59,38.16,30.99,2023-12-22 12:00:00
31.89,81.62,43.8,25.56,121.46,3.31,38.73,30.78,2023-12-22 12:15:00
31.89,81.62,43.09,26.96,121.06,3.22,39.12,31.88,2023-12-22 12:30:00
32.19,80.95,42.5,25.78,122.31,3.34,38.13,31.79,2023-12-22 12:45:00
36.45,71.54,42.91,26.15,121.14,2.94,38.57,32.03,2023-12-22 13:00:00
36.45,71.54,42.25,28.24,121.71,2.97,39.37,31.83,2023-12-22 13:15:00
36.45,71.54,43.59,25.78,120.48,3.15,38.74,31.9,2023-12-22 13:30:00
35.87,70.57,42.94,25.81,120.71,3.47,38.4,31.22,2023-12-22 13:45:00
27.68,56.96,44.11,25.12,121.88,3.28,38.66,31.82,2023-12-22 14:00:00
27.68,56.96,42.99,26.19,122.54,3.15,38.64,31.99,2023-12-22 14:15:00
27.68,56.96,43.15,25.93,120.47,3.47,38.58,30.86,2023-12-22 14:30:00
26.2,57.52,42.65,27.61,119.24,3.42,39.24,30.53,2023-12-22 14:45:00
5.52,65.29,43.31,25.92,119.03,2.81,38.66,29.26,2023-12-22 15:00:00
5.52,65.29,43.76,25.86,119.06,2.92,38.89,29.85,2023-12-22 15:15:00
5.52,65.29,43.43,25.26,118.47,3.19,38.36,28.13,2023-12-22 15:30:00
5.18,65.66,44.3,25.05,119.32,3.13,38.73,27.48,2023-12-22 15:45:00
0.41,70.84,42.77,25.2,120.72,3.33,37.96,26.8,2023-12-22 16:00:00
0.41,70.84,43.22,26.35,117.37,3.13,38.85,26.03,2023-12-22 16:15:00
0.41,70.84,43.53,25.62,119.13,3.04,38.62,24.98,2023-12-22 16:30:00
2.6,74.15,43.85,24.75,117.62,3.44,38.31,24.42,2023-12-22 16:45:00
33.33,120.46,43.59,26.04,121.0,2.95,38.89,24.08,2023-12-22 17:00:00
33.33,120.46,42.07,27.07,117.95,3.53,38.62,23.85,2023-12-22 17:15:00
33.33,120.46,42.88,26.43,118.18,3.58,38.71,23.26,2023-12-22 17:30:00
33.81,132.69,43.97,25.46,117.68,3.31,38.77,22.72,2023-12-22 17:45:00
40.51,303.93,43.2,25.95,118.76,3.02,38.62,22.28,2023-12-22 18:00:00
40.51,303.93,42.97,25.74,118.08,3.13,38.38,22.63,2023-12-22 18:15:00
40.51,303.93,43.05,26.0,117.75,3.28,38.56,22.48,2023-12-22 18:30:00
44.7,305.59,43.21,26.41,117.23,3.45,38.88,21.33,2023-12-22 18:45:00
103.3,328.77,42.25,27.02,119.68,3.1,38.69,21.25,2023-12-22 19:00:00
