pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
62.34,165.08,0.88,24.61,39.58,2.33,13.81,100.07,36.99,22.14,1.54,73.15,744.8,2024-04-01 16:30:00,4.7,0.12,,0.0,,
57.85,168.33,1.18,32.28,40.43,2.41,18.13,91.77,36.64,23.67,0.74,68.47,744.9,2024-04-01 16:45:00,5.3,0.11,,0.0,,
61.42,178.16,1.34,38.6,51.03,2.28,21.62,82.73,35.91,25.1,0.54,71.47,745.0,2024-04-01 17:00:00,5.01,0.12,,0.0,,
58.15,187.61,1.33,39.82,47.45,2.24,22.26,77.56,34.95,26.73,0.07,88.07,745.0,2024-04-01 17:15:00,4.75,0.11,,0.0,,
55.82,185.06,1.63,50.24,45.53,2.37,28.05,63.94,33.64,30.61,0.04,98.93,745.1,2024-04-01 17:30:00,4.9,0.12,,0.0,,
54.92,188.7,3.13,81.72,41.11,2.76,46.01,38.39,32.18,36.06,,102.07,745.2,2024-04-01 17:45:00,5.44,0.14,,0.0,,
54.49,187.88,3.09,71.97,37.39,2.78,40.79,38.63,31.1,38.27,,60.07,745.3,2024-04-01 18:00:00,5.36,0.14,,0.0,,
54.73,181.25,7.99,108.26,34.58,3.41,64.08,18.82,30.39,42.49,,70.73,745.5,2024-04-01 18:15:00,7.21,0.14,,0.0,,
65.49,147.99,5.25,91.4,33.74,3.43,52.89,17.06,30.08,43.82,,102.08,745.7,2024-04-01 18:30:00,8.78,0.14,,0.0,,
84.96,167.82,9.25,94.85,33.2,3.96,57.97,11.88,29.76,45.4,,96.87,745.8,2024-04-01 18:45:00,11.73,0.11,,0.0,,
114.08,227.86,16.49,111.23,34.54,4.06,72.57,7.83,29.49,47.02,,116.57,746.0,2024-04-01 19:00:00,11.46,0.14,,0.0,,
138.95,288.31,15.08,93.25,30.31,3.84,61.86,7.79,29.29,49.44,,76.6,746.2,2024-04-01 19:15:00,12.16,0.16,,0.0,,
154.14,322.03,13.07,88.59,27.45,3.97,57.75,7.6,29.08,50.56,,80.5,746.4,2024-04-01 19:30:00,12.79,0.18,,0.0,,
162.41,342.08,11.67,85.52,28.77,3.91,54.98,8.46,28.83,50.51,,75.2,746.6,2024-04-01 19:45:00,12.08,0.19,,0.0,,
163.85,348.67,18.19,95.0,27.98,3.82,65.32,5.69,28.54,50.35,0.05,158.33,746.8,2024-04-01 20:00:00,10.15,0.21,,0.0,,
155.31,356.9,47.28,110.78,31.35,4.02,97.36,3.84,28.09,51.98,,96.07,747.0,2024-04-01 20:15:00,9.66,0.21,,0.0,,
150.98,374.26,47.81,107.86,31.5,3.94,96.24,3.45,27.99,53.55,,83.62,747.1,2024-04-01 20:30:00,9.7,0.24,,0.0,,
151.66,399.88,42.04,108.07,43.39,4.04,91.66,3.28,27.75,55.69,,105.93,747.1,2024-04-01 20:45:00,10.5,0.24,,0.0,,
155.84,397.13,43.36,100.41,50.47,4.19,88.66,3.3,27.69,57.16,,161.47,747.2,2024-04-01 21:00:00,10.41,0.27,,0.0,,
155.36,394.07,30.85,101.71,43.27,3.91,79.18,3.27,27.43,57.17,,164.93,747.2,2024-04-01 21:15:00,9.35,0.29,,0.0,,
156.29,381.74,32.03,110.86,39.17,3.71,85.01,2.24,27.23,56.35,,182.31,747.1,2024-04-01 21:30:00,8.55,0.28,,0.0,,
159.05,377.45,61.52,118.68,37.18,4.08,113.14,2.33,27.13,56.74,,210.2,747.1,2024-04-01 21:45:00,8.78,0.3,,0.0,,
153.5,387.85,59.09,109.06,32.43,6.33,106.05,2.07,27.15,58.92,0.21,135.47,747.2,2024-04-01 22:00:00,8.68,0.31,,0.0,,
151.73,430.75,49.81,102.01,25.1,4.93,94.76,2.19,27.11,60.86,,107.2,747.1,2024-04-01 22:15:00,8.88,0.32,,0.0,,
163.71,470.7,45.33,99.11,26.09,4.4,89.57,1.98,26.7,63.33,0.13,158.36,747.1,2024-04-01 22:30:00,8.76,0.33,,0.0,,
178.63,492.66,39.16,95.09,36.33,3.99,82.42,2.49,26.56,63.93,,83.27,747.0,2024-04-01 22:45:00,9.76,0.3,,0.0,,
187.15,500.49,27.85,86.0,41.49,3.93,68.39,2.42,26.58,64.74,,114.29,747.0,2024-04-01 23:00:00,9.67,0.32,,0.0,,
203.51,496.39,19.34,80.25,60.52,3.93,58.41,3.22,26.51,65.28,,248.47,747.0,2024-04-01 23:15:00,9.96,0.32,,0.0,,
199.41,467.49,20.18,74.79,62.03,3.87,56.19,2.68,26.19,67.05,0.03,167.93,746.9,2024-04-01 23:30:00,10.62,0.29,,0.0,,
187.48,423.91,20.34,71.35,56.13,3.73,54.49,2.9,25.71,69.98,,104.85,746.8,2024-04-01 23:45:00,10.23,0.3,,0.0,,
187.17,406.94,18.2,65.01,52.74,3.8,49.38,2.83,25.63,70.09,,80.93,746.7,2024-04-02 00:00:00,11.06,0.3,,0.0,,
191.79,403.87,19.82,66.2,55.26,3.71,51.33,3.17,25.76,67.8,,92.0,746.6,2024-04-02 00:15:00,10.8,0.29,,0.0,,
204.04,400.56,15.7,64.3,54.88,3.55,46.97,3.56,25.61,65.19,0.03,92.0,746.6,2024-04-02 00:30:00,10.62,0.3,,0.0,,
213.11,400.4,14.22,68.21,76.2,3.75,47.84,4.73,25.61,62.54,,87.31,746.5,2024-04-02 00:45:00,12.27,0.29,,0.0,,
229.1,411.92,16.46,71.23,111.78,4.03,51.27,5.29,25.47,61.66,0.06,102.87,746.4,2024-04-02 01:00:00,13.44,0.28,,0.0,,
238.85,405.95,14.61,67.33,115.2,4.07,47.69,4.91,25.44,61.56,,88.2,746.3,2024-04-02 01:15:00,12.93,0.28,,0.0,,
236.59,380.84,11.46,61.69,112.53,3.87,42.13,6.06,25.38,59.49,,92.8,746.2,2024-04-02 01:30:00,11.82,0.3,,0.0,,
233.59,375.01,11.35,57.93,90.39,3.7,40.04,5.22,25.25,60.88,,91.85,746.1,2024-04-02 01:45:00,11.22,0.3,,0.0,,
224.04,362.44,10.84,60.29,79.7,3.52,40.88,5.06,25.18,59.69,,106.4,746.0,2024-04-02 02:00:00,10.51,0.18,,0.0,,
206.09,348.53,10.2,59.69,74.14,3.5,40.04,5.89,25.14,58.25,,87.79,746.0,2024-04-02 02:15:00,10.63,0.24,,0.0,,
198.45,336.2,10.49,57.85,66.35,3.5,39.3,5.18,24.94,59.86,,93.33,745.9,2024-04-02 02:30:00,10.23,0.25,,0.0,,
196.9,336.2,9.15,55.44,67.98,3.64,36.93,6.51,24.65,59.45,,102.29,745.9,2024-04-02 02:45:00,10.86,0.26,,0.0,,
195.33,334.63,8.82,59.31,71.19,3.78,38.72,6.76,24.6,59.15,,109.67,746.0,2024-04-02 03:00:00,11.33,0.26,,0.0,,
202.46,335.14,9.35,60.54,71.47,3.93,39.8,6.65,24.52,59.57,,109.67,746.0,2024-04-02 03:15:00,11.6,0.27,,0.0,,
220.93,349.39,9.32,53.87,64.19,4.37,36.23,5.82,24.6,60.06,,96.0,746.1,2024-04-02 03:30:00,10.81,0.27,,0.0,,
245.52,386.85,8.59,45.95,56.94,3.91,31.43,7.03,24.77,58.68,,97.14,746.1,2024-04-02 03:45:00,9.52,0.28,,0.0,,
249.62,418.57,7.23,42.48,56.56,3.37,28.47,9.92,24.8,56.29,0.05,116.07,746.2,2024-04-02 04:00:00,8.67,0.27,,0.0,,
237.55,414.96,5.78,39.21,65.61,2.77,25.56,16.84,25.47,49.06,,65.87,746.4,2024-04-02 04:15:00,7.95,0.27,,0.0,,
208.11,382.31,4.68,30.08,57.62,2.52,19.8,23.16,25.98,46.25,0.07,88.27,746.5,2024-04-02 04:30:00,7.2,0.29,,0.0,,
181.88,344.82,3.95,28.35,55.65,2.41,18.29,24.31,25.92,46.46,,100.46,746.6,2024-04-02 04:45:00,6.8,0.28,,0.0,,
152.11,307.21,3.68,26.71,52.78,2.38,17.2,24.86,25.55,47.27,,90.07,746.8,2024-04-02 05:00:00,6.95,0.28,,0.0,,
133.62,283.64,3.45,25.93,47.6,2.34,16.6,24.04,25.26,48.91,,90.0,746.8,2024-04-02 05:15:00,6.8,0.29,,0.0,,
119.69,260.99,5.7,33.46,40.8,2.36,22.43,17.6,24.69,53.15,,90.0,747.0,2024-04-02 05:30:00,6.7,0.3,,0.0,,
109.89,252.94,6.22,43.06,37.6,2.4,27.96,12.83,24.07,56.69,,90.0,747.1,2024-04-02 05:45:00,5.95,0.29,,0.0,,
101.34,251.19,7.77,42.29,33.69,2.39,28.81,13.4,23.8,58.47,,90.0,747.2,2024-04-02 06:00:00,7.52,0.29,,0.0,,
98.32,254.91,7.97,36.99,30.85,2.29,26.16,16.82,24.07,58.27,,90.0,747.3,2024-04-02 06:15:00,7.45,0.28,,0.0,,
95.9,246.53,8.45,44.08,29.9,2.28,30.32,17.92,25.06,54.43,,90.53,747.5,2024-04-02 06:30:00,6.25,0.3,,0.0,,
89.56,239.15,4.05,25.27,29.18,2.26,16.73,27.51,25.98,51.7,,51.6,747.6,2024-04-02 06:45:00,7.05,0.28,,0.0,,
89.92,234.84,4.13,27.4,30.91,2.33,17.93,30.59,26.83,49.3,0.04,68.38,747.8,2024-04-02 07:00:00,6.92,0.28,,0.0,,
92.7,227.25,4.43,30.19,32.12,2.36,19.66,30.4,27.73,49.44,0.06,53.67,748.0,2024-04-02 07:15:00,7.08,0.28,,0.0,,
98.05,218.94,4.17,30.47,51.65,2.38,19.6,35.08,28.41,45.04,0.54,103.27,748.2,2024-04-02 07:30:00,7.12,0.28,,0.0,,
101.36,234.56,3.74,28.89,70.85,2.44,18.41,41.73,29.27,41.02,0.6,82.33,748.3,2024-04-02 07:45:00,7.26,0.28,,0.0,,
104.11,253.22,2.71,22.1,63.78,2.34,13.96,51.26,29.95,36.19,1.25,88.38,748.5,2024-04-02 08:00:00,6.97,0.26,,0.0,,
98.37,269.27,2.31,19.69,47.49,2.24,12.35,54.77,30.33,35.27,0.85,107.73,748.5,2024-04-02 08:15:00,6.48,0.27,,0.0,,
87.62,265.82,1.97,17.76,42.87,2.26,11.05,60.99,30.85,33.54,1.46,88.27,748.5,2024-04-02 08:30:00,6.58,0.26,,0.0,,
87.87,260.93,1.71,18.44,41.97,2.29,11.2,65.71,31.32,33.28,1.15,113.47,748.6,2024-04-02 08:45:00,6.73,0.27,,0.0,,
92.04,272.12,2.0,21.65,62.24,2.35,13.14,66.88,31.8,33.12,1.25,114.15,748.6,2024-04-02 09:00:00,7.01,0.27,,0.0,,
94.42,284.17,2.15,22.49,66.52,2.29,13.71,69.16,32.35,31.89,1.02,94.47,748.6,2024-04-02 09:15:00,6.79,0.17,,0.0,,
87.18,296.47,1.98,23.11,53.11,2.26,13.9,74.32,33.12,30.67,0.51,103.87,748.5,2024-04-02 09:30:00,6.16,0.21,,0.0,,
87.21,307.65,3.24,38.64,61.84,2.55,23.19,71.42,33.39,30.96,1.43,85.43,748.5,2024-04-02 09:45:00,7.08,0.22,,0.0,,
92.28,319.91,2.89,35.8,65.68,2.63,21.39,77.93,33.33,30.76,1.46,95.0,748.4,2024-04-02 10:00:00,6.63,0.22,,0.0,,
89.78,324.86,3.67,48.8,89.79,2.85,28.94,76.57,33.99,29.36,1.29,95.86,748.3,2024-04-02 10:15:00,6.77,0.23,,0.0,,
90.01,321.26,6.59,75.16,166.43,2.98,45.34,63.39,34.14,29.36,0.8,169.6,748.2,2024-04-02 10:30:00,6.79,0.23,,0.0,,
96.47,318.41,6.74,81.91,,2.8,49.05,68.74,34.39,28.84,1.12,98.4,748.1,2024-04-02 10:45:00,6.23,0.23,,0.0,,
99.48,322.07,7.0,83.04,,2.82,49.86,71.35,34.61,28.48,1.4,73.23,748.0,2024-04-02 11:00:00,6.06,0.24,,0.0,,
95.49,319.39,6.33,75.45,,2.99,45.28,70.86,35.61,26.99,0.87,142.47,747.8,2024-04-02 11:15:00,5.79,0.25,,0.0,,
91.27,312.49,5.96,69.22,,2.8,41.66,74.51,35.6,26.35,1.51,81.0,747.7,2024-04-02 11:30:00,5.52,0.25,,0.0,,
88.34,297.37,5.75,65.72,188.53,2.55,39.63,75.47,35.75,25.76,1.86,104.47,747.5,2024-04-02 11:45:00,4.98,0.26,,0.0,,
85.79,289.92,4.49,53.97,167.47,2.34,32.36,80.96,36.06,24.68,1.87,85.46,747.3,2024-04-02 12:00:00,5.28,0.27,,0.0,,
87.27,274.11,3.43,44.94,128.59,2.56,26.69,84.97,36.38,24.39,1.96,62.33,747.1,2024-04-02 12:15:00,5.22,0.28,,0.0,,
80.57,250.19,1.87,23.92,86.38,2.39,14.24,97.44,36.66,24.65,1.9,76.87,746.9,2024-04-02 12:30:00,5.63,0.29,,0.0,,
77.03,234.15,1.82,23.59,90.72,2.24,14.03,95.05,36.74,23.55,2.14,71.27,746.7,2024-04-02 12:45:00,5.25,0.28,,0.0,,
69.75,221.29,0.94,10.38,44.83,2.17,6.29,95.7,36.61,24.51,2.02,72.14,746.4,2024-04-02 13:00:00,5.61,0.28,,0.0,,
64.09,208.13,1.0,11.73,54.24,2.07,7.05,94.59,36.88,23.76,2.39,82.86,746.2,2024-04-02 13:15:00,5.48,0.27,,0.0,,
61.29,195.41,0.91,12.08,60.57,2.13,7.17,97.74,36.96,22.11,2.33,92.33,746.1,2024-04-02 13:30:00,5.37,0.26,,0.0,,
57.34,183.01,0.95,14.25,50.46,2.1,8.35,100.06,37.19,22.05,2.43,110.07,745.9,2024-04-02 13:45:00,5.18,0.25,,0.0,,
52.32,173.52,1.13,17.26,63.88,2.06,10.1,99.32,37.59,21.45,1.94,80.53,745.7,2024-04-02 14:00:00,5.48,0.25,,0.0,,
41.92,145.97,1.74,30.01,119.87,1.98,17.38,96.78,37.52,21.62,1.65,90.08,745.6,2024-04-02 14:15:00,5.03,0.23,,0.0,,
39.29,141.37,1.14,21.74,71.89,2.03,12.49,107.81,37.64,21.92,2.15,88.53,745.4,2024-04-02 14:30:00,5.42,0.21,,0.0,,
37.77,146.31,1.02,19.81,73.14,2.03,11.37,107.88,37.57,21.43,2.14,99.0,745.3,2024-04-02 14:45:00,5.66,0.2,,0.0,,
49.98,158.24,1.47,29.43,113.9,1.99,16.85,104.66,37.56,21.07,2.1,74.33,745.2,2024-04-02 15:00:00,5.08,0.2,,0.0,,
54.0,157.85,0.56,11.05,33.92,2.01,6.33,118.34,37.34,20.91,2.76,87.77,745.1,2024-04-02 15:15:00,5.76,0.19,,0.0,,
59.21,159.49,0.8,19.21,59.37,2.08,10.87,111.62,37.27,20.87,2.45,85.8,745.1,2024-04-02 15:30:00,5.97,0.19,,0.0,,
59.31,164.34,0.79,21.77,68.49,2.15,12.22,112.92,37.26,21.03,2.21,74.07,745.1,2024-04-02 15:45:00,5.98,0.18,,0.0,,
53.83,166.78,1.05,33.97,107.18,2.2,18.92,108.99,37.01,21.9,1.53,82.93,745.1,2024-04-02 16:00:00,6.12,0.17,,0.0,,
55.2,176.18,1.06,28.95,82.52,2.24,16.26,112.78,36.83,22.38,1.6,80.62,745.0,2024-04-02 16:15:00,6.32,0.17,,0.0,,
57.64,176.62,0.79,22.94,48.18,2.32,12.84,119.89,36.58,22.5,1.4,68.8,744.9,2024-04-02 16:30:00,6.18,0.13,,0.0,,
63.42,178.14,1.11,36.05,87.57,2.73,20.08,111.77,36.32,23.64,1.11,54.4,745.0,2024-04-02 16:45:00,6.4,0.15,,0.0,,
71.85,188.45,1.19,33.7,74.58,2.53,18.89,106.15,35.67,24.67,1.07,72.71,745.0,2024-04-02 17:00:00,6.35,0.15,,0.0,,
81.91,207.81,1.45,38.71,60.21,2.7,21.77,94.48,34.92,25.85,0.43,76.0,745.1,2024-04-02 17:15:00,6.96,0.16,,0.0,,
89.8,218.77,1.5,36.35,44.59,2.55,20.55,89.81,34.22,27.21,0.11,70.5,745.1,2024-04-02 17:30:00,7.33,0.15,,0.0,,
88.65,228.11,2.8,90.42,39.71,3.38,50.37,47.64,32.64,33.03,,124.6,745.3,2024-04-02 17:45:00,7.29,0.16,,0.0,,
100.09,244.67,6.48,97.16,41.97,3.2,56.95,41.41,31.62,35.14,0.07,262.33,745.5,2024-04-02 18:00:00,6.02,0.16,,0.0,,
106.72,261.04,3.22,79.33,60.05,3.2,44.81,46.39,31.17,39.1,,245.31,745.7,2024-04-02 18:15:00,7.62,0.15,,0.0,,
