pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,vws,wd,timestamp,nh3,benzene,toluene,xylene
2.0,19.0,13.0,45.8,2.9,40.86,32.0,15.4,24.0,67.0,2.3,-0.1,191.0,2016-06-23 10:00:00,6.8,0.3,4.9,0.1
2.0,19.0,11.4,45.8,2.6,0.5,30.8,14.6,23.9,68.0,2.2,-0.1,254.0,2016-06-23 10:15:00,7.8,0.7,5.3,0.1
2.0,19.0,10.6,45.0,3.1,0.44,29.8,15.2,24.4,66.0,1.7,-0.1,267.0,2016-06-23 10:30:00,8.7,1.0,5.8,0.1
2.0,21.0,17.3,46.6,3.4,0.45,35.6,15.6,23.9,68.0,2.2,-0.1,230.0,2016-06-23 10:45:00,6.3,1.0,5.8,0.1
2.0,21.0,16.3,49.9,,0.46,36.4,14.8,24.7,66.0,2.2,-0.1,248.0,2016-06-23 11:00:00,7.0,1.0,5.8,0.1
2.0,21.0,14.9,49.9,,0.5,35.4,14.4,24.8,65.0,2.0,-0.1,160.0,2016-06-23 11:15:00,7.4,1.0,5.8,0.1
2.0,21.0,12.9,48.3,2.6,0.44,33.1,15.2,25.1,64.0,2.3,-0.1,218.0,2016-06-23 11:30:00,8.3,1.0,5.8,0.1
2.0,17.0,12.9,,3.1,0.4,9.5,15.4,25.1,64.0,2.5,-0.1,190.0,2016-06-23 11:45:00,4.8,1.0,6.2,0.1
2.0,17.0,489.9,18.9,3.7,0.39,370.8,13.7,24.9,65.0,2.2,-0.1,177.0,2016-06-23 12:00:00,,0.7,5.8,0.1
2.0,17.0,8.4,42.3,4.0,0.4,26.9,12.0,24.7,66.0,2.1,-0.1,209.0,2016-06-23 12:15:00,6.5,0.7,5.8,0.1
2.0,17.0,8.2,43.1,4.3,0.38,27.1,13.3,24.7,66.0,1.6,-0.1,172.0,2016-06-23 12:30:00,6.6,0.7,6.2,0.1
60.0,7.0,7.5,41.9,4.3,0.36,26.0,14.4,24.9,66.0,1.6,-0.1,181.0,2016-06-23 12:45:00,7.0,0.7,5.8,0.1
