pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,vws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
52.49,102.71,3.05,6.76,21.18,0.65,6.07,22.81,25.61,96.34,0.22,0.04,131.16,769.03,2024-01-31 09:15:00,5.08,0.01,0.24,1.11,0.44
52.37,102.48,2.94,6.32,21.79,0.62,5.74,30.81,26.17,93.3,0.27,0.04,150.65,769.1,2024-01-31 09:30:00,5.17,0.0,0.24,1.1,0.42
49.01,95.91,3.07,6.11,21.68,0.67,5.74,29.89,27.07,87.97,0.27,0.04,72.78,769.94,2024-01-31 09:45:00,5.19,0.01,0.17,0.96,0.31
49.01,95.91,2.88,5.93,21.18,0.62,5.48,32.54,27.16,87.52,0.26,0.04,112.06,769.79,2024-01-31 10:00:00,5.27,0.01,0.12,0.85,0.22
49.01,95.91,2.69,5.71,20.14,0.51,5.21,36.74,27.45,84.92,0.19,0.04,105.15,769.19,2024-01-31 10:15:00,5.25,0.01,0.12,0.85,0.22
48.95,95.79,2.48,5.31,19.17,0.45,4.83,37.73,27.92,81.63,0.23,0.04,112.54,769.0,2024-01-31 10:30:00,5.44,0.01,0.12,0.86,0.22
47.61,93.16,4.33,5.87,18.58,0.48,6.63,38.46,28.0,80.5,0.16,0.04,58.68,768.48,2024-01-31 10:45:00,7.24,0.02,0.12,0.86,0.22
47.61,93.16,3.11,5.67,18.15,0.49,5.53,40.59,27.99,79.41,0.38,0.04,148.65,768.01,2024-01-31 11:00:00,8.04,0.01,0.12,0.87,0.23
47.61,93.16,3.19,5.56,16.97,0.44,5.54,40.16,28.21,77.75,0.28,0.04,135.36,767.24,2024-01-31 11:15:00,6.75,0.02,0.13,0.94,0.24
47.06,92.1,2.59,5.74,16.3,0.45,5.15,23.79,28.29,76.79,0.23,0.04,138.59,766.88,2024-01-31 11:30:00,5.79,0.01,0.12,0.99,0.22
31.33,61.3,3.44,6.0,15.54,0.4,5.97,40.05,28.73,73.38,0.31,0.04,153.91,766.09,2024-01-31 11:45:00,5.42,0.01,0.12,0.96,0.21
31.33,61.3,3.4,5.89,15.26,0.41,5.88,44.02,28.99,71.76,0.25,0.04,148.5,764.98,2024-01-31 12:00:00,4.75,0.02,0.12,0.94,0.21
31.33,61.3,2.89,5.66,14.78,0.4,5.35,44.41,29.07,70.91,0.37,0.04,158.32,763.82,2024-01-31 12:15:00,4.86,0.02,0.12,0.98,0.22
31.07,60.79,2.55,5.46,14.42,0.37,4.97,45.23,29.09,70.41,0.32,0.04,137.65,762.82,2024-01-31 12:30:00,5.08,0.02,0.12,0.94,0.22
23.49,45.97,2.47,5.64,13.93,0.37,5.0,45.2,29.55,67.17,0.27,0.04,122.27,761.87,2024-01-31 12:45:00,5.29,0.01,0.12,0.92,0.22
23.49,45.97,2.56,5.88,13.44,0.38,5.2,45.35,29.71,65.97,0.33,0.04,138.8,760.91,2024-01-31 13:00:00,5.5,0.01,0.12,0.9,0.22
23.49,45.97,2.43,5.55,12.99,0.38,4.91,47.85,29.67,65.44,0.25,0.04,104.24,759.21,2024-01-31 13:15:00,5.64,0.01,0.12,0.89,0.22
23.54,46.07,2.35,5.43,12.59,0.38,4.79,49.73,29.62,66.12,0.38,0.04,136.3,757.71,2024-01-31 13:30:00,5.63,0.01,0.12,0.88,0.22
24.66,48.25,2.35,5.59,12.23,0.4,4.87,50.1,29.95,64.79,0.35,0.04,157.43,756.56,2024-01-31 13:45:00,5.55,0.01,0.12,0.88,0.22
24.66,48.25,2.39,5.43,11.46,0.38,4.82,49.77,30.0,64.08,0.2,0.04,142.85,755.49,2024-01-31 14:00:00,5.55,0.01,0.12,0.88,0.22
24.66,48.25,2.41,5.49,10.2,0.38,4.87,48.42,30.37,62.72,0.36,0.04,128.77,754.96,2024-01-31 14:15:00,5.55,0.01,0.12,0.87,0.23
24.44,47.83,2.41,5.34,9.39,0.36,4.78,47.81,30.42,62.43,0.37,0.04,155.4,754.07,2024-01-31 14:30:00,5.54,0.01,0.12,0.87,0.22
19.75,38.65,2.38,5.17,8.41,0.35,4.67,49.13,30.06,63.83,0.35,0.04,143.89,753.94,2024-01-31 14:45:00,5.59,0.02,0.12,0.87,0.22
19.75,38.65,2.37,5.24,7.62,0.37,4.7,50.25,30.32,63.65,0.22,0.04,105.03,753.02,2024-01-31 15:00:00,6.57,0.01,0.12,0.87,0.23
19.75,38.65,2.3,5.42,7.48,0.38,4.74,50.58,30.51,61.8,0.36,0.04,139.71,752.43,2024-01-31 15:15:00,8.4,0.01,0.12,0.87,0.22
19.51,38.19,2.34,5.46,6.39,0.36,4.8,52.26,30.26,63.14,0.43,0.04,149.58,751.4,2024-01-31 15:30:00,8.13,0.01,0.13,0.94,0.24
14.45,28.28,2.37,5.42,5.95,0.4,4.79,50.32,30.13,65.82,0.24,0.04,134.06,751.38,2024-01-31 15:45:00,6.9,0.01,0.12,1.02,0.23
14.45,28.28,2.41,5.44,5.33,0.41,4.84,47.45,30.16,66.61,0.31,0.04,131.51,751.27,2024-01-31 16:00:00,5.85,0.01,0.12,1.01,0.22
14.45,28.28,2.41,5.55,4.74,0.39,4.9,45.81,30.08,67.15,0.36,0.04,139.17,751.11,2024-01-31 16:15:00,5.42,0.01,0.12,0.96,0.21
14.72,28.81,2.44,5.68,4.19,0.4,4.99,44.82,29.83,68.07,0.4,0.04,146.95,751.16,2024-01-31 16:30:00,5.45,0.02,0.12,0.94,0.22
20.51,40.14,2.41,5.96,4.1,0.41,5.12,43.15,29.67,69.34,0.42,0.04,152.03,752.07,2024-01-31 16:45:00,5.64,0.01,0.12,0.91,0.21
20.51,40.14,2.38,6.1,3.89,0.44,5.17,41.78,29.46,70.81,0.41,0.04,149.95,752.36,2024-01-31 17:00:00,5.96,0.01,0.12,0.9,0.22
20.51,40.14,2.36,5.97,3.58,0.45,5.08,40.95,29.21,72.72,0.34,0.04,142.8,753.18,2024-01-31 17:15:00,6.12,0.01,0.12,0.89,0.21
21.44,41.96,2.73,6.88,3.62,0.5,5.87,39.39,28.91,74.66,0.35,0.04,139.12,753.91,2024-01-31 17:30:00,6.46,0.02,0.12,0.89,0.21
41.45,81.11,2.59,6.95,3.69,0.48,5.79,34.28,28.64,75.95,0.4,0.04,150.62,754.3,2024-01-31 17:45:00,6.39,0.01,0.12,0.89,0.21
41.45,81.11,2.39,6.78,3.89,0.5,5.54,17.95,28.38,77.64,0.37,0.04,149.47,755.06,2024-01-31 18:00:00,6.46,0.02,0.12,0.89,0.21
41.45,81.11,2.42,7.54,4.09,0.61,5.97,31.2,28.18,78.87,0.26,0.04,120.63,755.89,2024-01-31 18:15:00,6.75,0.03,0.14,0.93,0.24
41.24,80.71,2.62,9.02,4.84,0.73,6.92,33.38,27.98,81.1,0.34,0.04,153.66,756.9,2024-01-31 18:30:00,6.21,0.01,0.23,1.12,0.4
36.85,72.12,2.65,9.15,5.47,0.74,7.01,29.56,27.66,84.19,0.41,0.04,153.95,757.02,2024-01-31 18:45:00,5.83,0.01,0.24,1.11,0.42
36.85,72.12,3.01,10.03,6.49,0.73,7.77,26.37,27.47,85.17,0.41,0.04,154.32,757.9,2024-01-31 19:00:00,5.6,0.01,0.24,1.13,0.42
36.85,72.12,2.97,10.55,7.42,0.79,8.01,26.09,27.36,85.91,0.4,0.04,155.56,758.0,2024-01-31 19:15:00,6.2,0.01,0.24,1.15,0.42
37.38,73.15,2.91,10.04,8.78,0.74,7.69,27.53,27.25,86.83,0.4,0.04,151.91,758.11,2024-01-31 19:30:00,8.1,0.01,0.24,1.15,0.42
48.71,95.33,3.02,10.09,9.26,0.69,7.81,27.03,27.15,87.42,0.4,0.04,153.13,758.99,2024-01-31 19:45:00,8.15,0.02,0.25,1.18,0.43
48.71,95.33,3.15,10.51,10.8,0.71,8.14,25.98,27.02,88.35,0.39,0.04,153.45,759.13,2024-01-31 20:00:00,6.78,0.02,0.25,1.25,0.43
48.71,95.33,3.09,10.44,12.45,0.75,8.05,24.88,26.89,89.36,0.38,0.04,149.29,760.39,2024-01-31 20:15:00,5.86,0.01,0.24,1.25,0.41
48.7,95.3,2.93,10.47,13.22,0.71,7.94,23.9,26.79,90.16,0.4,0.04,155.06,760.82,2024-01-31 20:30:00,5.48,0.01,0.24,1.21,0.42
48.41,94.74,2.8,10.16,13.75,0.67,7.66,24.8,26.69,90.87,0.39,0.04,153.29,761.19,2024-01-31 20:45:00,5.33,0.02,0.24,1.18,0.42
48.41,94.74,2.76,10.07,14.58,0.75,7.58,22.55,26.58,91.64,0.35,0.04,138.18,761.3,2024-01-31 21:00:00,5.41,0.02,0.24,1.17,0.42
48.41,94.74,3.86,9.73,15.14,0.83,8.3,20.19,26.43,92.67,0.31,0.04,58.52,762.0,2024-01-31 21:15:00,5.56,0.01,0.24,1.15,0.42
48.45,94.82,7.13,7.17,15.59,0.69,9.6,14.8,25.98,95.95,0.29,0.04,50.33,762.0,2024-01-31 21:30:00,5.68,0.02,0.24,1.15,0.42
49.3,96.47,4.16,10.84,16.39,0.69,9.14,13.02,25.8,97.19,0.35,0.04,29.66,762.0,2024-01-31 21:45:00,5.64,0.01,0.24,1.15,0.42
49.3,96.47,3.52,10.36,16.49,0.63,8.36,14.79,25.72,97.57,0.36,0.04,50.36,762.02,2024-01-31 22:00:00,5.69,0.02,0.24,1.15,0.42
49.3,96.47,3.18,9.61,16.91,0.59,7.69,14.69,25.43,99.3,0.38,0.04,6.05,763.38,2024-01-31 22:15:00,5.6,0.02,0.24,1.16,0.43
49.27,96.42,3.96,7.47,17.19,0.65,7.18,15.03,25.37,99.0,0.37,0.04,49.46,763.17,2024-01-31 22:30:00,5.54,0.01,0.24,1.15,0.42
48.67,95.25,2.96,7.63,17.79,0.61,6.46,16.01,25.4,98.9,0.31,0.04,45.36,763.4,2024-01-31 22:45:00,5.56,0.01,0.24,1.15,0.42
48.67,95.25,2.52,8.61,18.21,0.69,6.62,14.83,25.23,,0.35,0.04,9.56,763.17,2024-01-31 23:00:00,5.56,0.02,0.24,1.15,0.42
48.67,95.25,2.55,10.3,18.56,0.76,7.54,12.14,25.14,,0.3,0.04,51.11,763.07,2024-01-31 23:15:00,5.47,0.01,0.24,1.16,0.42
48.56,95.03,2.64,10.2,19.03,0.86,7.56,12.53,25.19,,0.34,0.04,37.98,763.22,2024-01-31 23:30:00,5.61,0.01,0.25,1.16,0.43
46.11,90.23,2.6,11.51,19.34,0.89,8.23,10.97,25.15,,0.36,0.04,32.74,763.36,2024-01-31 23:45:00,6.73,0.01,0.24,1.15,0.42
46.11,90.23,2.29,10.88,16.17,0.65,7.64,13.83,25.12,,0.26,0.04,56.3,763.33,2024-02-01 00:00:00,7.49,0.01,0.24,1.16,0.43
46.11,90.23,2.27,9.43,14.86,0.66,6.85,15.43,25.07,,0.32,0.04,63.87,762.5,2024-02-01 00:15:00,6.44,0.01,0.25,1.2,0.44
46.04,90.1,2.29,7.78,14.32,0.67,5.99,16.78,25.01,,0.24,0.04,50.61,762.0,2024-02-01 00:30:00,5.71,0.01,0.24,1.23,0.42
44.63,87.34,2.36,7.05,13.7,0.66,5.66,15.28,25.01,,0.34,0.03,47.25,761.88,2024-02-01 00:45:00,5.23,0.01,0.24,1.2,0.42
44.63,87.34,2.34,7.09,13.67,0.58,5.66,15.03,25.04,,0.38,0.03,63.28,761.21,2024-02-01 01:00:00,4.98,0.0,0.24,1.17,0.43
44.63,87.34,2.42,6.93,13.26,0.54,5.64,15.58,25.08,,0.37,0.04,58.48,760.96,2024-02-01 01:15:00,4.9,0.01,0.24,1.16,0.43
44.67,87.42,2.46,7.96,13.38,0.65,6.22,13.56,24.86,,0.31,0.04,18.32,760.66,2024-02-01 01:30:00,5.03,0.01,0.24,1.15,0.43
45.57,89.18,2.43,8.21,13.71,0.72,6.33,13.04,24.69,,0.34,0.04,23.54,759.98,2024-02-01 01:45:00,5.28,0.01,0.24,1.15,0.43
45.57,89.18,2.42,7.82,13.78,0.73,6.12,12.32,24.72,,0.38,0.04,44.33,759.06,2024-02-01 02:00:00,5.44,0.01,0.24,1.14,0.43
45.57,89.18,2.5,8.06,14.01,0.66,6.31,10.82,24.7,,0.37,0.04,49.33,758.42,2024-02-01 02:15:00,5.43,0.02,0.24,1.15,0.43
45.98,89.98,2.46,7.69,14.22,0.62,6.08,11.3,24.73,,0.34,0.04,73.68,757.62,2024-02-01 02:30:00,5.42,0.01,0.24,1.14,0.43
54.75,107.15,2.3,6.36,14.58,0.68,5.24,13.75,24.67,,0.31,0.04,41.34,757.14,2024-02-01 02:45:00,5.43,0.01,0.24,1.15,0.43
54.75,107.15,2.3,6.14,15.0,0.74,5.12,13.78,24.57,,0.27,0.04,52.24,756.93,2024-02-01 03:00:00,5.45,0.01,0.24,1.14,0.43
54.75,107.15,2.26,6.24,15.19,0.84,5.15,13.53,24.49,,0.27,0.04,25.04,756.84,2024-02-01 03:15:00,5.48,0.01,0.24,1.14,0.43
54.59,106.82,3.19,6.1,15.8,0.92,5.82,12.13,24.45,,0.35,0.04,28.91,756.93,2024-02-01 03:30:00,5.48,0.01,0.24,1.14,0.43
49.81,97.47,2.46,6.55,15.88,0.99,5.47,12.63,24.43,,0.34,0.04,59.67,757.0,2024-02-01 03:45:00,5.43,0.01,0.24,1.14,0.43
