pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene
35.31,80.86,2.78,19.18,37.22,0.67,14.63,114.57,28.55,43.19,1.1,337.13,2023-01-20 15:15:00,16.17,1.73
34.29,74.27,2.85,22.25,39.42,0.65,16.3,117.04,28.81,42.84,0.87,357.51,2023-01-20 15:30:00,16.94,1.63
32.67,63.91,3.02,27.15,36.98,0.6,18.99,113.18,28.95,41.45,0.98,351.37,2023-01-20 15:45:00,17.93,1.7
32.67,63.91,2.97,27.04,28.21,0.57,18.9,112.75,28.69,42.3,1.15,338.45,2023-01-20 16:00:00,17.95,1.59
32.67,63.91,2.75,22.03,33.35,0.59,16.1,117.8,28.47,42.79,1.02,324.16,2023-01-20 16:15:00,17.89,1.5
32.14,61.55,2.66,19.11,31.09,0.61,14.51,110.54,28.36,43.88,0.58,338.46,2023-01-20 16:30:00,17.74,1.42
31.31,57.84,2.65,18.4,26.12,0.64,14.13,78.12,28.16,46.0,0.07,287.5,2023-01-20 16:45:00,17.75,1.48
31.31,57.84,2.69,18.76,21.72,0.64,14.34,60.47,26.88,52.39,0.3,128.03,2023-01-20 17:00:00,17.72,1.72
31.31,57.84,2.76,24.01,17.93,0.69,17.14,38.01,25.88,56.68,0.24,127.19,2023-01-20 17:15:00,16.87,1.86
30.61,66.16,3.72,48.82,16.35,0.72,30.88,20.46,24.54,65.27,0.36,123.33,2023-01-20 17:30:00,13.76,1.91
29.5,79.23,3.78,55.9,13.14,0.73,34.63,13.97,23.48,69.45,0.32,118.99,2023-01-20 17:45:00,10.77,2.12
29.5,79.23,5.04,63.78,12.16,0.81,39.75,7.77,22.56,71.99,0.3,125.87,2023-01-20 18:00:00,9.89,2.23
29.5,79.23,4.49,57.14,10.87,0.86,35.84,8.05,21.99,73.5,0.23,139.13,2023-01-20 18:15:00,10.57,2.61
34.43,131.84,3.9,47.79,25.02,0.93,30.48,24.79,22.81,66.83,0.68,208.87,2023-01-20 18:30:00,12.58,2.72
42.19,214.5,3.92,62.08,41.83,1.11,37.96,15.27,24.29,62.8,0.43,196.97,2023-01-20 18:45:00,11.08,3.05
42.19,214.5,5.75,63.34,25.66,1.23,40.1,12.08,22.37,72.13,0.78,102.43,2023-01-20 19:00:00,11.78,3.55
42.19,214.5,9.9,64.74,13.2,0.83,44.15,4.65,21.16,78.75,0.4,112.88,2023-01-20 19:15:00,10.43,5.08
48.02,244.24,10.82,60.65,10.35,0.87,42.76,3.7,20.61,80.92,0.63,108.35,2023-01-20 19:30:00,11.53,5.17
57.17,290.96,10.96,56.62,8.91,0.88,40.76,5.38,20.34,82.17,0.47,119.57,2023-01-20 19:45:00,12.53,3.14
57.17,290.96,6.5,49.2,8.81,0.85,33.31,11.68,20.44,81.53,0.54,113.74,2023-01-20 20:00:00,14.83,3.38
57.17,290.96,7.2,57.57,9.45,0.93,38.24,9.67,20.79,80.46,0.57,116.62,2023-01-20 20:15:00,14.22,3.38
55.96,270.83,10.16,60.31,8.96,0.95,42.05,5.34,20.39,82.27,0.46,110.6,2023-01-20 20:30:00,13.37,3.5
54.05,239.2,9.12,52.82,8.12,0.88,37.3,8.46,19.95,83.94,0.52,102.12,2023-01-20 20:45:00,14.84,4.05
54.05,239.2,7.24,48.88,7.62,0.84,33.73,7.1,19.46,85.88,0.47,118.46,2023-01-20 21:00:00,15.91,4.41
54.05,239.2,10.16,52.13,6.87,0.9,37.77,4.27,19.68,85.63,0.47,109.37,2023-01-20 21:15:00,14.83,3.83
56.04,259.63,14.07,57.81,7.0,0.91,43.88,3.72,19.63,85.67,0.25,48.57,2023-01-20 21:30:00,13.39,3.52
59.18,291.73,11.9,47.96,6.12,0.89,36.99,3.95,19.27,87.55,0.21,133.51,2023-01-20 21:45:00,14.8,4.06
59.18,291.73,10.2,46.14,5.91,1.02,34.68,4.52,19.14,87.54,0.06,50.76,2023-01-20 22:00:00,15.63,3.94
59.18,291.73,9.94,42.53,5.46,0.89,32.58,3.78,18.9,89.39,0.15,45.14,2023-01-20 22:15:00,16.26,3.75
58.11,250.4,9.86,41.16,5.07,0.89,31.8,3.11,18.74,90.31,0.33,62.24,2023-01-20 22:30:00,16.88,4.71
56.43,185.46,11.16,42.76,4.75,0.88,33.68,2.62,18.4,91.43,0.38,118.46,2023-01-20 22:45:00,16.44,4.02
56.43,185.46,21.99,46.08,4.73,0.9,44.1,2.77,18.62,91.74,0.44,126.05,2023-01-20 23:00:00,16.43,3.71
56.43,185.46,13.55,45.5,5.54,0.92,37.03,6.39,18.84,90.51,0.52,127.86,2023-01-20 23:15:00,18.12,3.6
54.91,170.02,9.43,42.63,6.13,0.98,32.23,10.6,18.98,89.73,0.45,118.19,2023-01-20 23:30:00,19.52,3.75
