pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
,,1.31,10.9,24.17,1.21,6.86,26.56,29.84,,0.19,298.47,739.9,2024-07-16 17:00:00,15.99,1.82,0.44,2.56,1.33,0.95
,,1.41,11.27,23.87,1.24,7.14,25.51,29.72,,0.23,302.22,740.0,2024-07-16 17:15:00,16.0,1.97,0.44,2.77,1.45,0.99
,,1.22,10.6,25.52,1.25,6.63,29.04,29.69,,0.18,311.52,740.1,2024-07-16 17:30:00,16.16,2.94,0.53,3.02,1.61,1.13
,,0.96,11.09,25.81,1.19,6.68,28.07,29.6,,0.2,290.52,740.2,2024-07-16 17:45:00,16.27,2.08,0.53,2.77,1.52,1.04
,,1.03,13.77,25.62,1.21,8.16,26.04,29.47,,0.11,347.5,740.2,2024-07-16 18:00:00,16.55,2.05,0.48,2.6,1.66,1.18
,,1.04,15.47,23.91,1.22,9.07,22.93,29.37,,0.06,309.95,740.3,2024-07-16 18:15:00,15.74,2.01,0.56,2.63,1.9,1.35
,,1.08,15.64,23.4,1.24,9.2,19.24,29.3,,,298.5,740.4,2024-07-16 18:30:00,16.14,2.55,0.56,2.81,2.01,1.46
,,1.13,17.38,23.47,1.41,10.16,20.11,29.3,,0.13,322.69,740.5,2024-07-16 18:45:00,16.21,2.55,0.56,2.81,2.01,1.46
,,1.06,18.21,23.89,1.29,10.55,17.73,29.22,,,319.09,740.5,2024-07-16 19:00:00,15.81,5.67,0.52,3.24,2.15,1.54
,,,,,,,,,87.05,,,,2024-07-16 19:15:00,,,,,,
,,1.73,23.03,24.76,1.48,13.66,11.67,29.05,87.97,,334.96,740.8,2024-07-16 19:30:00,14.91,4.05,0.67,3.75,2.8,2.03
,,1.48,20.69,24.31,1.41,12.21,12.5,28.93,88.66,,15.19,741.0,2024-07-16 19:45:00,14.15,8.13,0.81,4.53,3.49,2.54
,,1.59,17.47,24.83,1.6,10.59,14.65,28.99,88.61,0.22,355.66,741.1,2024-07-16 20:00:00,14.62,9.54,1.05,5.54,3.95,2.81
,,1.59,17.59,24.99,1.41,10.65,11.01,28.95,89.27,0.03,313.0,741.3,2024-07-16 20:30:00,13.87,10.91,0.71,4.28,3.01,2.18
