pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp
30.5,101.3,20.84,51.64,1.87,1.5,44.41,32.4,2023-02-27 18:15:00
30.5,101.3,41.61,62.58,1.01,1.25,67.12,47.24,2023-02-27 18:30:00
57.3,127.5,10.96,89.8,0.33,1.18,56.67,51.29,2023-02-27 18:45:00
57.3,127.5,6.12,39.58,0.8,1.69,26.03,39.77,2023-02-27 19:00:00
57.3,127.5,10.89,63.94,1.05,1.84,42.87,35.93,2023-02-27 19:15:00
57.3,127.5,10.91,52.51,2.24,1.77,36.8,22.5,2023-02-27 19:30:00
56.4,160.6,14.58,72.0,4.35,2.1,50.15,24.78,2023-02-27 19:45:00
56.4,160.6,26.66,77.03,5.56,1.91,62.65,15.41,2023-02-27 20:00:00
56.4,160.6,39.67,72.04,7.44,2.64,70.57,11.71,2023-02-27 20:15:00
56.4,160.6,14.69,62.91,3.22,1.26,45.41,24.27,2023-02-27 20:30:00
60.3,161.2,84.14,,3.06,2.25,63.03,9.44,2023-02-27 20:45:00
60.3,161.2,6.31,56.46,2.28,1.23,35.16,26.5,2023-02-27 21:00:00
60.3,161.2,9.23,64.2,4.83,1.25,41.65,21.09,2023-02-27 21:15:00
60.3,161.2,4.31,63.82,5.34,1.42,37.45,16.48,2023-02-27 21:30:00
56.0,131.3,4.16,48.33,3.42,1.19,29.09,27.6,2023-02-27 21:45:00
56.0,131.3,3.99,51.52,2.44,1.08,30.65,26.66,2023-02-27 22:00:00
56.0,131.3,0.43,41.8,2.71,0.65,22.58,25.1,2023-02-27 22:15:00
56.0,131.3,2.1,41.15,3.05,0.81,23.59,40.84,2023-02-27 22:30:00
74.6,219.5,0.39,33.07,3.31,0.61,17.91,41.8,2023-02-27 22:45:00
74.6,219.5,8.09,62.31,5.48,1.15,39.72,13.19,2023-02-27 23:00:00
74.6,219.5,0.22,20.91,1.84,1.14,11.3,52.37,2023-02-27 23:15:00
74.6,219.5,0.5,21.39,2.64,0.67,11.78,44.81,2023-02-27 23:30:00
84.0,150.7,4.34,33.08,4.74,0.57,21.12,25.21,2023-02-27 23:45:00
84.0,150.7,11.05,95.39,7.18,0.78,59.73,15.18,2023-02-28 00:00:00
84.0,150.7,16.14,77.57,14.75,1.57,54.39,6.44,2023-02-28 00:15:00
84.0,150.7,11.77,61.5,14.61,1.65,42.28,6.57,2023-02-28 00:30:00
105.4,200.5,18.44,66.91,27.29,2.29,50.59,8.33,2023-02-28 00:45:00
105.4,200.5,19.35,68.61,38.53,2.62,52.23,8.67,2023-02-28 01:00:00
105.4,200.5,17.48,65.9,36.51,2.72,49.27,9.25,2023-02-28 01:15:00
105.4,200.5,14.8,60.76,33.93,2.96,44.36,8.61,2023-02-28 01:30:00
123.9,282.4,13.16,65.6,47.9,3.28,45.59,8.88,2023-02-28 01:45:00
123.9,282.4,8.17,53.85,37.74,3.16,35.29,9.0,2023-02-28 02:00:00
123.9,282.4,5.62,59.96,46.61,3.33,36.46,10.21,2023-02-28 02:15:00
123.9,282.4,11.59,53.17,32.41,2.98,37.7,9.88,2023-02-28 02:30:00
129.0,261.5,9.65,49.78,27.2,3.18,34.33,9.07,2023-02-28 02:45:00
129.0,261.5,10.49,43.68,23.23,2.96,31.77,8.59,2023-02-28 03:00:00
129.0,261.5,5.26,41.69,25.44,2.76,26.45,7.54,2023-02-28 03:15:00
129.0,261.5,2.84,40.59,26.72,2.7,23.9,8.05,2023-02-28 03:30:00
122.5,211.0,3.05,40.62,27.24,2.85,24.09,8.24,2023-02-28 03:45:00
122.5,211.0,3.7,39.09,24.34,2.82,23.8,10.51,2023-02-28 04:00:00
122.5,211.0,7.01,45.29,26.45,2.73,29.79,8.73,2023-02-28 04:15:00
122.5,211.0,6.49,43.6,26.57,2.66,28.46,8.32,2023-02-28 04:30:00
122.4,213.1,6.14,46.51,30.75,2.88,29.73,8.54,2023-02-28 04:45:00
122.4,213.1,3.27,40.25,21.9,2.42,24.07,7.89,2023-02-28 05:00:00
122.4,213.1,4.08,38.92,15.39,2.23,24.01,11.28,2023-02-28 05:15:00
122.4,213.1,4.02,38.85,12.67,1.98,23.93,7.2,2023-02-28 05:30:00
127.8,241.1,7.78,42.73,11.85,1.81,29.05,4.65,2023-02-28 05:45:00
127.8,241.1,5.41,38.91,10.62,1.61,25.09,7.35,2023-02-28 06:00:00
127.8,241.1,20.78,50.66,11.52,2.2,43.85,7.93,2023-02-28 06:15:00
127.8,241.1,13.23,41.32,10.3,2.16,32.74,8.03,2023-02-28 06:30:00
178.6,505.1,7.74,40.05,9.73,2.27,27.6,14.51,2023-02-28 06:45:00
178.6,505.1,17.18,52.19,10.47,2.54,41.73,10.59,2023-02-28 07:00:00
178.6,505.1,20.28,66.97,13.38,2.85,52.11,13.24,2023-02-28 07:15:00
178.6,505.1,20.49,76.04,51.34,3.55,57.1,19.6,2023-02-28 07:30:00
245.6,776.8,6.38,61.72,81.43,6.31,38.02,41.63,2023-02-28 07:45:00
245.6,776.8,5.42,64.63,116.03,6.92,38.78,61.4,2023-02-28 08:00:00
245.6,776.8,6.11,70.16,104.35,6.97,42.29,70.81,2023-02-28 08:15:00
245.6,776.8,4.07,74.44,106.86,7.08,42.91,81.08,2023-02-28 08:30:00
348.1,577.4,3.66,79.03,109.98,6.66,45.01,83.44,2023-02-28 08:45:00
348.1,577.4,2.56,33.0,49.56,2.07,19.63,82.16,2023-02-28 09:00:00
348.1,577.4,1.34,27.79,42.56,1.47,15.87,96.84,2023-02-28 09:15:00
348.1,577.4,1.94,29.36,50.07,1.46,17.19,89.63,2023-02-28 09:30:00
191.3,373.6,2.86,34.93,77.75,1.64,20.9,89.01,2023-02-28 09:45:00
191.3,373.6,3.17,21.99,60.56,0.63,14.27,89.72,2023-02-28 10:00:00
191.3,373.6,1.38,19.96,47.57,0.84,11.74,101.46,2023-02-28 10:15:00
191.3,373.6,1.87,22.22,35.34,1.21,13.34,107.86,2023-02-28 10:30:00
104.8,201.5,1.11,16.29,27.82,0.83,9.57,120.66,2023-02-28 10:45:00
104.8,201.5,0.49,11.18,28.42,0.99,6.34,136.66,2023-02-28 11:00:00
104.8,201.5,0.61,17.91,42.03,1.9,10.02,156.28,2023-02-28 11:15:00
104.8,201.5,0.91,21.2,46.82,1.94,12.02,155.59,2023-02-28 11:30:00
111.8,166.6,0.65,16.76,45.22,1.73,9.44,169.67,2023-02-28 11:45:00
111.8,166.6,1.16,25.41,44.8,1.85,14.45,164.67,2023-02-28 12:00:00
111.8,166.6,0.79,13.69,23.15,1.14,7.92,140.75,2023-02-28 12:15:00
111.8,166.6,1.22,15.11,21.84,1.41,9.03,140.84,2023-02-28 12:30:00
95.1,199.3,2.73,35.5,14.12,0.93,21.1,115.64,2023-02-28 12:45:00
95.1,199.3,1.66,17.64,10.47,0.77,10.73,123.31,2023-02-28 13:00:00
95.1,199.3,2.0,16.16,12.7,0.94,10.22,104.29,2023-02-28 13:15:00
95.1,199.3,1.36,21.61,11.16,1.18,12.6,101.53,2023-02-28 13:30:00
62.1,137.7,2.4,16.07,14.57,1.29,10.5,98.02,2023-02-28 13:45:00
62.1,137.7,1.2,14.75,13.69,1.51,8.82,95.66,2023-02-28 14:00:00
