pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,19.74,89.41,0.93,255.68,855.47,2022-04-18 17:00:00,,,,
31.2,42.0,1.58,12.09,4.08,0.37,13.68,21.94,19.61,89.21,0.4,230.77,855.52,2022-04-18 17:15:00,2.72,,,
31.2,42.0,1.39,11.65,4.27,0.38,13.01,17.91,19.41,89.3,0.29,256.8,855.61,2022-04-18 17:30:00,2.89,,,
31.2,42.0,1.36,12.41,4.32,0.39,13.71,15.48,19.34,90.15,0.32,236.57,855.72,2022-04-18 17:45:00,2.74,,,
33.1,49.2,1.73,12.44,4.1,0.4,14.2,13.53,19.15,90.95,0.52,189.32,855.86,2022-04-18 18:00:00,2.82,,,
33.1,49.2,1.78,12.25,4.25,0.42,14.15,14.25,19.13,91.54,0.77,263.86,856.11,2022-04-18 18:15:00,2.82,,,
33.1,49.2,1.54,11.05,4.25,0.43,12.64,15.68,19.05,90.76,0.37,209.95,856.22,2022-04-18 18:30:00,2.71,,,
33.1,49.2,1.67,10.48,4.34,0.45,12.33,13.87,18.93,90.46,0.26,203.61,856.44,2022-04-18 18:45:00,2.77,,,
42.1,61.3,1.92,13.4,4.16,0.51,15.44,8.52,18.63,91.11,0.31,131.82,856.6,2022-04-18 19:00:00,2.72,,,
42.1,61.3,1.87,13.8,4.12,0.54,15.77,6.49,18.42,90.95,0.35,102.2,856.79,2022-04-18 19:15:00,2.61,,,
42.1,61.3,2.17,13.97,4.19,0.57,16.3,5.18,18.25,90.78,0.37,132.68,856.93,2022-04-18 19:30:00,2.69,,,
42.1,61.3,2.71,16.21,4.13,0.64,19.25,2.32,18.03,91.57,0.69,189.31,857.13,2022-04-18 19:45:00,2.64,,,
49.2,95.1,4.43,18.56,4.07,0.73,23.93,0.23,17.76,91.93,0.37,178.69,857.38,2022-04-18 20:00:00,2.73,,,
49.2,95.1,8.46,20.8,4.12,0.83,31.86,,17.59,92.55,0.83,175.29,857.61,2022-04-18 20:15:00,2.71,,,
