pm2.5,pm10,no,no2,so2,co,nox,timestamp
30.33,50.05,,,0.32,0.18,17.59,2020-01-23 15:15:00
30.33,50.05,,,0.35,0.14,16.57,2020-01-23 15:30:00
30.33,49.9,,,0.45,0.11,16.32,2020-01-23 15:45:00
30.33,49.36,,,0.68,0.18,15.72,2020-01-23 16:00:00
30.33,49.36,,,0.48,0.14,15.34,2020-01-23 16:15:00
30.33,49.36,,,0.91,0.13,16.05,2020-01-23 16:30:00
31.04,52.84,,,0.8,0.19,17.46,2020-01-23 16:45:00
33.65,65.59,,,0.74,0.21,19.38,2020-01-23 17:00:00
33.65,65.59,,,0.64,0.17,23.02,2020-01-23 17:15:00
33.65,65.59,,,0.45,0.11,27.07,2020-01-23 17:30:00
35.68,73.56,,,0.39,0.2,27.97,2020-01-23 17:45:00
43.13,102.79,,,0.42,0.14,29.57,2020-01-23 18:00:00
43.13,102.79,,,0.75,0.2,33.06,2020-01-23 18:15:00
43.13,102.79,,,0.46,0.14,41.62,2020-01-23 18:30:00
46.56,108.07,,,0.78,0.18,54.75,2020-01-23 18:45:00
67.17,134.47,,,1.07,0.18,66.63,2020-01-23 19:00:00
67.17,134.47,,,0.68,0.2,73.66,2020-01-23 19:15:00
67.17,134.47,,,0.94,0.13,78.22,2020-01-23 19:30:00
72.69,142.26,,,0.88,0.1,81.31,2020-01-23 19:45:00
105.78,170.81,,,0.56,0.19,83.47,2020-01-23 20:00:00
105.78,170.81,,,0.44,0.2,85.55,2020-01-23 20:15:00
105.78,170.81,,,0.32,0.13,83.59,2020-01-23 20:30:00
105.34,169.97,,,0.93,0.16,85.86,2020-01-23 20:45:00
103.88,167.15,,,0.46,0.2,78.51,2020-01-23 21:00:00
103.88,167.15,,,0.65,0.12,76.12,2020-01-23 21:15:00
103.88,167.15,,,0.58,0.12,80.44,2020-01-23 21:30:00
103.19,162.83,,,0.44,0.09,86.97,2020-01-23 21:45:00
100.66,152.03,,,0.83,0.15,89.79,2020-01-23 22:00:00
100.66,152.03,,,0.7,0.2,92.87,2020-01-23 22:15:00
100.66,152.03,,,0.56,0.11,91.5,2020-01-23 22:30:00
102.41,157.07,,,0.52,0.1,88.69,2020-01-23 22:45:00
123.4,173.88,,,0.56,0.11,84.58,2020-01-23 23:00:00
123.4,173.88,,,0.67,0.12,80.38,2020-01-23 23:15:00
123.4,173.88,,,0.61,0.17,73.37,2020-01-23 23:30:00
122.39,173.09,,,0.47,0.11,63.43,2020-01-23 23:45:00
118.7,170.2,,,0.87,0.07,54.7,2020-01-24 00:00:00
118.7,170.2,,,0.53,0.09,48.47,2020-01-24 00:15:00
118.7,170.2,,,0.73,0.19,42.33,2020-01-24 00:30:00
114.48,162.28,,,0.72,0.18,37.27,2020-01-24 00:45:00
91.3,133.24,,,0.69,0.23,33.09,2020-01-24 01:00:00
91.3,133.24,,,0.69,0.18,31.96,2020-01-24 01:15:00
91.3,133.24,,,0.71,0.15,31.64,2020-01-24 01:30:00
89.04,127.52,,,0.81,0.2,31.22,2020-01-24 01:45:00
75.51,106.56,,,0.52,0.19,28.8,2020-01-24 02:00:00
75.51,106.56,,,0.49,0.23,24.38,2020-01-24 02:15:00
75.51,106.56,,,0.65,0.22,20.87,2020-01-24 02:30:00
75.51,103.2,,,0.65,0.2,19.27,2020-01-24 02:45:00
,90.88,,,0.41,0.11,18.06,2020-01-24 03:00:00
,90.88,,,0.39,0.13,16.5,2020-01-24 03:15:00
,90.88,,,0.46,0.15,15.46,2020-01-24 03:30:00
75.51,86.41,,,0.74,0.18,14.88,2020-01-24 03:45:00
,,,,0.49,0.15,13.97,2020-01-24 04:00:00
,,,,0.84,0.12,13.39,2020-01-24 04:15:00
,,,,0.66,0.11,13.53,2020-01-24 04:30:00
69.27,70.0,,,0.33,0.12,14.02,2020-01-24 04:45:00
46.4,70.0,,,0.38,0.18,14.16,2020-01-24 05:00:00
46.4,70.0,,,0.52,0.18,13.83,2020-01-24 05:15:00
46.4,70.0,,,0.75,0.21,13.62,2020-01-24 05:30:00
44.23,63.87,,,0.65,0.13,13.61,2020-01-24 05:45:00
32.28,41.39,,,0.54,0.14,14.15,2020-01-24 06:00:00
32.28,41.39,,,0.44,0.13,17.07,2020-01-24 06:15:00
32.28,41.39,,,0.59,0.22,20.8,2020-01-24 06:30:00
36.16,41.39,,,0.53,0.19,23.11,2020-01-24 06:45:00
,,,,0.41,0.18,24.16,2020-01-24 07:00:00
,,,,0.57,0.16,25.18,2020-01-24 07:15:00
,,,,0.52,0.13,25.66,2020-01-24 07:30:00
52.63,52.76,,,0.5,0.17,25.56,2020-01-24 07:45:00
77.36,94.47,,,0.55,0.25,26.35,2020-01-24 08:00:00
77.36,94.47,,,0.86,0.15,27.5,2020-01-24 08:15:00
77.36,94.47,,,1.07,0.13,29.77,2020-01-24 08:30:00
79.15,102.95,,,0.81,0.17,31.72,2020-01-24 08:45:00
88.99,134.03,,,0.78,0.2,30.12,2020-01-24 09:00:00
88.99,134.03,,,1.08,0.22,24.54,2020-01-24 09:15:00
88.99,134.03,,,0.89,0.18,20.29,2020-01-24 09:30:00
84.31,132.05,,,0.57,0.15,18.22,2020-01-24 09:45:00
67.13,124.79,,,0.8,0.19,16.8,2020-01-24 10:00:00
67.13,124.79,,,0.72,0.13,16.29,2020-01-24 10:15:00
67.13,124.79,,,0.88,0.16,15.85,2020-01-24 10:30:00
67.13,114.46,,,0.81,0.1,15.31,2020-01-24 10:45:00
67.13,76.57,,,0.77,0.14,15.41,2020-01-24 11:00:00
67.13,76.57,,,0.97,0.13,16.24,2020-01-24 11:15:00
67.13,76.57,,,0.73,0.1,16.29,2020-01-24 11:30:00
59.89,76.57,,,0.81,0.1,15.69,2020-01-24 11:45:00
20.04,76.57,,,1.04,0.14,14.94,2020-01-24 12:00:00
20.04,76.57,,,0.89,0.23,13.7,2020-01-24 12:15:00
20.04,76.57,,,0.72,0.18,13.9,2020-01-24 12:30:00
,,,,0.83,0.09,15.81,2020-01-24 13:00:00
,,,,0.7,0.19,15.6,2020-01-24 13:15:00
,,,,0.77,0.26,14.34,2020-01-24 13:30:00
,,,,0.58,0.19,13.37,2020-01-24 13:45:00
13.71,18.07,,,0.72,0.16,12.58,2020-01-24 14:00:00
13.71,18.07,,,1.1,0.16,12.65,2020-01-24 14:15:00
13.71,18.07,,,1.02,0.19,13.35,2020-01-24 14:30:00
15.67,20.59,,,0.69,0.22,13.5,2020-01-24 14:45:00
25.45,34.45,,,0.66,0.18,14.23,2020-01-24 15:00:00
25.45,34.45,,,0.77,0.18,15.67,2020-01-24 15:15:00
25.45,34.45,,,1.0,0.19,17.14,2020-01-24 15:30:00
25.48,34.42,,,1.04,0.21,17.53,2020-01-24 15:45:00
25.67,34.33,,,0.93,0.2,17.61,2020-01-24 16:00:00
25.67,34.33,,,0.88,0.19,18.65,2020-01-24 16:15:00
25.67,34.33,,,1.01,0.14,19.57,2020-01-24 16:30:00
27.36,37.11,,,0.97,0.16,20.46,2020-01-24 16:45:00
35.83,52.37,,,0.92,0.15,20.55,2020-01-24 17:00:00
