pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
90.26,97.24,21.29,17.65,59.56,0.52,26.68,42.93,30.84,31.74,0.53,210.65,2023-12-26 15:00:00,370.42,0.24,1.96,3.24,
90.0,95.6,18.1,18.28,59.43,0.52,24.3,42.35,30.41,33.64,0.39,113.12,2023-12-26 15:15:00,361.47,0.23,1.98,3.29,
90.0,95.6,20.09,18.39,57.85,0.53,26.03,41.19,30.17,33.31,0.95,192.07,2023-12-26 15:30:00,291.76,0.25,2.02,3.37,
90.0,95.6,17.6,18.76,57.49,0.53,23.54,41.05,28.76,39.57,1.37,192.54,2023-12-26 15:45:00,311.62,0.24,2.07,3.42,
86.04,92.83,19.69,18.57,57.67,0.53,26.34,41.05,27.68,43.67,1.08,173.33,2023-12-26 16:00:00,309.38,0.27,2.15,3.42,
85.9,92.4,16.42,19.48,57.79,0.53,23.71,40.94,27.03,45.32,1.42,202.23,2023-12-26 16:15:00,324.85,0.29,2.2,3.44,
85.9,92.4,20.24,20.08,57.88,0.53,27.03,40.57,26.58,45.73,1.46,201.06,2023-12-26 16:30:00,333.32,0.25,2.27,3.5,
85.9,92.4,16.98,21.04,58.1,0.53,24.96,40.71,26.33,45.91,1.77,184.61,2023-12-26 16:45:00,328.23,0.23,2.28,3.51,3.09
105.52,111.21,19.49,22.29,58.3,0.53,27.9,40.93,26.06,46.6,1.47,173.85,2023-12-26 17:00:00,330.33,0.26,2.25,3.51,3.11
106.2,114.1,17.26,21.72,58.13,0.53,25.24,40.77,25.35,49.41,0.33,130.87,2023-12-26 17:15:00,330.52,0.24,2.34,3.5,3.09
106.2,114.1,19.97,22.12,57.8,0.53,28.3,39.7,23.88,55.44,0.01,1.35,2023-12-26 17:30:00,317.01,0.21,2.32,3.51,3.06
106.2,114.1,17.15,21.63,57.73,0.54,25.25,39.13,22.28,60.88,,,2023-12-26 17:45:00,305.41,0.23,2.28,3.54,3.06
109.4,123.1,16.58,23.84,58.19,0.54,26.44,37.42,20.42,68.8,0.06,58.71,2023-12-26 18:15:00,210.17,0.22,2.29,3.62,3.09
109.4,123.1,18.7,24.83,58.22,0.55,28.35,36.88,20.49,69.44,0.15,103.44,2023-12-26 18:30:00,126.91,0.23,2.22,3.62,3.03
109.4,123.1,18.26,25.39,59.26,0.57,28.8,38.29,20.33,69.74,0.03,28.94,2023-12-26 18:45:00,104.39,0.25,2.19,3.61,2.95
146.91,164.7,20.93,26.18,59.13,0.59,31.21,38.47,19.96,71.53,,,2023-12-26 19:00:00,98.89,0.25,2.18,3.65,3.0
148.2,171.1,18.97,27.2,59.38,0.61,30.19,38.8,19.37,74.36,,,2023-12-26 19:15:00,95.32,0.25,2.12,3.68,2.82
148.2,171.1,21.8,26.3,59.35,0.62,32.12,38.34,19.21,75.84,0.03,12.07,2023-12-26 19:30:00,97.74,0.29,2.06,3.65,2.76
148.2,171.1,20.64,27.02,59.32,0.63,31.42,38.65,18.98,77.35,0.01,6.0,2023-12-26 19:45:00,94.03,0.33,2.06,3.76,2.8
146.75,170.93,22.74,26.73,59.15,0.65,33.48,38.16,18.42,80.02,0.01,12.0,2023-12-26 20:00:00,92.33,0.3,2.08,3.84,2.86
146.7,170.9,22.72,27.22,59.82,0.67,33.99,38.81,18.34,81.44,0.07,57.3,2023-12-26 20:15:00,88.8,0.28,2.04,3.81,2.82
146.7,170.9,25.75,26.86,61.39,0.69,36.94,39.32,18.99,77.81,0.05,20.67,2023-12-26 20:30:00,86.78,0.3,2.06,3.84,2.85
146.7,170.9,24.14,28.08,62.47,0.71,35.46,40.02,19.22,76.56,0.09,82.51,2023-12-26 20:45:00,87.92,0.33,2.03,3.91,2.85
171.45,188.06,25.54,27.44,63.5,0.71,36.85,40.53,19.07,77.21,0.01,14.81,2023-12-26 21:00:00,90.21,0.35,2.01,4.01,2.83
172.3,190.7,22.94,29.19,64.47,0.72,35.2,40.2,18.49,79.42,0.01,4.39,2023-12-26 21:15:00,85.57,0.39,1.97,4.01,2.78
172.3,190.7,24.9,28.13,63.04,0.72,36.08,40.06,18.06,81.07,0.06,10.03,2023-12-26 21:30:00,84.63,0.4,1.93,4.0,2.73
172.3,190.7,22.01,29.19,63.53,0.73,34.64,40.06,17.97,81.79,0.05,22.16,2023-12-26 21:45:00,83.32,0.36,1.85,3.96,2.63
156.45,172.5,24.3,27.05,62.61,0.73,35.52,40.0,17.75,82.16,0.02,11.94,2023-12-26 22:00:00,86.99,0.35,1.8,3.88,2.58
155.9,169.7,21.49,29.82,63.44,0.74,33.45,39.86,17.32,83.73,0.01,6.0,2023-12-26 22:15:00,90.44,0.36,1.8,3.88,2.59
155.9,169.7,23.24,27.95,62.58,0.74,34.69,39.86,16.95,84.82,0.02,17.24,2023-12-26 22:30:00,86.26,0.38,1.74,3.86,2.53
155.9,169.7,21.07,27.73,63.47,0.75,33.41,40.12,16.58,86.24,0.01,11.95,2023-12-26 22:45:00,86.24,0.38,1.68,3.8,2.46
