pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,toluene
,,6.52,11.97,7.6,,5.83,3.78,24.03,72.49,0.28,78.8,2024-09-19 09:45:00,0.33,0.0,0.0
,,6.52,11.97,7.55,0.0,5.83,4.13,23.97,72.63,0.23,87.5,2024-09-19 10:00:00,,0.0,0.0
,,6.31,12.47,7.54,0.0,5.81,4.93,23.87,71.64,0.21,93.3,2024-09-19 10:15:00,0.02,0.0,0.0
,,6.19,10.9,7.55,0.0,5.83,5.03,23.84,69.2,0.29,93.3,2024-09-19 10:30:00,,0.0,0.0
,,6.27,12.72,7.52,0.0,5.83,4.68,23.85,72.51,0.26,93.3,2024-09-19 10:45:00,,0.0,0.0
,,6.81,10.72,7.53,0.0,5.83,5.19,23.72,71.08,0.26,81.42,2024-09-19 11:00:00,,0.0,0.0
73.5,75.4,5.17,12.47,7.53,0.0,5.83,5.83,23.72,68.45,0.31,73.5,2024-09-19 11:15:00,,0.0,0.0
73.5,75.4,4.92,13.16,7.51,0.0,5.83,5.34,23.74,72.26,0.27,73.5,2024-09-19 11:30:00,,0.0,0.0
73.5,75.4,4.92,13.1,7.5,0.0,5.85,6.38,23.55,67.86,0.29,73.5,2024-09-19 11:45:00,,0.0,0.0
74.94,76.18,4.92,13.16,7.5,0.0,5.83,5.91,23.67,71.54,0.29,74.94,2024-09-19 12:00:00,,0.0,0.0
75.9,76.3,4.92,13.16,7.5,0.0,5.94,6.81,23.45,69.1,0.26,75.9,2024-09-19 12:15:00,,0.0,0.0
75.9,76.3,4.92,13.16,7.5,0.0,5.83,6.12,23.6,69.86,0.31,75.9,2024-09-19 12:30:00,,0.0,0.0
75.9,76.3,4.92,13.03,7.5,0.0,5.87,6.54,23.41,69.96,0.26,75.9,2024-09-19 12:45:00,,0.0,0.0
77.58,78.55,4.92,12.47,7.5,0.0,5.87,6.91,23.54,69.5,0.29,77.58,2024-09-19 13:00:00,0.02,0.0,0.0
78.7,78.9,4.92,12.91,7.5,0.0,5.87,7.57,23.32,68.93,0.28,78.7,2024-09-19 13:15:00,0.21,0.0,0.0
78.7,78.9,4.92,12.22,7.5,0.0,5.85,6.48,23.48,69.77,0.31,78.7,2024-09-19 13:30:00,0.07,0.0,0.0
78.7,78.9,4.92,12.91,7.5,0.0,5.87,7.33,23.33,70.25,0.28,78.7,2024-09-19 13:45:00,0.02,0.0,0.0
81.22,85.75,4.92,13.03,7.5,0.01,5.87,6.45,23.52,69.49,0.31,81.22,2024-09-19 14:00:00,,0.0,0.0
82.9,86.8,4.92,13.16,7.5,0.01,5.97,7.05,23.25,69.01,0.27,82.9,2024-09-19 14:15:00,0.14,0.0,0.0
82.9,86.8,4.96,13.03,7.5,0.01,5.98,6.75,23.42,69.88,0.31,82.9,2024-09-19 14:30:00,0.02,0.0,0.0
82.9,86.8,4.92,13.16,7.5,0.01,5.85,7.29,23.18,69.06,0.29,82.9,2024-09-19 14:45:00,0.09,0.0,0.0
89.87,90.87,4.92,13.1,7.5,0.01,5.83,6.86,23.45,71.39,0.3,89.87,2024-09-19 15:00:00,,0.0,0.0
,,4.92,13.16,7.5,0.01,5.95,8.39,23.25,67.3,0.34,93.9,2024-09-19 15:15:00,,0.0,0.0
,,4.96,13.1,7.5,0.0,6.22,6.78,23.33,72.68,0.26,93.9,2024-09-19 15:30:00,,0.0,0.0
,,4.92,13.16,7.5,0.0,5.83,7.4,23.38,67.33,0.32,93.9,2024-09-19 15:45:00,0.05,0.0,0.0
,,4.92,13.16,7.49,0.0,6.34,6.41,23.35,71.94,0.25,93.58,2024-09-19 16:00:00,,0.0,0.0
,,4.92,13.1,7.5,0.0,6.13,7.37,23.43,67.18,0.32,93.4,2024-09-19 16:15:00,0.23,0.0,0.0
,,4.92,13.16,7.5,0.0,5.9,7.47,23.14,70.79,0.28,93.4,2024-09-19 16:30:00,0.14,0.0,0.0
,,4.92,11.34,7.5,0.0,5.64,13.81,23.92,79.5,0.24,93.4,2024-09-19 16:45:00,0.12,0.0,0.0
39.52,91.31,4.92,8.46,7.62,0.0,4.36,18.65,26.18,81.79,0.13,39.52,2024-09-19 17:00:00,0.4,0.0,0.0
,91.1,4.92,7.9,7.76,0.0,4.47,16.4,26.68,65.88,0.08,,2024-09-19 17:15:00,0.23,0.0,0.0
,91.1,4.31,11.03,7.64,0.0,5.34,9.84,24.59,64.03,0.09,,2024-09-19 17:30:00,,0.0,0.0
,91.1,4.92,13.16,7.52,0.0,5.34,6.77,24.17,66.28,0.07,,2024-09-19 17:45:00,0.02,0.0,0.0
36.54,90.23,4.92,13.16,7.5,0.0,5.64,5.81,23.91,65.14,0.07,36.54,2024-09-19 18:00:00,0.05,0.0,0.0
