pm2.5,pm10,no,no2,so2,co,nox,timestamp
,222.32,7.44,16.35,19.17,0.43,14.54,2023-01-12 17:45:00
,222.32,7.25,15.45,18.72,0.46,13.92,2023-01-12 18:00:00
,337.88,6.83,15.59,19.45,0.46,13.66,2023-01-12 18:15:00
73.26,191.26,3.99,17.82,20.0,0.51,12.54,2023-01-12 18:30:00
,,5.12,19.35,19.77,0.53,14.25,2023-01-12 18:45:00
24.22,51.93,6.98,16.86,20.2,0.52,14.44,2023-01-12 19:00:00
128.24,259.65,6.91,16.56,19.94,0.53,14.23,2023-01-12 19:15:00
127.61,262.81,7.48,17.29,20.49,0.52,15.07,2023-01-12 19:30:00
124.9,275.47,7.48,17.29,20.22,0.54,15.07,2023-01-12 19:45:00
116.33,270.89,2.18,10.41,19.96,0.46,7.22,2023-01-12 20:00:00
79.52,252.57,2.18,10.41,20.63,0.37,7.22,2023-01-12 20:15:00
84.95,248.42,2.18,10.41,20.74,0.35,7.22,2023-01-12 20:30:00
108.29,231.79,3.62,11.71,21.0,0.34,9.05,2023-01-12 20:45:00
107.34,222.5,7.24,20.61,20.97,0.31,16.61,2023-01-12 21:00:00
103.24,185.34,5.33,21.86,21.55,0.29,15.73,2023-01-12 21:15:00
99.59,179.11,3.94,20.19,21.71,0.3,13.74,2023-01-12 21:30:00
83.93,154.23,4.27,20.26,21.75,0.33,14.05,2023-01-12 21:45:00
85.29,152.46,5.48,22.04,21.95,0.34,15.94,2023-01-12 22:00:00
91.12,145.41,3.9,19.61,22.32,0.32,13.4,2023-01-12 22:15:00
94.45,157.89,10.33,28.75,22.51,0.28,23.34,2023-01-12 22:30:00
108.74,207.84,11.48,30.96,23.27,0.29,25.41,2023-01-12 22:45:00
112.84,225.61,11.48,30.96,23.19,0.31,25.41,2023-01-12 23:00:00
130.42,296.66,8.84,27.16,23.5,0.32,21.28,2023-01-12 23:15:00
136.87,302.07,0.7,15.69,22.83,0.33,8.76,2023-01-12 23:30:00
166.17,320.8,1.86,17.16,20.52,0.37,10.49,2023-01-13 00:00:00
173.19,,1.86,17.16,19.28,0.4,10.49,2023-01-13 00:15:00
179.92,,8.01,17.1,19.2,0.37,15.39,2023-01-13 00:30:00
206.81,,9.61,16.71,19.56,0.38,16.47,2023-01-13 00:45:00
211.8,,5.91,18.56,19.12,0.41,14.47,2023-01-13 01:00:00
233.24,,5.74,18.61,19.76,0.42,14.36,2023-01-13 01:15:00
241.76,,5.42,17.88,19.93,0.42,13.72,2023-01-13 01:30:00
278.36,,5.3,17.73,19.86,0.41,13.55,2023-01-13 01:45:00
263.61,,5.56,19.99,19.92,0.36,14.94,2023-01-13 02:00:00
200.27,,5.1,19.35,19.96,0.33,14.23,2023-01-13 02:15:00
190.03,,4.54,18.63,20.35,0.3,13.41,2023-01-13 02:30:00
146.05,,5.08,19.18,20.59,0.29,14.13,2023-01-13 02:45:00
138.86,,5.89,16.22,20.36,0.25,13.23,2023-01-13 03:00:00
107.96,,5.9,16.21,20.52,0.23,13.23,2023-01-13 03:15:00
107.54,,5.9,16.21,20.29,0.25,13.23,2023-01-13 03:30:00
105.77,,5.9,16.21,20.72,0.3,13.23,2023-01-13 03:45:00
100.59,,5.9,16.21,20.8,0.33,13.23,2023-01-13 04:00:00
78.35,,3.6,9.91,21.05,0.36,8.09,2023-01-13 04:15:00
80.29,,,,20.95,0.38,0.0,2023-01-13 04:30:00
88.62,,,,20.91,0.36,0.0,2023-01-13 04:45:00
86.49,,,34.96,20.59,0.35,13.64,2023-01-13 05:00:00
77.35,,4.64,50.77,21.59,0.34,19.81,2023-01-13 05:15:00
76.23,,14.39,,21.26,0.32,0.0,2023-01-13 05:30:00
71.45,,14.39,,20.83,0.3,0.0,2023-01-13 05:45:00
69.23,,14.39,,20.23,0.28,0.0,2023-01-13 06:00:00
59.72,,14.39,,19.48,0.31,0.0,2023-01-13 06:15:00
57.23,,14.39,,19.2,0.32,0.0,2023-01-13 06:30:00
46.56,,14.39,,19.64,0.33,0.0,2023-01-13 06:45:00
54.54,,14.39,,19.64,0.34,0.0,2023-01-13 07:00:00
88.83,,1.63,93.51,19.65,0.34,44.59,2023-01-13 07:15:00
93.06,,,92.94,19.29,0.33,43.59,2023-01-13 07:30:00
111.2,,,11.2,19.51,0.35,0.0,2023-01-13 07:45:00
108.82,,3.24,8.7,18.95,0.36,7.17,2023-01-13 08:00:00
98.63,,1.29,3.48,19.0,0.38,2.87,2023-01-13 08:15:00
100.55,,,,19.27,0.38,0.0,2023-01-13 08:30:00
108.82,,,,19.1,0.39,0.0,2023-01-13 08:45:00
107.66,,,,18.93,0.37,0.0,2023-01-13 09:00:00
102.69,,,,18.88,0.41,0.0,2023-01-13 09:15:00
