pm2.5,pm10,no,no2,co,nox,ozone,timestamp,benzene,eth_benzene,toluene,mp_xylene
12.04,28.47,6.75,19.16,1.41,15.68,17.96,2024-08-05 16:45:00,1.98,0.6,3.42,0.98
12.04,28.47,5.04,14.3,1.11,11.7,17.39,2024-08-05 17:00:00,1.61,0.48,2.77,0.8
11.92,28.34,5.97,16.93,1.23,13.85,19.48,2024-08-05 17:15:00,1.77,0.53,3.05,0.88
11.46,26.62,6.39,18.13,1.3,14.83,15.19,2024-08-05 17:30:00,1.9,0.57,3.27,0.94
11.46,26.62,6.26,17.75,1.28,14.52,16.8,2024-08-05 17:45:00,1.87,0.56,3.22,0.93
11.46,26.62,6.69,18.99,1.36,15.54,16.15,2024-08-05 18:00:00,1.94,0.59,3.34,0.96
11.52,26.85,6.84,19.42,1.42,15.89,14.06,2024-08-05 18:15:00,2.06,0.62,3.55,1.02
11.87,27.94,7.11,20.19,1.51,16.52,7.73,2024-08-05 18:30:00,2.11,0.64,3.63,1.05
11.87,27.94,7.4,21.01,1.52,17.19,8.92,2024-08-05 18:45:00,2.11,0.64,3.63,1.05
11.87,27.94,5.88,16.69,1.15,13.65,7.95,2024-08-05 19:00:00,1.27,0.38,2.19,0.63
12.12,29.33,6.57,18.63,1.35,15.24,7.21,2024-08-05 19:15:00,1.93,0.58,3.32,0.96
14.03,34.92,7.5,21.29,1.46,17.42,4.87,2024-08-05 19:30:00,2.12,0.64,3.65,1.05
14.03,34.92,8.06,22.86,1.67,18.7,3.18,2024-08-05 19:45:00,2.29,0.69,3.95,1.14
14.03,34.92,7.76,22.02,1.56,18.02,2.06,2024-08-05 20:00:00,2.19,0.66,3.77,1.09
14.65,37.35,7.66,21.74,1.57,17.79,0.14,2024-08-05 20:15:00,2.2,0.66,3.78,1.09
17.16,45.01,8.03,22.78,1.65,18.64,,2024-08-05 20:30:00,2.26,0.68,3.89,1.12
17.16,45.01,9.1,25.81,1.87,21.12,,2024-08-05 20:45:00,2.53,0.76,4.36,1.26
17.16,45.01,5.1,14.47,1.38,11.84,0.02,2024-08-05 21:00:00,2.02,0.61,3.48,1.0
16.32,41.21,7.75,22.0,1.59,18.0,0.14,2024-08-05 21:15:00,2.21,0.67,3.82,1.1
