pm2.5,pm10,no,no2,co,nox,ozone,timestamp
62.6,113.3,8.53,21.96,1.75,18.62,16.0,2021-01-12 14:15:00
61.3,109.8,9.13,22.0,1.68,19.13,19.0,2021-01-12 14:30:00
61.0,108.0,8.59,22.21,1.63,18.79,20.0,2021-01-12 14:45:00
61.8,108.4,8.49,22.64,1.64,18.95,18.0,2021-01-12 15:00:00
60.7,105.6,8.67,22.33,1.58,18.93,22.0,2021-01-12 15:15:00
58.2,101.3,9.02,22.36,1.58,19.23,22.0,2021-01-12 15:30:00
56.0,96.8,8.93,22.78,1.54,19.38,21.0,2021-01-12 15:45:00
52.9,90.7,8.36,22.55,1.57,18.79,16.0,2021-01-12 16:00:00
52.0,87.5,8.63,22.69,1.54,19.09,23.0,2021-01-12 16:15:00
55.0,91.3,8.49,22.6,1.55,18.92,17.0,2021-01-12 16:30:00
55.2,90.4,8.45,22.68,1.55,18.93,18.0,2021-01-12 16:45:00
54.8,88.0,8.42,22.52,1.57,18.82,20.0,2021-01-12 17:00:00
55.0,88.4,8.71,22.11,1.62,18.84,16.0,2021-01-12 17:15:00
63.1,118.2,9.05,22.29,1.66,19.22,16.0,2021-01-12 17:30:00
86.6,191.3,8.85,22.16,1.7,18.98,16.0,2021-01-12 17:45:00
104.6,249.1,8.76,22.62,1.74,19.15,13.0,2021-01-12 18:00:00
108.4,267.9,8.49,22.72,1.79,18.99,13.0,2021-01-12 18:15:00
100.4,252.9,8.42,22.51,1.82,18.82,16.0,2021-01-12 18:30:00
74.9,187.5,8.23,22.63,1.87,18.73,17.0,2021-01-12 18:45:00
47.6,113.5,8.51,22.28,1.85,18.78,17.0,2021-01-12 19:00:00
41.6,92.8,8.0,22.43,1.83,18.43,17.0,2021-01-12 19:15:00
50.2,104.0,7.93,22.49,1.87,18.41,12.0,2021-01-12 19:30:00
60.1,119.1,7.82,22.34,1.92,18.24,9.0,2021-01-12 19:45:00
70.7,135.3,8.55,22.73,2.01,19.04,9.0,2021-01-12 20:00:00
76.5,144.3,8.57,22.46,2.14,18.91,8.0,2021-01-12 20:15:00
76.5,149.0,7.8,22.66,2.26,18.4,9.0,2021-01-12 20:30:00
72.6,146.2,7.96,22.98,2.37,18.69,9.0,2021-01-12 20:45:00
68.9,142.8,8.69,22.53,2.43,19.05,8.0,2021-01-12 21:00:00
64.8,138.0,8.9,22.52,2.47,19.22,12.0,2021-01-12 21:15:00
59.4,126.6,8.62,22.69,2.47,19.07,13.0,2021-01-12 21:30:00
55.8,111.9,8.86,22.6,2.47,19.22,11.0,2021-01-12 21:45:00
53.3,101.9,8.44,22.58,2.41,18.87,10.0,2021-01-12 22:00:00
54.6,101.5,8.16,22.68,2.43,18.69,10.0,2021-01-12 22:15:00
59.9,108.7,8.47,22.6,2.44,18.9,11.0,2021-01-12 22:30:00
64.1,114.6,8.62,22.6,2.43,19.04,10.0,2021-01-12 22:45:00
68.7,122.9,8.38,22.79,2.41,18.93,11.0,2021-01-12 23:00:00
70.9,127.8,8.15,22.76,2.42,18.73,11.0,2021-01-12 23:15:00
71.1,131.1,8.01,22.74,2.41,18.61,8.0,2021-01-12 23:30:00
