pm2.5,pm10,no,no2,co,nox,ozone,timestamp,benzene,eth_benzene,toluene,mp_xylene,xylene
28.62,48.39,4.78,12.98,,17.77,20.0,2020-11-13 14:00:00,1.76,,,1.33,
27.97,47.3,5.15,12.48,,17.63,21.0,2020-11-13 14:15:00,1.62,,,1.31,
27.97,47.3,5.44,12.73,,18.17,21.0,2020-11-13 14:30:00,1.58,,,1.3,
27.97,47.3,5.13,12.27,,17.4,21.0,2020-11-13 14:45:00,1.54,,,1.28,
23.2,38.77,4.97,12.04,,17.01,23.0,2020-11-13 15:00:00,1.49,,,1.28,
20.08,33.2,5.14,11.64,,16.78,24.0,2020-11-13 15:15:00,1.45,,,1.26,
20.08,33.2,5.49,12.36,,17.85,23.0,2020-11-13 15:30:00,1.41,,,1.25,
20.08,33.2,5.11,12.28,,17.4,23.0,2020-11-13 15:45:00,1.38,,,1.24,
18.46,30.07,5.09,12.37,,17.46,22.0,2020-11-13 16:00:00,1.86,,,1.23,
17.3,28.24,5.39,12.33,,17.71,22.0,2020-11-13 16:15:00,1.38,,,1.21,
17.3,28.24,4.48,11.23,,15.72,21.0,2020-11-13 16:30:00,1.27,,,1.21,
17.3,28.24,5.54,12.6,,18.14,21.0,2020-11-13 16:45:00,1.25,,,1.2,
23.38,38.85,5.14,12.62,,17.76,21.0,2020-11-13 17:00:00,1.24,,,1.2,
27.52,46.49,5.57,13.28,,18.86,21.0,2020-11-13 17:15:00,1.2,,,1.18,
27.52,46.49,5.33,14.38,,19.71,18.0,2020-11-13 17:30:00,1.16,,,1.17,
27.52,46.49,4.82,16.05,,20.87,17.0,2020-11-13 17:45:00,1.13,,,1.17,
27.52,46.49,4.5,17.42,,21.92,16.0,2020-11-13 18:00:00,1.14,,,1.16,
27.52,46.49,4.63,18.36,,22.99,13.0,2020-11-13 18:15:00,1.14,,,1.16,
27.52,46.49,5.01,23.83,,28.84,9.0,2020-11-13 18:30:00,1.17,,,1.16,
27.52,46.49,7.25,30.28,,37.54,6.0,2020-11-13 18:45:00,1.21,,,1.16,
47.96,87.92,7.64,31.47,,39.12,5.0,2020-11-13 19:00:00,1.38,,,1.16,
63.29,110.36,10.18,33.72,,43.9,4.0,2020-11-13 19:15:00,1.58,,,1.16,
63.29,110.36,10.99,34.42,,45.4,4.0,2020-11-13 19:30:00,1.71,,,1.18,
63.29,110.36,8.14,31.4,,39.53,5.0,2020-11-13 19:45:00,1.81,,,1.18,
72.74,131.06,17.58,36.36,,53.94,4.0,2020-11-13 20:00:00,2.32,,,1.19,
78.41,137.36,32.63,45.58,,78.21,4.0,2020-11-13 20:15:00,2.03,,,1.19,
78.41,137.36,37.33,45.92,,83.25,4.0,2020-11-13 20:30:00,2.06,,,1.2,
78.41,137.36,22.75,37.92,,60.67,4.0,2020-11-13 20:45:00,2.73,,,1.23,
89.26,157.54,31.16,43.78,,74.94,4.0,2020-11-13 21:00:00,2.53,,,1.26,
96.36,169.42,49.96,51.26,,101.22,4.0,2020-11-13 21:15:00,2.6,,,1.3,
96.36,169.42,53.08,50.26,,103.34,4.0,2020-11-13 21:30:00,3.21,,,1.33,
