pm2.5,pm10,no,no2,so2,co,nox,ozone,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
,,10.99,26.64,,0.68,,,1.24,236.23,2016-08-23 10:00:00,,,,,
16.76,84.11,12.36,23.82,6.91,0.69,,25.5,1.39,243.06,2016-08-23 10:15:00,4.61,,,,
15.44,67.51,7.17,20.23,6.66,0.62,,28.54,1.87,225.1,2016-08-23 10:30:00,5.76,,,,
13.55,43.73,6.55,18.5,6.12,0.54,,31.28,1.42,230.2,2016-08-23 10:45:00,5.79,,,,
10.83,35.07,6.69,17.25,6.1,0.54,,31.29,1.36,226.92,2016-08-23 11:00:00,6.37,,,,
6.94,22.67,7.4,18.95,5.66,0.57,,31.39,0.96,224.29,2016-08-23 11:15:00,5.54,,,,
6.65,19.1,8.43,22.54,5.51,0.59,,30.3,0.52,213.11,2016-08-23 11:30:00,5.26,,,,
6.23,13.98,8.0,20.95,5.25,0.59,,35.88,0.65,233.95,2016-08-23 11:45:00,5.87,,,,
7.72,13.58,8.18,19.87,5.59,0.58,,35.88,0.42,188.53,2016-08-23 12:00:00,6.29,,,,
9.86,13.0,10.77,27.17,15.77,0.67,,24.09,1.06,146.79,2016-08-23 12:15:00,4.68,,,,
12.35,17.09,10.89,30.58,16.6,0.72,,21.6,0.79,157.56,2016-08-23 12:30:00,4.02,,,,
15.9,22.96,7.79,25.56,11.54,0.62,,27.84,0.76,142.88,2016-08-23 12:45:00,5.78,,,,
15.66,18.96,9.6,31.27,8.93,0.66,,29.67,0.87,154.3,2016-08-23 13:00:00,5.06,,,,
15.3,13.23,8.93,25.94,8.44,0.65,,30.4,0.9,158.5,2016-08-23 13:15:00,5.67,,,,
13.45,14.57,8.41,25.8,7.87,0.64,,31.02,0.77,162.85,2016-08-23 13:30:00,5.55,,,,
10.8,16.48,9.82,27.29,7.26,0.6,,29.41,1.02,222.5,2016-08-23 13:45:00,5.16,,,,
9.31,30.46,13.67,34.57,7.46,0.77,,25.19,0.64,205.25,2016-08-23 14:00:00,3.69,,,,
7.19,50.48,9.85,31.28,7.17,0.83,,24.35,0.75,233.69,2016-08-23 14:15:00,4.08,,,,
6.91,41.17,5.32,22.33,6.99,0.53,,27.98,0.6,244.17,2016-08-23 14:30:00,5.95,,,,
6.52,27.83,6.44,18.66,6.75,0.54,,29.23,0.24,145.1,2016-08-23 14:45:00,6.47,,,,
5.26,27.06,11.48,26.35,5.79,0.65,,27.92,0.64,132.14,2016-08-23 15:00:00,5.86,,,,
3.45,25.96,12.36,29.47,7.68,0.73,,26.07,1.14,142.07,2016-08-23 15:15:00,5.79,,,,
3.1,25.95,13.08,27.82,10.21,0.71,,20.9,0.75,168.19,2016-08-23 15:30:00,5.18,,,,
2.6,25.93,11.7,25.14,7.71,0.8,,24.36,1.0,216.54,2016-08-23 15:45:00,5.31,,,,
8.08,32.71,9.33,24.64,6.83,0.69,,28.98,1.34,221.51,2016-08-23 16:00:00,4.97,,,,
15.92,42.42,4.8,21.55,6.57,0.6,,31.89,1.48,231.04,2016-08-23 16:15:00,5.82,,,,
14.26,39.43,5.69,19.91,6.74,0.69,,30.27,1.14,233.85,2016-08-23 16:30:00,6.68,,,,
11.88,35.14,5.81,19.18,6.65,0.63,,28.2,0.92,216.31,2016-08-23 16:45:00,6.39,,,,
16.86,43.37,6.39,18.77,6.52,0.66,,27.31,0.8,223.65,2016-08-23 17:00:00,6.4,,,,
23.98,55.15,4.11,19.59,6.03,0.7,,26.01,0.91,221.39,2016-08-23 17:15:00,7.23,0.49,12.11,45.79,5.77
20.48,43.99,5.79,21.34,6.12,0.76,,27.94,1.16,233.31,2016-08-23 17:30:00,6.56,2.55,60.19,224.87,29.01
15.46,28.01,9.71,28.42,6.51,0.87,,23.71,0.92,218.2,2016-08-23 17:45:00,4.04,2.82,58.59,206.97,29.53
