pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
98.8,185.46,3.16,32.52,19.51,0.4,,99.28,32.39,49.93,0.34,22.26,2023-11-21 11:15:00,75.98,3.58,10.43,0.38,3.19
90.44,173.64,2.59,26.09,18.45,0.32,,106.55,34.28,36.86,0.27,59.92,2023-11-21 11:30:00,69.11,3.19,8.64,0.32,2.61
90.44,173.64,2.08,22.38,17.7,0.29,,116.7,,1.51,0.44,43.98,2023-11-21 11:45:00,47.57,2.83,9.24,0.33,2.57
90.44,173.64,2.12,24.15,16.83,0.27,,61.6,,0.14,0.2,57.55,2023-11-21 12:00:00,38.32,1.82,6.97,0.24,1.87
89.41,172.52,2.11,24.95,15.9,0.29,15.52,120.59,27.29,43.32,0.39,98.76,2023-11-21 12:15:00,44.32,8.51,4.08,0.15,1.22
71.44,141.81,2.04,23.52,16.63,0.26,14.72,125.49,32.59,43.6,0.24,60.98,2023-11-21 12:30:00,43.71,4.69,4.34,0.15,1.39
,,1.87,20.56,16.22,0.24,13.04,127.79,32.61,43.32,0.66,32.5,2023-11-21 12:45:00,48.98,3.44,3.25,0.16,1.25
,,1.85,18.99,16.09,0.24,12.2,136.45,32.58,42.89,0.23,114.19,2023-11-21 13:00:00,50.07,2.86,3.13,0.18,1.15
,,2.17,27.26,28.0,0.28,16.78,140.6,32.85,42.1,0.24,74.76,2023-11-21 13:15:00,46.29,1.91,3.28,0.15,1.13
12.67,13.08,1.92,23.4,27.76,0.27,14.56,156.23,32.75,41.87,0.39,53.92,2023-11-21 13:30:00,47.95,1.53,2.9,0.12,0.94
81.45,84.08,1.95,22.82,26.98,0.28,14.28,150.87,32.91,40.68,0.79,41.52,2023-11-21 13:45:00,50.14,2.08,3.24,0.12,1.41
81.45,84.08,1.99,22.49,27.45,0.26,14.14,152.14,32.93,39.05,0.43,95.02,2023-11-21 14:00:00,51.58,1.97,3.18,0.11,1.06
81.45,84.08,1.95,21.7,22.95,0.28,13.7,135.35,33.15,40.46,0.4,101.6,2023-11-21 14:15:00,52.58,2.15,3.58,0.17,1.03
78.36,87.59,3.27,47.4,19.73,0.52,28.18,129.96,33.07,45.07,0.63,161.02,2023-11-21 14:30:00,43.1,1.56,3.22,0.12,1.03
61.55,106.66,3.18,51.02,21.14,0.52,30.0,147.66,32.8,46.8,0.86,178.81,2023-11-21 14:45:00,45.6,1.54,3.53,0.17,1.06
61.55,106.66,2.48,49.81,21.2,0.58,28.8,125.73,32.74,48.96,0.34,152.73,2023-11-21 15:00:00,46.54,2.32,4.12,0.29,1.45
61.55,106.66,2.33,51.28,19.6,0.62,29.46,156.68,32.45,53.45,0.77,163.72,2023-11-21 15:15:00,47.48,2.28,4.01,0.25,1.36
62.63,111.58,2.19,49.44,18.9,0.64,28.38,161.65,32.32,54.08,0.62,189.48,2023-11-21 15:30:00,48.67,2.56,4.21,0.31,1.56
70.07,149.49,2.3,52.84,15.98,0.68,30.24,150.74,32.08,57.94,0.53,166.77,2023-11-21 15:45:00,48.31,2.73,4.12,0.27,1.5
70.07,149.49,2.51,61.13,14.32,0.71,34.75,131.71,32.08,58.79,0.37,158.64,2023-11-21 16:00:00,45.93,2.49,4.68,0.24,1.68
70.07,149.49,2.48,60.99,14.24,0.7,34.65,128.79,31.96,58.38,0.79,161.07,2023-11-21 16:15:00,48.23,2.71,4.58,0.26,2.13
71.82,150.28,2.24,49.84,14.81,0.56,28.63,111.27,31.77,60.13,0.56,167.64,2023-11-21 16:30:00,49.27,2.75,4.51,0.3,2.11
81.31,154.58,2.06,39.86,12.64,0.52,23.27,119.2,31.5,67.9,0.58,147.28,2023-11-21 16:45:00,52.86,2.76,4.05,0.31,1.84
81.31,154.58,1.98,34.73,10.67,0.55,20.52,117.56,31.33,70.94,1.1,189.48,2023-11-21 17:00:00,53.69,2.12,4.11,0.29,1.77
81.31,154.58,1.96,32.62,10.37,0.53,19.41,118.5,31.17,70.74,1.05,179.49,2023-11-21 17:15:00,55.99,1.98,4.06,0.24,1.72
80.25,155.07,1.92,30.32,10.03,0.52,18.17,106.76,31.01,72.84,0.84,185.84,2023-11-21 17:30:00,55.24,2.03,4.54,0.26,1.96
74.46,157.78,2.04,36.17,9.76,0.6,21.33,90.46,30.89,74.36,0.96,175.28,2023-11-21 17:45:00,55.76,1.81,4.12,0.22,1.57
74.46,157.78,2.08,39.44,8.63,0.66,23.07,91.06,30.77,75.15,1.04,181.72,2023-11-21 18:00:00,54.38,1.8,4.67,0.27,1.67
74.46,157.78,2.21,41.97,9.62,0.66,24.49,74.11,30.73,73.32,0.94,174.89,2023-11-21 18:15:00,55.06,1.94,4.28,0.27,1.61
74.38,159.72,2.24,39.51,8.39,0.64,23.23,75.76,30.62,77.84,0.92,170.96,2023-11-21 18:30:00,54.8,2.15,5.06,0.31,1.74
73.99,171.22,2.44,41.84,7.67,0.68,24.61,63.59,30.54,80.36,0.44,127.04,2023-11-21 18:45:00,56.07,2.05,4.83,0.3,1.79
73.99,171.22,2.62,45.7,7.91,0.79,26.77,70.0,30.51,76.05,0.94,164.77,2023-11-21 19:00:00,56.67,1.95,5.45,0.29,1.74
73.99,171.22,2.5,47.03,9.33,0.84,27.37,63.18,30.48,72.99,0.71,175.65,2023-11-21 19:15:00,55.95,2.26,5.0,0.31,1.58
70.31,169.87,2.28,44.58,9.51,0.86,25.91,76.35,30.42,73.68,0.76,166.66,2023-11-21 19:30:00,58.06,2.9,5.27,0.35,1.78
50.32,161.86,2.16,43.62,9.37,0.82,25.32,73.7,30.36,75.01,0.78,173.54,2023-11-21 19:45:00,59.17,2.84,6.13,0.37,2.06
50.32,161.86,2.22,45.57,9.18,0.85,26.39,68.83,30.35,74.92,0.66,152.2,2023-11-21 20:00:00,59.02,2.54,5.89,0.35,1.95
50.32,161.86,2.36,46.95,9.99,0.93,27.22,63.5,30.41,72.71,0.6,153.59,2023-11-21 20:15:00,59.39,2.58,6.08,0.41,2.0
51.73,160.62,2.42,51.0,11.55,1.0,29.38,56.37,30.37,71.85,0.5,116.77,2023-11-21 20:30:00,58.63,2.91,6.57,0.44,2.26
