pm2.5,pm10,no,no2,co,nox,ozone,at,rh,ws,wd,timestamp,benzene,eth_benzene,toluene,mp_xylene
,9.24,,,0.61,,31.58,22.88,18.96,0.2,124.18,2024-07-18 17:30:00,0.6,0.77,2.88,0.98
,9.24,,,0.6,,25.23,23.06,18.96,0.51,158.38,2024-07-18 17:45:00,0.6,0.75,2.79,1.06
,9.15,,,0.6,,37.05,23.11,18.96,0.41,193.4,2024-07-18 18:00:00,0.61,0.73,2.77,1.15
3.32,9.06,,,0.62,,31.81,23.12,18.96,0.38,150.33,2024-07-18 18:15:00,0.64,0.73,3.06,1.41
3.32,9.06,,,0.67,,33.81,23.11,18.96,0.24,100.29,2024-07-18 18:30:00,0.63,0.72,3.09,1.66
3.32,9.06,,,0.65,,42.38,22.98,18.96,0.43,182.94,2024-07-18 18:45:00,0.6,0.71,3.0,1.7
3.55,9.69,,,0.72,,41.73,22.81,18.96,0.14,163.19,2024-07-18 19:00:00,0.6,0.7,3.01,1.66
3.78,10.32,,,0.74,,30.48,22.75,18.96,0.32,106.66,2024-07-18 19:15:00,0.61,0.69,3.05,1.67
3.78,10.32,,,0.73,,32.41,22.61,18.97,0.59,165.81,2024-07-18 19:30:00,0.62,0.68,2.91,1.55
3.78,10.32,,,0.71,,30.54,22.56,18.98,0.55,160.14,2024-07-18 19:45:00,0.63,0.67,3.2,1.48
6.72,18.23,,,0.65,,29.6,22.6,18.97,0.48,176.44,2024-07-18 20:00:00,0.64,0.66,3.58,1.67
9.36,25.38,,,0.6,,36.66,22.63,18.98,0.45,189.99,2024-07-18 20:15:00,0.64,0.67,3.4,1.71
9.36,25.38,,,0.6,,38.2,22.65,18.98,0.46,156.48,2024-07-18 20:30:00,0.64,0.67,3.24,1.68
9.36,25.38,,,0.54,,16.48,22.69,18.97,0.4,283.62,2024-07-18 20:45:00,0.63,0.66,3.18,1.62
11.11,29.86,,,0.55,,17.42,22.71,18.97,0.68,170.38,2024-07-18 21:00:00,0.62,0.66,3.15,1.48
12.67,34.34,,,0.55,,13.21,22.7,18.96,0.49,162.76,2024-07-18 21:15:00,0.62,0.66,3.27,1.47
12.67,34.34,,,0.51,,26.7,22.68,18.96,0.5,193.78,2024-07-18 21:30:00,0.65,0.52,3.61,1.73
12.67,34.34,,,0.39,,23.08,22.64,18.96,0.36,189.96,2024-07-18 21:45:00,0.65,0.47,3.71,1.93
10.58,28.87,,,0.31,,20.39,22.65,19.09,0.37,190.46,2024-07-18 22:00:00,0.62,0.71,3.44,1.81
8.08,21.92,,,0.3,,26.36,22.59,18.96,0.47,186.69,2024-07-18 22:15:00,0.62,0.71,3.13,1.65
8.08,21.92,,,0.41,,35.41,22.55,18.96,0.41,155.39,2024-07-18 22:30:00,0.64,0.72,3.06,1.61
8.08,21.92,,,0.46,,22.49,22.5,18.96,0.28,263.6,2024-07-18 22:45:00,0.62,0.72,3.1,1.55
6.7,18.16,,,0.45,,24.57,22.5,18.96,0.6,329.39,2024-07-18 23:00:00,0.6,0.72,3.05,1.37
5.52,15.02,,,0.45,,23.06,22.52,18.96,0.25,114.44,2024-07-18 23:15:00,0.6,0.71,2.94,1.22
5.52,15.02,,,0.47,,20.75,22.6,18.96,0.31,244.75,2024-07-18 23:30:00,0.6,0.72,2.89,1.14
5.14,13.83,,,0.45,,38.18,22.56,18.96,0.3,209.15,2024-07-19 00:00:00,0.61,0.72,3.06,1.17
4.68,12.75,,,0.49,,17.01,22.64,18.96,0.56,218.26,2024-07-19 00:15:00,0.6,0.72,3.03,1.17
4.68,12.75,,,0.62,,22.88,22.72,18.96,0.11,165.95,2024-07-19 00:30:00,0.61,0.71,2.9,1.09
4.68,12.75,,,0.66,,21.27,22.65,18.96,0.64,205.96,2024-07-19 00:45:00,0.61,0.7,2.92,1.11
6.23,17.04,,,0.63,,30.07,22.62,18.96,0.44,183.86,2024-07-19 01:00:00,0.6,0.69,2.91,1.12
7.63,20.71,,,0.62,,22.45,22.52,18.96,0.04,238.28,2024-07-19 01:15:00,0.6,0.69,2.86,1.05
7.63,20.71,,,0.59,,14.87,22.49,18.97,0.32,229.3,2024-07-19 01:30:00,0.61,0.69,2.89,1.06
7.63,20.71,,,0.59,,17.56,22.51,18.97,0.52,219.0,2024-07-19 01:45:00,0.61,0.68,2.94,1.04
7.28,19.81,,,0.54,,17.25,22.49,18.97,0.27,244.84,2024-07-19 02:00:00,0.6,0.68,3.07,1.05
6.96,18.9,,,0.52,,16.82,22.52,18.97,0.64,163.09,2024-07-19 02:15:00,0.6,0.68,3.14,1.09
6.96,18.9,,,0.47,,20.33,22.54,18.97,0.33,195.29,2024-07-19 02:30:00,0.6,0.68,3.06,1.03
6.96,18.9,,,0.45,,18.5,22.57,18.97,0.38,223.83,2024-07-19 02:45:00,0.6,0.69,3.0,0.92
7.9,21.29,,,0.47,,12.97,22.55,18.96,0.22,169.07,2024-07-19 03:00:00,0.6,0.68,2.98,0.88
8.77,23.8,,,0.45,,11.37,22.55,18.96,0.3,332.68,2024-07-19 03:15:00,0.6,0.7,3.04,0.89
8.77,23.8,,,0.41,,14.87,22.54,18.96,0.39,246.76,2024-07-19 03:30:00,0.6,0.72,3.06,0.88
8.77,23.8,,,0.31,,21.4,22.57,18.96,0.7,177.99,2024-07-19 03:45:00,0.6,0.74,3.05,0.87
7.99,21.55,,,0.29,,33.52,22.56,19.78,0.11,119.95,2024-07-19 04:00:00,0.6,0.74,2.96,0.87
7.15,19.43,,,0.29,,31.52,22.56,19.42,0.08,308.26,2024-07-19 04:15:00,0.6,0.74,2.91,0.89
7.15,19.43,,,0.29,,30.33,22.57,19.97,0.31,197.5,2024-07-19 04:30:00,0.6,0.74,2.82,0.89
7.15,19.43,,,0.29,,40.14,22.6,19.87,0.48,167.26,2024-07-19 04:45:00,0.6,0.74,2.85,0.93
6.17,16.89,,,0.3,,37.04,22.61,19.38,0.21,188.25,2024-07-19 05:00:00,0.6,0.74,2.89,0.94
5.18,14.1,,,0.34,,39.89,22.64,18.96,0.22,137.51,2024-07-19 05:15:00,0.6,0.74,2.83,0.89
5.18,14.1,,,0.35,,39.34,22.66,18.96,0.62,176.01,2024-07-19 05:30:00,0.6,0.73,2.76,0.84
5.18,14.1,,,0.37,,39.58,22.68,18.96,0.42,135.33,2024-07-19 05:45:00,0.6,0.74,2.74,0.81
5.67,15.48,,,0.42,,36.58,22.69,18.96,0.48,164.72,2024-07-19 06:00:00,0.6,0.75,2.73,0.79
6.18,16.79,,,0.47,,38.06,22.68,18.96,0.41,264.17,2024-07-19 06:15:00,0.6,0.75,2.76,0.79
6.18,16.79,,,0.53,,41.3,22.55,18.96,0.5,166.93,2024-07-19 06:30:00,0.6,0.73,2.75,0.8
6.18,16.79,,,0.6,,31.11,22.29,18.96,0.69,178.53,2024-07-19 06:45:00,0.6,0.72,2.75,0.81
,,,,,,,,,0.5,,2024-07-19 08:45:00,,,,
,,,,,,,,,0.69,,2024-07-19 09:00:00,,,,
,,,,,,,,,0.64,,2024-07-19 09:15:00,,,,
5.29,14.4,14.72,15.05,0.24,19.97,27.76,23.72,18.96,0.3,166.73,2024-07-19 09:30:00,0.63,0.76,3.24,0.96
5.29,14.4,11.67,14.18,0.31,17.04,26.48,23.6,18.96,0.35,162.43,2024-07-19 09:45:00,0.61,0.69,2.68,0.83
5.97,16.26,10.35,14.02,0.29,15.87,42.93,23.82,18.96,0.76,196.07,2024-07-19 10:00:00,0.6,0.7,2.49,0.8
6.61,17.96,11.31,14.41,0.28,16.86,38.06,23.72,18.96,0.64,193.53,2024-07-19 10:15:00,0.62,0.78,2.98,0.95
6.61,17.96,12.55,16.01,0.35,18.72,39.95,24.09,18.96,0.27,320.53,2024-07-19 10:30:00,0.62,0.78,2.83,0.96
6.61,17.96,10.15,16.04,0.34,16.79,37.61,24.16,18.96,0.32,6.5,2024-07-19 10:45:00,0.6,0.77,2.66,0.95
