pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,7.41,,,41.78,,2023-03-13 16:00:00,,0.0,,
36.0,45.0,46.99,7.58,,,42.24,,2023-03-13 16:15:00,,0.0,,
36.0,45.0,47.33,7.26,,,42.35,,2023-03-13 16:30:00,,0.0,,
36.0,45.0,46.91,9.35,,,43.11,,2023-03-13 16:45:00,,0.0,,
33.57,42.01,46.26,11.4,,,43.66,,2023-03-13 17:00:00,,0.0,,
33.0,41.25,47.09,8.78,,,42.94,,2023-03-13 17:15:00,,0.0,,
33.0,41.25,47.82,8.58,,,43.43,,2023-03-13 17:30:00,,0.0,,
33.0,41.25,49.46,8.12,,,44.53,,2023-03-13 17:45:00,,0.0,,
34.62,43.21,48.16,10.2,,,44.59,,2023-03-13 18:00:00,,0.0,,
35.0,43.75,48.09,9.69,,,44.23,,2023-03-13 18:15:00,,0.0,,
35.0,43.75,48.25,8.78,,,43.9,,2023-03-13 18:30:00,,0.0,,
35.0,43.75,48.07,9.64,,,44.22,,2023-03-13 18:45:00,,0.0,,
32.61,40.8,49.5,7.24,,,44.1,,2023-03-13 19:00:00,,0.0,,
32.0,40.0,49.65,7.31,,,44.26,,2023-03-13 19:15:00,,0.0,,
32.0,40.0,49.45,7.69,,,44.29,,2023-03-13 19:30:00,,0.0,,
32.0,40.0,48.22,7.05,,,42.93,,2023-03-13 19:45:00,,0.0,,
27.21,34.02,47.97,7.05,,,42.73,,2023-03-13 20:00:00,,0.0,,
26.0,32.5,46.16,8.24,,,41.89,,2023-03-13 20:15:00,,0.0,,
26.0,32.5,46.68,6.41,,,41.36,,2023-03-13 20:30:00,,0.0,,
26.0,32.5,45.46,6.93,,,40.63,,2023-03-13 20:45:00,,0.0,,
28.4,35.49,44.24,7.27,,,39.84,,2023-03-13 21:00:00,,0.0,,
29.0,36.25,44.18,5.75,,,38.98,,2023-03-13 21:15:00,,0.0,,
29.0,36.25,43.51,6.16,,,38.67,,2023-03-13 21:30:00,,0.0,,
29.0,36.25,43.88,4.71,,,38.19,,2023-03-13 21:45:00,,0.0,,
27.43,34.29,43.61,5.3,,,38.26,,2023-03-13 22:00:00,,0.0,,
27.0,33.75,41.47,6.51,,,37.17,,2023-03-13 22:15:00,,0.0,,
27.0,33.75,38.67,7.38,,,35.36,,2023-03-13 22:30:00,,0.0,,
27.0,33.75,37.78,7.19,,,34.56,,2023-03-13 22:45:00,,0.0,,
22.21,27.77,38.7,3.99,,,33.61,,2023-03-13 23:00:00,,0.0,,
21.0,26.25,38.15,3.5,,,32.86,,2023-03-13 23:15:00,,0.0,,
21.0,26.25,37.53,5.43,,,33.41,,2023-03-13 23:30:00,,0.0,,
21.0,26.25,37.9,4.64,,,33.29,,2023-03-13 23:45:00,,0.0,,
26.5,33.12,37.47,4.7,,,32.98,,2023-03-14 00:00:00,,0.0,,
28.0,35.0,36.34,5.7,,,32.57,,2023-03-14 00:15:00,,0.0,,
28.0,35.0,36.56,4.75,,,32.25,,2023-03-14 00:30:00,,0.0,,
28.0,35.0,37.03,4.6,,,32.55,,2023-03-14 00:45:00,,0.0,,
27.2,34.02,37.29,4.22,,,32.56,,2023-03-14 01:00:00,,0.0,,
27.0,33.75,37.68,2.52,,,31.96,,2023-03-14 01:15:00,,0.0,,
27.0,33.75,36.73,4.46,,,32.24,,2023-03-14 01:30:00,,0.0,,
27.0,33.75,37.39,3.22,,,32.13,,2023-03-14 01:45:00,,0.0,,
27.0,33.75,37.78,2.06,,,31.82,,2023-03-14 02:00:00,,0.0,,
27.0,33.75,36.72,2.8,,,31.34,,2023-03-14 02:15:00,,0.0,,
27.0,33.75,36.83,3.7,,,31.92,,2023-03-14 02:30:00,,0.0,,
27.0,33.75,37.04,3.47,,,31.96,,2023-03-14 02:45:00,,0.0,,
34.98,43.72,37.06,3.25,,,31.85,,2023-03-14 03:00:00,,0.0,,
37.0,46.25,37.08,2.6,,,31.53,,2023-03-14 03:15:00,,0.0,,
37.0,46.25,38.01,3.44,,,32.75,,2023-03-14 03:30:00,,0.0,,
37.0,46.25,37.88,4.03,,,32.94,,2023-03-14 03:45:00,,0.0,,
46.57,58.21,38.22,2.29,,,32.28,,2023-03-14 04:00:00,,0.0,,
49.0,61.25,37.88,2.74,,,32.25,,2023-03-14 04:15:00,,0.0,,
49.0,61.25,37.8,2.62,,,32.14,,2023-03-14 04:30:00,,0.0,,
49.0,61.25,37.74,3.49,,,32.53,,2023-03-14 04:45:00,,0.0,,
49.8,62.23,37.39,3.21,,,32.08,,2023-03-14 05:00:00,,0.0,,
50.0,62.5,37.05,2.37,,,31.4,,2023-03-14 05:15:00,,0.0,,
50.0,62.5,37.43,3.67,,,32.38,,2023-03-14 05:30:00,,0.0,,
50.0,62.5,,,,,,,2023-03-14 05:45:00,,,,
45.2,56.52,38.57,2.17,,,32.51,,2023-03-14 06:00:00,,0.0,,
44.0,55.0,,,,,,,2023-03-14 06:15:00,,,,
44.0,55.0,38.79,3.68,,,33.48,,2023-03-14 06:30:00,,0.0,,
44.0,55.0,40.32,3.43,,,34.61,,2023-03-14 06:45:00,,0.0,,
68.0,84.91,40.45,3.88,,,34.96,,2023-03-14 07:00:00,,0.0,,
74.0,92.5,39.94,3.89,,,34.55,,2023-03-14 07:15:00,,0.0,,
74.0,92.5,41.6,2.73,,,35.27,,2023-03-14 07:30:00,,0.0,,
74.0,92.5,41.83,3.67,,,35.97,,2023-03-14 07:45:00,,0.0,,
69.94,87.59,42.51,4.19,,,36.79,,2023-03-14 08:00:00,,0.0,,
69.0,86.25,42.65,2.95,,,36.23,,2023-03-14 08:15:00,,0.0,,
69.0,86.25,43.73,3.36,,,37.33,,2023-03-14 08:30:00,,0.0,,
69.0,86.25,43.45,4.37,,,37.63,,2023-03-14 08:45:00,,0.0,,
70.6,88.21,42.86,5.5,,,37.78,,2023-03-14 09:00:00,,0.0,,
71.0,88.75,42.14,5.93,,,37.4,,2023-03-14 09:15:00,,0.0,,
71.0,88.75,41.45,6.74,,,37.28,,2023-03-14 09:30:00,,0.0,,
71.0,88.75,41.04,7.41,,,37.33,,2023-03-14 09:45:00,,0.0,,
64.71,80.89,40.57,7.28,,,36.84,,2023-03-14 10:00:00,,0.0,,
63.0,78.75,38.84,8.25,,,35.97,,2023-03-14 10:15:00,,0.0,,
63.0,78.75,37.48,9.47,,,35.52,,2023-03-14 10:30:00,,0.0,,
63.0,78.75,37.8,9.32,,,35.71,,2023-03-14 10:45:00,,0.0,,
59.01,73.76,37.42,9.65,,,35.57,,2023-03-14 11:00:00,,0.0,,
58.0,72.5,36.45,9.95,,,34.93,,2023-03-14 11:15:00,,0.0,,
58.0,72.5,36.77,9.58,,,34.99,,2023-03-14 11:30:00,,0.0,,
58.0,72.5,38.26,8.65,,,35.7,,2023-03-14 11:45:00,,0.0,,
49.08,61.53,38.96,8.51,,,36.19,,2023-03-14 12:00:00,,0.0,,
47.0,58.75,39.65,7.51,,,36.23,,2023-03-14 12:15:00,,0.0,,
47.0,58.75,39.94,9.63,,,37.59,,2023-03-14 12:30:00,,0.0,,
47.0,58.75,40.06,10.73,,,38.28,,2023-03-14 12:45:00,,0.0,,
49.36,61.83,40.99,8.48,,,37.83,,2023-03-14 13:00:00,,0.0,,
50.0,62.5,41.1,7.76,,,37.53,,2023-03-14 13:15:00,,0.0,,
50.0,62.5,43.42,8.47,,,39.82,,2023-03-14 13:30:00,,0.0,,
50.0,62.5,45.09,10.26,,,42.12,,2023-03-14 13:45:00,,0.0,,
46.01,57.51,44.87,9.77,,,41.68,,2023-03-14 14:00:00,,0.0,,
45.0,56.25,44.87,9.41,,,41.5,,2023-03-14 14:15:00,,0.0,,
45.0,56.25,46.18,8.36,,,41.98,,2023-03-14 14:30:00,,0.0,,
45.0,56.25,46.68,7.73,,,42.06,,2023-03-14 14:45:00,,0.0,,
45.81,57.25,47.04,8.19,,,42.6,,2023-03-14 15:00:00,,0.0,,
46.0,57.5,45.27,7.58,,,40.85,,2023-03-14 15:15:00,,0.0,,
46.0,57.5,46.21,8.43,,,42.07,,2023-03-14 15:30:00,,0.0,,
46.0,57.5,47.95,7.62,,,43.04,,2023-03-14 15:45:00,,0.0,,
47.6,59.49,48.17,7.9,,,43.35,,2023-03-14 16:00:00,,0.0,,
48.0,60.0,48.41,6.84,,,43.0,,2023-03-14 16:15:00,,0.0,,
48.0,60.0,48.1,8.5,,,43.64,,2023-03-14 16:30:00,,0.0,,
48.0,60.0,47.7,9.32,,,43.75,,2023-03-14 16:45:00,,0.0,,
42.5,53.12,47.57,9.27,,,43.62,,2023-03-14 17:00:00,,0.0,,
41.0,51.25,48.03,9.3,,,43.99,,2023-03-14 17:15:00,,0.0,,
41.0,51.25,49.25,10.25,,,45.5,,2023-03-14 17:30:00,,0.0,,
41.0,51.25,49.99,10.54,,,46.26,,2023-03-14 17:45:00,,0.0,,
