pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,,,1.57,248.91,,2022-08-08 16:00:00,,,,
23.44,44.0,8.19,10.73,21.36,1.04,12.37,2.07,25.42,72.66,1.77,246.46,,2022-08-08 16:15:00,16.22,0.0,0.05,0.02
23.46,44.05,7.6,10.88,21.3,2.02,11.96,1.03,25.3,73.19,1.74,240.93,,2022-08-08 16:30:00,15.83,0.0,0.04,0.01
23.95,45.0,7.69,10.68,21.22,1.17,11.93,,25.2,74.4,1.4,248.61,,2022-08-08 16:45:00,15.54,0.0,0.04,0.01
23.95,45.0,8.91,11.66,21.14,2.32,13.45,,24.92,75.63,1.33,242.37,,2022-08-08 17:00:00,15.25,0.0,0.04,0.01
23.95,45.0,9.84,13.02,21.39,1.79,14.93,,24.93,74.91,1.32,239.46,,2022-08-08 17:15:00,14.77,0.0,0.04,0.01
23.92,44.96,9.68,13.04,21.32,1.62,14.81,,24.78,75.32,1.53,240.16,,2022-08-08 17:30:00,14.8,0.0,0.04,0.01
23.44,44.0,8.83,12.51,21.32,1.75,13.85,,24.52,75.93,1.62,243.2,,2022-08-08 17:45:00,14.85,0.0,0.04,0.01
23.44,44.0,7.67,12.13,20.81,1.53,12.68,,24.28,76.7,1.79,234.0,,2022-08-08 18:00:00,15.14,0.0,0.05,0.02
23.44,44.0,8.12,11.76,21.31,1.07,12.86,,24.01,78.05,1.26,238.92,,2022-08-08 18:15:00,15.2,0.0,0.05,0.02
23.42,43.96,9.33,12.27,21.29,1.27,14.13,0.48,23.86,78.89,1.26,237.68,,2022-08-08 18:30:00,14.65,0.0,0.05,0.02
22.93,43.0,11.04,13.36,21.25,1.1,16.08,,23.75,79.71,1.3,246.33,,2022-08-08 18:45:00,13.71,0.0,0.05,0.02
22.93,43.0,12.32,12.96,21.2,1.05,16.91,,23.64,80.46,1.4,238.63,,2022-08-08 19:00:00,13.26,0.0,0.05,0.02
22.93,43.0,12.52,11.83,21.33,1.22,16.48,,23.28,82.55,2.02,246.34,,2022-08-08 19:15:00,13.27,0.0,0.05,0.02
22.86,42.82,13.39,11.43,21.08,1.41,16.98,,22.98,83.2,2.23,259.27,,2022-08-08 19:30:00,13.23,0.0,0.05,0.02
20.89,39.0,14.02,10.97,21.24,1.27,17.23,,22.85,83.11,1.38,225.87,,2022-08-08 19:45:00,12.97,0.0,0.06,0.02
20.89,39.0,13.69,10.66,21.23,1.3,16.79,0.68,22.72,83.13,1.3,220.14,,2022-08-08 20:00:00,13.08,0.0,0.06,0.02
20.89,39.0,12.98,10.92,21.13,0.67,16.37,,22.68,82.73,1.59,198.02,,2022-08-08 20:15:00,12.75,0.0,0.06,0.02
20.73,38.69,12.5,11.28,21.38,1.67,16.17,,22.69,81.71,1.7,154.14,,2022-08-08 20:30:00,12.84,0.0,0.06,0.02
17.32,32.0,11.72,9.91,21.19,1.09,14.78,,22.64,81.36,1.75,187.39,,2022-08-08 20:45:00,13.01,0.0,0.06,0.02
17.32,32.0,11.22,8.87,20.97,1.82,13.84,,22.57,81.26,1.68,208.53,,2022-08-08 21:00:00,12.9,0.0,0.05,0.02
17.32,32.0,10.9,9.18,21.17,0.79,13.74,0.02,22.41,81.33,1.57,217.21,,2022-08-08 21:15:00,12.63,0.0,0.05,0.02
17.43,32.22,10.67,9.0,21.3,0.68,13.46,,22.27,81.35,1.48,247.24,,2022-08-08 21:30:00,12.52,0.0,0.06,0.02
19.87,37.0,10.48,7.81,20.94,1.02,12.69,,22.15,81.62,1.58,257.9,,2022-08-08 21:45:00,12.66,0.0,0.06,0.02
19.87,37.0,9.44,7.13,21.06,0.82,11.47,,22.06,81.62,1.77,250.64,,2022-08-08 22:00:00,12.98,0.0,0.06,0.02
19.87,37.0,8.09,8.31,21.22,1.04,11.0,,21.98,81.57,1.26,252.69,,2022-08-08 22:15:00,12.64,0.0,0.06,0.02
19.69,36.64,7.97,8.52,21.3,0.99,11.0,,21.85,82.05,1.31,242.39,,2022-08-08 22:30:00,12.48,0.0,0.06,0.02
15.79,29.0,8.51,8.5,21.3,0.81,11.46,,21.75,83.5,1.18,247.54,,2022-08-08 22:45:00,12.44,0.0,0.06,0.02
15.79,29.0,8.34,8.06,20.91,1.18,11.07,2.16,21.58,85.9,1.18,239.55,,2022-08-08 23:00:00,12.49,0.0,0.06,0.02
15.79,29.0,8.06,8.26,21.15,1.2,10.96,,21.47,86.74,1.36,245.77,,2022-08-08 23:15:00,12.49,0.0,0.06,0.02
15.7,28.82,8.03,7.67,21.18,1.67,10.6,0.43,21.4,86.88,1.31,242.35,,2022-08-08 23:30:00,12.38,0.0,0.06,0.02
13.75,25.0,7.72,7.58,21.26,0.97,10.29,1.75,21.34,86.93,1.43,243.7,,2022-08-08 23:45:00,12.31,0.0,0.06,0.02
13.75,25.0,7.97,7.11,21.2,1.27,10.25,1.05,21.25,87.24,1.38,263.93,,2022-08-09 00:00:00,12.09,0.0,0.06,0.02
23.44,44.0,10.66,7.94,21.0,2.24,12.88,,22.96,79.02,2.49,240.76,,2022-08-09 09:15:00,10.98,0.0,0.04,0.01
23.51,44.13,11.03,8.24,21.51,1.01,13.34,,22.86,79.5,1.93,245.65,,2022-08-09 09:30:00,10.4,0.0,0.04,0.01
25.48,48.0,9.7,9.21,21.37,1.0,12.79,,22.89,79.74,1.89,243.06,,2022-08-09 09:45:00,10.39,0.0,0.04,0.01
25.48,48.0,8.64,9.32,21.32,1.16,12.01,0.2,23.06,79.23,2.25,245.58,,2022-08-09 10:00:00,10.52,0.0,0.04,0.01
25.48,48.0,8.41,9.55,21.37,1.72,11.91,0.92,23.04,79.25,2.2,246.31,,2022-08-09 10:15:00,10.37,0.0,0.04,0.01
25.28,47.6,7.5,9.75,21.39,1.6,11.27,,23.07,79.96,1.97,240.72,,2022-08-09 10:30:00,10.65,0.0,0.04,0.01
