pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene
,,,,,,,,,,1.83,91.34,,2023-03-13 15:30:00,,
33.78,,291.02,35.61,15.29,0.63,262.71,,30.6,70.55,1.8,100.19,1009.78,2023-03-13 15:45:00,44.27,0.0
33.0,,312.29,56.47,15.58,0.63,290.92,,30.42,73.23,1.65,87.54,1009.72,2023-03-13 16:00:00,46.32,0.0
33.0,,308.05,59.98,15.48,0.63,289.31,,30.42,72.12,1.63,94.13,1009.74,2023-03-13 16:15:00,43.28,0.0
33.0,,321.79,58.3,15.54,0.63,299.52,,30.38,73.17,1.34,111.82,1009.86,2023-03-13 16:30:00,48.2,0.0
27.67,,321.47,64.34,15.31,0.63,302.71,,29.89,74.28,1.92,76.54,1009.96,2023-03-13 16:45:00,43.69,0.0
27.0,,318.65,66.2,15.31,0.63,301.32,,29.43,76.02,1.87,78.89,1010.05,2023-03-13 17:00:00,44.39,0.0
27.0,,314.53,68.9,15.09,0.63,299.38,,29.13,77.57,1.68,70.89,1010.08,2023-03-13 17:15:00,49.51,0.0
27.0,,316.36,72.18,15.12,0.63,302.52,,29.03,77.93,1.68,86.32,1010.1,2023-03-13 17:30:00,51.76,0.0
26.1,,306.29,106.4,15.27,0.63,312.63,,28.82,79.27,1.5,74.44,1010.17,2023-03-13 17:45:00,46.91,0.0
26.0,,325.54,76.05,15.3,0.63,312.11,,28.47,80.0,1.32,87.42,1010.18,2023-03-13 18:00:00,48.38,0.0
26.0,,319.81,75.33,15.23,0.63,307.07,,28.22,81.13,1.09,118.91,1010.28,2023-03-13 18:15:00,48.59,0.0
26.0,,295.19,84.24,15.14,0.64,291.72,,27.99,82.59,1.34,80.82,1010.4,2023-03-13 18:30:00,48.77,0.0
33.2,,308.16,87.33,15.36,0.64,304.06,,27.89,83.12,1.5,82.28,1010.57,2023-03-13 18:45:00,51.97,0.0
34.0,,319.15,87.23,15.17,0.64,312.81,,27.77,83.39,1.02,96.44,1010.7,2023-03-13 19:00:00,52.39,0.0
34.0,,362.67,84.0,15.03,0.63,346.57,,27.73,83.67,1.34,81.31,1010.77,2023-03-13 19:15:00,47.92,0.0
34.0,,372.88,80.26,14.73,0.63,352.82,,27.66,84.2,1.67,80.33,1010.93,2023-03-13 19:30:00,51.27,0.0
34.0,,341.14,40.82,14.19,0.62,306.06,,27.59,84.35,1.27,95.78,1011.16,2023-03-13 19:45:00,52.38,0.0
34.0,,298.95,71.21,13.88,0.62,287.87,,27.56,84.46,1.81,77.22,1011.36,2023-03-13 20:00:00,47.49,0.0
34.0,,272.6,58.04,13.77,0.62,259.47,,27.52,84.55,1.23,100.34,1011.54,2023-03-13 20:15:00,54.92,0.0
34.0,,256.62,67.04,14.01,0.63,251.29,,27.5,85.29,1.33,88.11,1011.68,2023-03-13 20:30:00,46.6,0.0
32.2,,244.69,74.21,13.91,0.63,245.39,,27.48,85.69,1.45,79.48,1011.8,2023-03-13 20:45:00,39.09,0.0
32.0,,234.35,70.22,13.99,0.63,234.87,,27.39,85.86,1.34,87.9,1011.93,2023-03-13 21:00:00,38.43,0.0
32.0,,228.7,62.93,13.89,0.62,226.41,,27.34,85.67,1.58,85.81,1012.11,2023-03-13 21:15:00,44.01,0.0
32.0,,226.06,55.32,13.92,0.62,220.21,,27.33,85.88,1.42,81.8,1012.23,2023-03-13 21:30:00,45.56,0.0
28.44,,223.78,51.94,13.76,0.62,216.57,,27.28,85.78,1.81,80.93,1012.31,2023-03-13 21:45:00,43.58,0.0
28.0,,227.82,59.87,13.94,0.63,224.07,,27.24,85.96,1.34,81.12,1012.33,2023-03-13 22:00:00,40.41,0.0
