pm2.5,pm10,no,no2,so2,co,nox,at,rh,ws,wd,bp,timestamp,nh3
,,,,,,,,,2.17,54.28,,2023-12-20 15:15:00,
52.06,111.0,5.95,3.99,4.64,,4.82,28.02,68.69,2.41,46.24,1004.07,2023-12-20 15:30:00,11.69
52.06,111.0,5.97,3.86,4.52,,4.74,27.82,69.17,2.19,47.05,1004.1,2023-12-20 15:45:00,11.7
50.58,107.78,5.81,4.1,4.36,,4.8,27.68,69.92,1.96,42.37,1004.19,2023-12-20 16:00:00,11.69
49.76,106.0,5.9,4.02,4.55,,4.81,27.57,70.41,1.94,44.88,1004.2,2023-12-20 16:15:00,11.69
49.76,106.0,5.87,3.98,4.5,,4.75,27.42,70.82,1.78,44.32,1004.36,2023-12-20 16:30:00,11.69
49.76,106.0,5.81,4.11,4.5,,4.82,27.08,72.5,1.3,70.66,1004.36,2023-12-20 16:45:00,11.69
50.65,107.97,5.91,3.94,4.75,,4.76,27.25,71.91,1.25,54.09,1004.48,2023-12-20 17:00:00,11.7
51.14,109.0,5.9,3.98,4.56,,4.79,26.91,73.35,1.33,40.72,1004.69,2023-12-20 17:15:00,11.7
51.14,109.0,5.83,4.01,4.47,,4.8,26.67,75.14,1.12,57.28,1004.98,2023-12-20 17:30:00,11.69
51.14,109.0,5.88,3.99,4.49,,4.8,26.44,76.62,0.93,146.21,1005.12,2023-12-20 17:45:00,11.7
52.92,112.87,6.06,3.85,4.38,,4.8,26.52,75.27,2.71,50.45,1005.33,2023-12-20 18:00:00,11.7
53.9,115.0,6.02,3.87,4.33,,4.8,25.57,79.44,2.26,55.39,1005.59,2023-12-20 18:15:00,11.69
53.9,115.0,5.85,4.12,4.22,,4.84,25.35,81.44,0.87,193.73,1005.71,2023-12-20 18:30:00,11.69
53.9,115.0,5.9,4.03,4.34,,4.83,25.49,80.87,0.67,251.49,1005.81,2023-12-20 18:45:00,11.69
47.15,100.58,5.9,3.98,4.14,,4.8,25.66,80.2,0.53,198.89,1006.04,2023-12-20 19:00:00,11.69
43.78,93.0,5.96,4.01,3.86,,4.81,25.79,79.67,0.69,149.27,1006.23,2023-12-20 19:15:00,11.69
43.78,93.0,5.93,4.12,4.12,,4.89,25.96,78.78,0.78,54.77,1006.49,2023-12-20 19:30:00,11.68
43.78,93.0,5.88,4.09,3.92,,4.81,26.15,77.22,0.92,76.51,1006.75,2023-12-20 19:45:00,11.69
53.13,113.32,5.9,3.99,4.27,,4.8,26.3,75.81,0.93,54.35,1006.93,2023-12-20 20:00:00,11.69
58.04,124.0,5.85,4.03,4.23,,4.79,26.24,76.03,0.88,72.53,1007.15,2023-12-20 20:15:00,11.69
58.04,124.0,5.85,4.06,4.2,,4.8,26.13,76.78,0.7,102.7,1007.29,2023-12-20 20:30:00,11.69
58.04,124.0,5.91,4.0,4.24,,4.8,26.09,77.03,0.74,133.51,1007.35,2023-12-20 20:45:00,11.69
61.3,131.09,5.79,4.04,4.15,,4.74,26.05,77.33,0.42,163.99,1007.39,2023-12-20 21:00:00,11.7
63.1,135.0,5.9,3.89,4.14,,4.71,25.99,77.64,0.67,161.04,1007.57,2023-12-20 21:15:00,11.7
63.1,135.0,5.88,4.05,3.99,,4.84,26.0,77.83,0.57,149.9,1007.76,2023-12-20 21:30:00,11.69
63.1,135.0,5.83,4.12,4.17,,4.83,26.0,78.03,0.69,171.76,1007.88,2023-12-20 21:45:00,11.69
64.91,138.93,5.85,4.0,4.31,,4.76,25.91,78.42,0.62,132.33,1007.86,2023-12-20 22:00:00,11.7
65.86,141.0,5.78,3.99,4.26,,4.7,25.88,78.65,0.84,73.07,1007.93,2023-12-20 22:15:00,11.7
65.86,141.0,5.78,4.05,4.03,,4.75,25.18,81.84,1.35,86.08,1007.92,2023-12-20 22:30:00,11.69
65.86,141.0,5.78,4.0,4.05,,4.73,24.39,85.65,0.75,117.47,1007.69,2023-12-20 22:45:00,11.7
57.56,122.64,5.86,3.97,4.13,,4.71,24.01,87.27,0.41,146.84,1007.43,2023-12-20 23:00:00,11.7
52.98,113.0,5.73,4.04,4.01,,4.71,24.02,87.53,0.35,138.77,1007.29,2023-12-20 23:15:00,11.7
52.98,113.0,5.77,4.0,3.86,,4.7,24.19,87.23,0.37,150.55,1007.2,2023-12-20 23:30:00,11.7
52.98,113.0,5.85,3.94,3.94,,4.7,24.66,84.69,1.42,56.94,1007.14,2023-12-20 23:45:00,11.7
53.28,113.64,5.73,4.02,3.89,,4.67,25.05,81.89,1.54,48.26,1007.02,2023-12-21 00:00:00,11.7
53.44,114.0,5.79,3.97,4.13,,4.69,25.17,80.38,1.8,50.75,1006.96,2023-12-21 00:15:00,11.7
53.44,114.0,5.71,3.99,4.37,,4.63,24.98,80.63,1.62,61.37,1006.92,2023-12-21 00:30:00,11.71
53.44,114.0,5.66,4.05,4.47,,4.65,24.74,81.63,1.03,68.07,1006.82,2023-12-21 00:45:00,11.7
48.99,104.17,5.77,3.97,4.32,,4.68,24.75,81.57,0.65,91.55,1006.69,2023-12-21 01:00:00,11.7
46.54,99.0,5.78,4.0,4.45,,4.7,24.8,81.28,0.5,94.26,1006.49,2023-12-21 01:15:00,11.7
46.54,99.0,5.81,4.03,4.44,,4.76,24.87,80.92,1.07,49.72,1006.25,2023-12-21 01:30:00,11.69
46.54,99.0,5.72,4.09,4.54,,4.73,24.94,80.49,1.19,70.86,1005.98,2023-12-21 01:45:00,11.69
46.54,99.0,5.74,4.02,4.48,,4.69,25.0,80.09,1.28,73.69,1005.84,2023-12-21 02:00:00,11.7
46.54,99.0,5.73,3.98,4.45,,4.62,24.97,80.16,1.89,59.55,1005.7,2023-12-21 02:15:00,11.7
46.54,99.0,5.78,3.9,4.53,,4.59,24.84,80.79,1.8,60.9,1005.61,2023-12-21 02:30:00,11.71
