pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3
37.0,,,,,,,3.0,,,,,,2024-01-03 22:00:00,
11.42,23.27,19.0,15.86,11.73,0.53,26.06,2.85,33.59,55.18,0.79,87.43,998.17,2024-01-04 15:00:00,
11.0,22.45,18.68,18.8,12.17,0.53,26.53,2.88,33.8,54.37,0.85,95.81,998.07,2024-01-04 15:15:00,
11.0,22.45,18.43,16.86,12.39,0.55,27.8,2.91,33.34,54.53,1.05,108.21,998.1,2024-01-04 15:30:00,
11.0,22.45,20.5,16.97,11.98,0.53,30.66,3.3,33.76,54.74,0.85,117.78,998.17,2024-01-04 15:45:00,
26.73,53.13,24.63,25.91,14.43,0.5,34.12,2.96,30.28,63.61,0.39,135.14,998.33,2024-01-04 16:00:00,10.86
27.0,53.65,42.19,39.61,15.8,0.45,55.4,2.66,29.01,67.05,0.34,139.09,998.57,2024-01-04 16:45:00,11.02
,,37.27,38.62,14.87,0.47,50.83,3.07,28.92,67.81,0.29,158.83,998.59,2024-01-04 17:00:00,7.75
,,33.92,35.92,13.85,0.47,46.67,3.29,28.77,68.79,0.26,176.45,998.75,2024-01-04 17:15:00,7.04
,,27.88,33.32,13.38,0.47,40.38,3.37,28.65,69.79,0.26,146.87,998.91,2024-01-04 17:30:00,8.4
,,23.46,36.58,13.16,0.46,38.52,3.18,28.46,70.7,0.27,127.54,999.14,2024-01-04 17:45:00,8.7
,,22.38,35.46,13.38,0.47,37.07,3.31,28.31,72.46,0.37,160.23,999.28,2024-01-04 18:00:00,9.51
31.0,61.45,22.56,37.28,13.97,0.48,38.17,2.45,28.17,73.29,0.34,122.13,999.45,2024-01-04 18:15:00,9.89
31.0,61.45,22.98,37.91,13.88,0.48,38.83,2.87,28.05,74.85,0.27,119.49,999.65,2024-01-04 18:30:00,9.34
31.0,61.45,22.02,35.25,13.97,0.49,36.63,3.29,27.97,74.59,0.31,89.97,999.77,2024-01-04 18:45:00,9.4
29.96,59.37,23.86,33.49,14.0,0.5,37.2,3.07,27.8,74.81,0.44,91.83,999.98,2024-01-04 19:00:00,9.54
29.0,57.55,21.79,26.26,14.03,0.48,31.68,3.57,27.51,75.43,0.61,104.36,1000.32,2024-01-04 19:15:00,10.87
29.0,57.55,21.58,22.13,14.03,0.49,29.31,3.22,27.02,78.44,0.47,115.77,1000.61,2024-01-04 19:30:00,10.97
29.0,57.55,23.2,22.67,13.94,0.49,30.93,3.14,26.48,81.82,0.41,70.64,1000.93,2024-01-04 19:45:00,10.66
26.39,52.46,25.45,25.18,13.99,0.48,34.05,3.24,26.35,82.48,0.5,82.03,1001.0,2024-01-04 20:00:00,9.94
24.0,47.8,24.89,20.2,13.93,0.48,30.97,3.27,26.41,81.71,0.43,81.98,1001.09,2024-01-04 20:15:00,10.25
24.0,47.8,25.01,20.39,13.97,0.49,31.17,3.04,26.41,81.17,0.49,77.63,1001.26,2024-01-04 20:30:00,10.31
24.0,47.8,25.47,19.98,13.92,0.48,31.33,2.87,26.42,81.52,0.48,80.78,1001.44,2024-01-04 20:45:00,9.78
21.39,42.6,27.52,20.03,13.93,0.48,33.05,3.33,26.4,81.97,0.46,65.2,1001.62,2024-01-04 21:00:00,9.63
19.0,38.05,28.37,21.87,13.94,0.49,34.69,3.08,26.39,82.59,0.46,57.94,1001.67,2024-01-04 21:15:00,9.28
19.0,38.05,27.97,21.98,13.89,0.47,34.43,3.04,26.28,83.13,0.54,72.82,1001.66,2024-01-04 21:30:00,9.27
19.0,38.05,26.1,19.21,13.8,0.49,31.43,3.17,26.26,83.55,0.41,88.95,1001.77,2024-01-04 21:45:00,10.12
19.52,39.07,27.81,19.82,13.94,0.5,33.15,3.19,26.26,83.51,0.54,78.89,1001.82,2024-01-04 22:00:00,9.73
20.0,40.0,28.61,21.38,13.92,0.48,34.63,2.94,26.24,83.33,0.55,64.43,1001.81,2024-01-04 22:15:00,9.68
20.0,40.0,27.3,18.34,13.89,0.48,31.94,3.46,26.17,83.01,0.52,86.81,1001.86,2024-01-04 22:30:00,10.21
20.0,40.0,27.55,19.72,13.93,0.48,32.89,2.92,26.14,82.4,0.52,64.28,1001.78,2024-01-04 22:45:00,10.24
19.47,38.98,27.59,17.35,13.91,0.48,31.65,2.91,26.06,82.21,0.63,55.87,1001.63,2024-01-04 23:00:00,10.7
19.0,38.05,27.31,16.59,13.94,0.49,31.03,2.99,25.78,83.03,0.57,92.13,1001.46,2024-01-04 23:15:00,10.28
19.0,38.05,29.01,18.49,13.87,0.48,33.43,3.15,25.53,83.8,0.52,77.48,1001.42,2024-01-04 23:30:00,9.84
19.0,38.05,27.5,17.82,13.79,0.48,31.84,3.25,25.28,84.99,0.42,115.58,1001.48,2024-01-04 23:45:00,10.23
15.34,31.07,26.3,16.11,13.75,0.49,29.94,3.29,25.05,85.97,0.53,178.24,1001.55,2024-01-05 00:00:00,10.12
12.0,24.4,27.15,19.68,13.89,0.47,32.55,3.47,25.13,86.46,0.34,187.96,1001.62,2024-01-05 00:15:00,9.53
12.0,24.4,27.04,19.59,13.92,0.48,32.4,2.96,24.66,88.39,0.3,216.93,1001.59,2024-01-05 00:30:00,9.91
12.0,24.4,27.01,15.29,13.88,0.48,30.08,3.1,24.35,90.55,0.46,217.72,1001.47,2024-01-05 00:45:00,10.57
13.04,26.44,25.25,10.91,13.91,0.47,26.32,3.14,24.07,91.82,1.07,281.05,1001.33,2024-01-05 01:00:00,10.8
14.0,28.3,24.53,8.01,13.89,0.47,24.22,3.07,24.05,93.06,0.93,297.55,1001.29,2024-01-05 01:15:00,10.76
14.0,28.3,25.01,7.36,13.94,0.47,24.25,2.92,23.94,93.27,1.25,308.44,1001.12,2024-01-05 01:30:00,10.87
