pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,wd,timestamp,nh3
22.84,29.73,2.13,5.47,12.51,0.86,7.6,0.38,34.31,63.79,126.37,2024-10-15 16:45:00,2.91
19.16,29.14,2.07,5.14,12.54,0.87,7.22,0.51,34.32,63.79,115.88,2024-10-15 17:00:00,2.63
16.28,29.63,2.07,5.1,12.38,0.89,7.16,0.3,34.34,63.8,118.08,2024-10-15 17:15:00,2.61
13.39,29.54,2.36,4.94,12.47,0.87,7.3,0.17,34.37,63.81,119.57,2024-10-15 17:30:00,2.8
11.47,29.72,2.35,4.8,12.43,0.86,7.15,0.43,34.39,63.81,119.48,2024-10-15 17:45:00,2.53
10.19,30.01,2.3,5.01,12.38,0.88,7.3,0.25,34.4,63.83,115.42,2024-10-15 18:00:00,2.61
9.16,31.18,2.42,4.89,12.28,0.89,7.31,0.27,34.43,63.85,100.29,2024-10-15 18:15:00,2.84
8.97,31.83,2.36,4.84,12.39,0.86,7.21,0.15,34.48,63.9,82.28,2024-10-15 18:30:00,2.94
9.46,32.57,2.18,5.11,12.54,0.86,7.28,0.16,34.48,63.9,59.23,2024-10-15 18:45:00,3.04
10.93,32.4,2.19,4.93,12.49,0.87,7.12,0.18,34.53,63.94,51.06,2024-10-15 19:00:00,3.01
12.66,31.88,2.15,5.08,12.12,0.87,7.23,0.18,34.53,63.93,49.45,2024-10-15 19:15:00,3.11
14.5,29.49,2.15,5.09,12.31,0.86,7.23,0.15,34.52,63.92,100.17,2024-10-15 19:30:00,3.1
16.02,27.08,2.13,4.96,12.45,0.86,7.09,0.21,34.57,63.96,120.9,2024-10-15 19:45:00,3.0
16.47,24.05,2.02,4.89,12.29,0.87,6.91,0.05,34.6,63.97,62.99,2024-10-15 20:00:00,3.06
16.79,21.49,1.98,5.15,12.18,0.86,7.13,0.14,34.62,63.98,65.2,2024-10-15 20:15:00,3.24
16.72,19.14,2.03,5.26,12.21,0.86,7.28,0.18,34.6,63.96,89.04,2024-10-15 20:30:00,3.24
16.6,17.96,2.02,5.21,12.48,0.85,7.24,0.1,34.64,63.97,30.05,2024-10-15 20:45:00,3.24
16.83,16.94,2.06,4.93,12.19,0.87,6.99,0.13,34.6,63.93,55.17,2024-10-15 21:00:00,3.45
,,2.08,5.17,12.46,0.86,7.25,0.04,34.58,63.92,74.92,2024-10-15 21:15:00,3.44
,,2.23,5.21,12.26,0.86,7.44,0.09,34.53,63.88,65.58,2024-10-15 21:30:00,3.73
,,2.23,5.28,12.08,0.86,7.51,0.04,34.53,63.89,90.16,2024-10-15 21:45:00,3.72
,,2.21,5.11,12.23,0.87,7.32,,34.54,63.9,63.59,2024-10-15 22:00:00,3.82
,,2.23,5.5,12.53,0.87,7.73,0.03,34.48,63.86,85.49,2024-10-15 22:15:00,3.79
,,2.51,5.28,12.31,0.87,7.79,,34.4,63.81,92.03,2024-10-15 22:30:00,3.91
20.76,21.3,2.82,5.35,12.29,0.87,8.17,0.01,34.39,63.82,71.05,2024-10-15 22:45:00,3.78
21.13,21.57,2.91,5.26,12.21,0.89,8.17,,34.45,63.85,46.48,2024-10-15 23:00:00,3.73
,,2.68,5.28,12.7,0.88,7.96,,34.44,63.84,46.36,2024-10-15 23:15:00,3.79
,,2.86,5.22,12.64,0.87,8.08,0.02,34.38,63.82,61.21,2024-10-15 23:30:00,3.73
,,2.96,5.43,12.54,0.88,8.39,0.03,34.37,63.81,83.3,2024-10-15 23:45:00,3.87
,,3.21,5.3,12.37,0.89,8.51,0.11,34.38,63.82,46.0,2024-10-16 00:00:00,3.9
,,3.11,5.52,12.51,0.88,8.63,0.07,34.36,63.81,47.19,2024-10-16 00:15:00,3.84
,,3.3,5.21,12.46,0.87,8.51,0.01,34.37,63.81,50.85,2024-10-16 00:30:00,3.78
,,3.38,5.12,12.45,0.89,8.5,0.02,34.37,63.81,28.98,2024-10-16 00:45:00,3.73
,,3.3,5.17,12.41,0.88,8.47,0.01,34.38,63.82,59.4,2024-10-16 01:00:00,3.58
,,3.26,5.24,12.37,0.88,8.51,0.09,34.37,63.8,77.1,2024-10-16 01:15:00,3.6
,,3.29,5.01,12.42,0.87,8.3,0.15,34.37,63.8,92.94,2024-10-16 01:30:00,3.44
,,3.06,5.0,12.33,0.88,8.06,0.08,34.38,63.81,140.78,2024-10-16 01:45:00,3.33
,,2.89,5.02,12.4,0.87,7.91,0.28,34.39,63.81,65.31,2024-10-16 02:00:00,3.14
10.12,10.73,2.9,4.72,12.49,0.86,7.62,0.16,34.36,63.79,120.98,2024-10-16 02:15:00,3.08
8.85,10.72,2.83,4.79,12.68,0.86,7.62,0.57,34.38,63.8,165.69,2024-10-16 02:30:00,2.92
7.68,10.72,2.69,4.7,12.37,0.85,7.39,0.39,34.37,63.79,172.25,2024-10-16 02:45:00,2.84
6.84,10.9,2.51,4.66,12.36,0.84,7.16,0.18,34.36,63.79,178.35,2024-10-16 03:00:00,2.74
6.32,10.56,2.51,4.45,12.83,0.81,6.96,0.32,34.34,63.78,171.66,2024-10-16 03:15:00,2.62
5.78,10.18,2.63,4.38,12.55,0.82,7.01,0.33,34.35,63.78,171.77,2024-10-16 03:30:00,2.43
5.25,9.92,2.67,4.21,12.6,0.81,6.88,0.14,34.35,63.78,172.38,2024-10-16 03:45:00,2.32
5.4,9.79,2.68,4.19,12.47,0.8,6.87,0.27,34.35,63.78,178.4,2024-10-16 04:00:00,2.27
5.56,11.01,2.61,4.31,12.35,0.78,6.92,0.24,34.35,63.78,158.36,2024-10-16 04:15:00,2.22
5.9,11.46,2.79,4.15,12.54,0.77,6.94,0.25,34.35,63.77,171.52,2024-10-16 04:30:00,2.08
6.08,11.91,2.74,4.18,12.31,0.77,6.92,0.23,34.34,63.77,178.25,2024-10-16 04:45:00,2.14
6.3,13.13,2.79,4.15,12.43,0.76,6.94,0.27,34.34,63.77,178.17,2024-10-16 05:00:00,2.05
6.63,13.77,2.79,3.97,12.34,0.73,6.77,0.18,34.33,63.77,154.22,2024-10-16 05:15:00,2.07
7.11,14.43,2.77,4.26,12.42,0.74,7.02,0.3,34.33,63.77,158.91,2024-10-16 05:30:00,2.01
8.02,15.13,2.87,4.03,12.59,0.74,6.89,0.18,34.35,63.78,67.43,2024-10-16 05:45:00,2.16
9.16,16.1,2.8,4.44,12.45,0.74,7.23,0.13,34.35,63.79,86.47,2024-10-16 06:00:00,2.2
9.81,18.84,2.98,4.31,12.43,0.72,7.29,0.07,34.34,63.79,59.39,2024-10-16 06:15:00,2.4
10.19,21.89,3.06,4.25,12.27,0.72,7.31,0.15,34.32,63.8,77.95,2024-10-16 06:30:00,2.34
10.65,24.83,3.04,4.24,12.52,0.72,7.28,0.02,34.27,63.78,150.37,2024-10-16 06:45:00,2.48
11.08,26.47,2.96,4.57,12.39,0.73,7.53,0.07,34.21,63.78,144.74,2024-10-16 07:00:00,2.62
11.56,27.09,3.12,4.45,11.98,0.72,7.56,0.08,34.14,63.78,146.64,2024-10-16 07:15:00,2.69
11.9,28.58,3.08,4.76,12.08,0.73,7.85,0.04,34.06,63.78,143.14,2024-10-16 07:30:00,2.85
12.49,30.21,3.2,4.46,11.99,0.73,7.65,0.04,34.0,63.78,144.17,2024-10-16 07:45:00,2.88
12.8,31.35,3.22,4.67,12.12,0.73,7.9,0.04,33.93,63.77,166.18,2024-10-16 08:00:00,2.8
13.04,31.86,3.34,4.51,12.12,0.71,7.85,0.03,33.93,63.78,114.19,2024-10-16 08:15:00,2.69
,,,,,0.0,0.0,,33.86,63.78,132.29,2024-10-16 08:30:00,
13.34,30.91,3.24,4.5,12.17,0.71,7.74,0.04,33.82,63.79,68.75,2024-10-16 08:45:00,2.55
13.37,29.79,3.42,4.46,12.04,0.71,7.88,0.06,33.83,63.79,67.05,2024-10-16 09:00:00,2.62
13.78,28.71,3.45,4.54,12.09,0.69,7.99,0.07,33.8,63.79,82.68,2024-10-16 09:15:00,2.72
14.36,28.54,3.63,4.59,11.84,0.7,8.23,0.05,33.76,63.79,53.16,2024-10-16 09:30:00,2.73
15.18,28.74,3.62,4.49,12.14,0.69,8.11,0.08,33.83,63.79,68.17,2024-10-16 09:45:00,2.76
15.5,29.37,3.63,4.83,11.96,0.68,8.46,0.41,33.76,63.78,60.29,2024-10-16 10:00:00,2.89
15.08,30.07,3.19,6.37,12.07,0.68,9.56,0.35,33.81,63.82,57.33,2024-10-16 10:15:00,3.66
13.3,32.49,2.31,5.22,12.01,0.69,7.53,0.06,33.94,63.88,74.07,2024-10-16 10:30:00,2.65
9.49,34.84,1.88,4.56,12.28,0.66,6.44,0.12,34.04,63.89,45.42,2024-10-16 10:45:00,2.12
4.35,36.2,1.81,4.12,12.17,0.67,5.94,0.16,33.97,63.87,68.1,2024-10-16 11:00:00,1.71
0.24,36.4,1.9,3.67,12.14,0.69,5.57,0.23,33.74,63.87,70.41,2024-10-16 11:15:00,1.55
