pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
,,,,,,,,,93.56,,,2023-09-28 10:15:00,,,,,
8.0,,,,15.02,0.43,129.08,19.56,26.99,92.03,1.09,0.74,2023-09-28 10:30:00,109.06,0.26,0.97,,1.38
10.67,,,,15.01,0.43,132.71,19.75,26.38,92.28,1.3,0.74,2023-09-28 10:45:00,109.07,0.26,0.97,,1.38
11.0,,,,14.98,0.43,130.83,19.63,26.54,92.14,1.42,0.74,2023-09-28 11:00:00,110.7,0.26,0.97,,1.38
11.0,,,,14.99,0.43,136.85,19.66,27.04,91.34,1.02,0.75,2023-09-28 11:15:00,114.11,0.26,0.97,,1.38
11.0,,,,14.82,0.43,141.64,19.48,28.28,88.74,1.04,0.76,2023-09-28 11:30:00,118.6,0.26,0.97,,1.38
7.4,,,,14.99,0.43,146.88,19.7,29.75,81.78,0.86,0.76,2023-09-28 11:45:00,122.64,0.26,0.97,,1.38
7.0,,,,14.98,0.43,150.74,19.52,29.89,75.76,1.34,0.77,2023-09-28 12:00:00,127.28,0.26,0.97,,1.38
7.0,,,,14.99,0.43,149.31,19.53,29.01,76.71,1.15,0.76,2023-09-28 12:15:00,128.81,0.26,0.97,,1.38
7.0,,,,14.96,0.43,151.03,19.41,27.02,84.06,1.07,0.74,2023-09-28 12:30:00,127.43,0.26,0.97,,1.38
6.1,,,,14.99,0.43,152.86,19.69,26.29,87.75,0.97,0.74,2023-09-28 12:45:00,127.2,0.26,0.97,,1.38
6.0,,,,14.99,0.43,153.37,19.77,26.68,88.28,0.73,0.75,2023-09-28 13:00:00,129.69,0.26,0.97,,1.38
6.0,,,,15.0,0.43,151.46,19.93,28.19,87.33,0.67,0.76,2023-09-28 13:15:00,130.03,0.26,0.97,,1.38
6.0,,,,14.98,0.43,153.41,19.77,30.27,78.27,1.23,0.76,2023-09-28 13:30:00,129.96,0.26,0.97,,1.38
6.9,,,,14.99,0.43,154.02,20.09,30.63,74.36,0.91,0.77,2023-09-28 13:45:00,130.87,0.26,0.97,,1.38
