pm2.5,pm10,no,no2,so2,co,nox,timestamp
99.72,181.98,6.11,12.64,,,15.56,2023-01-12 15:15:00
99.72,181.98,5.7,12.81,,,15.32,2023-01-12 15:30:00
96.05,180.19,5.92,12.69,,,15.44,2023-01-12 15:45:00
91.25,177.85,6.22,12.66,,0.57,15.66,2023-01-12 16:00:00
91.25,177.85,6.16,12.84,,0.57,15.7,2023-01-12 16:15:00
91.25,177.85,5.98,12.72,,0.57,14.82,2023-01-12 16:30:00
82.05,176.28,5.93,12.73,,0.57,11.39,2023-01-12 16:45:00
70.03,174.21,5.87,12.76,,0.57,11.36,2023-01-12 17:00:00
70.03,174.21,6.18,12.82,,0.56,11.64,2023-01-12 17:15:00
70.03,174.21,6.08,12.76,,0.64,11.53,2023-01-12 17:30:00
86.74,175.78,6.04,12.59,,0.78,11.41,2023-01-12 17:45:00
108.58,177.82,6.17,12.63,,0.78,11.53,2023-01-12 18:00:00
108.58,177.82,6.2,12.71,,0.78,11.6,2023-01-12 18:15:00
108.58,177.82,6.25,12.73,,0.79,11.65,2023-01-12 18:30:00
109.14,188.48,6.05,12.71,,0.8,11.48,2023-01-12 18:45:00
109.86,202.43,5.86,12.67,,0.8,11.31,2023-01-12 19:00:00
109.86,202.43,6.05,12.45,,0.81,11.34,2023-01-12 19:15:00
109.86,202.43,6.03,12.52,,0.8,11.36,2023-01-12 19:30:00
118.79,196.77,6.04,12.79,,0.8,11.52,2023-01-12 19:45:00
130.46,189.38,6.39,12.54,,0.8,11.66,2023-01-12 20:00:00
130.46,189.38,5.92,12.61,,0.81,11.32,2023-01-12 20:15:00
130.46,189.38,5.69,12.49,,0.82,11.08,2023-01-12 20:30:00
137.53,209.43,5.89,12.68,,0.83,11.34,2023-01-12 20:45:00
146.77,235.65,6.03,12.61,,0.84,11.41,2023-01-12 21:00:00
146.77,235.65,6.01,12.84,,0.87,11.52,2023-01-12 21:15:00
146.77,235.65,6.12,12.68,,,11.52,2023-01-12 21:30:00
155.22,257.53,6.17,12.63,,0.92,11.53,2023-01-12 21:45:00
166.27,286.13,5.82,12.88,,0.95,11.38,2023-01-12 22:00:00
166.27,286.13,6.06,12.62,,0.97,11.45,2023-01-12 22:15:00
166.27,286.13,5.81,12.72,,0.99,11.29,2023-01-12 22:30:00
159.9,292.82,6.16,12.55,,1.0,11.48,2023-01-12 22:45:00
151.57,301.55,6.07,12.84,,1.0,11.57,2023-01-12 23:00:00
151.57,301.55,6.11,12.72,,1.01,11.53,2023-01-12 23:15:00
151.57,301.55,6.2,12.6,,1.0,11.54,2023-01-12 23:30:00
166.22,270.46,6.34,12.64,,0.96,11.68,2023-01-13 00:00:00
166.22,270.46,6.29,12.58,,0.95,11.6,2023-01-13 00:15:00
166.22,270.46,6.64,12.59,,0.94,11.89,2023-01-13 00:30:00
142.89,249.57,6.25,12.73,,0.92,11.65,2023-01-13 00:45:00
112.37,222.25,6.14,12.78,,0.89,11.59,2023-01-13 01:00:00
112.37,222.25,6.28,12.7,,0.87,11.66,2023-01-13 01:15:00
112.37,222.25,6.18,12.57,,0.85,11.52,2023-01-13 01:30:00
107.06,202.51,6.15,12.74,,0.84,11.57,2023-01-13 01:45:00
100.11,176.68,6.04,12.59,,0.82,11.4,2023-01-13 02:00:00
100.11,176.68,6.21,12.7,,0.81,11.61,2023-01-13 02:15:00
100.11,176.68,6.04,12.71,,0.81,11.47,2023-01-13 02:30:00
94.18,172.54,5.83,12.56,,0.8,11.22,2023-01-13 02:45:00
86.43,167.13,6.04,12.57,,0.79,11.39,2023-01-13 03:00:00
86.43,167.13,6.13,12.75,,0.79,11.57,2023-01-13 03:15:00
86.43,167.13,6.09,12.73,,0.78,11.52,2023-01-13 03:30:00
95.28,156.95,6.12,12.63,,0.78,11.49,2023-01-13 03:45:00
106.85,143.64,6.11,12.53,,0.78,11.43,2023-01-13 04:00:00
106.85,143.64,5.66,12.57,,0.78,11.09,2023-01-13 04:15:00
106.85,143.64,5.76,12.61,,0.77,11.19,2023-01-13 04:30:00
94.77,142.14,5.93,12.73,,0.77,11.39,2023-01-13 04:45:00
78.98,140.17,6.24,12.83,,0.77,11.7,2023-01-13 05:00:00
