pm2.5,pm10,no,no2,so2,nox,timestamp
,,12.26,6.25,7.12,11.88,2023-03-13 12:45:00
,,12.51,6.24,4.48,12.06,2023-03-13 13:00:00
10.0,10.13,14.42,6.25,5.14,13.44,2023-03-13 13:15:00
10.0,10.13,11.02,6.82,7.8,11.25,2023-03-13 13:30:00
10.0,10.13,11.03,6.75,5.63,11.22,2023-03-13 13:45:00
11.0,12.98,11.58,7.04,6.95,11.76,2023-03-13 14:00:00
11.0,13.76,11.78,6.73,4.26,11.76,2023-03-13 14:15:00
11.0,13.76,12.97,6.91,9.13,12.71,2023-03-13 14:30:00
11.0,13.76,11.66,6.6,10.86,11.61,2023-03-13 14:45:00
12.0,14.23,12.55,6.62,4.95,12.26,2023-03-13 15:00:00
12.0,14.39,13.62,6.71,5.18,13.09,2023-03-13 15:15:00
12.0,14.39,11.34,6.1,12.17,11.14,2023-03-13 15:30:00
12.0,14.39,13.77,6.21,10.84,12.96,2023-03-13 15:45:00
14.0,25.9,11.17,6.6,12.43,11.26,2023-03-13 16:00:00
14.0,29.04,11.56,6.51,12.16,11.5,2023-03-13 16:15:00
14.0,29.04,11.73,7.01,5.24,11.85,2023-03-13 16:30:00
14.0,29.04,10.92,6.82,11.03,11.17,2023-03-13 16:45:00
15.0,37.68,11.35,6.7,12.24,11.43,2023-03-13 17:00:00
15.0,41.13,9.82,6.38,4.13,10.17,2023-03-13 17:15:00
15.0,41.13,13.04,6.22,11.36,12.43,2023-03-13 17:30:00
15.0,41.13,14.05,6.74,5.68,13.42,2023-03-13 17:45:00
7.0,56.86,10.83,6.55,5.35,10.98,2023-03-13 18:00:00
7.0,61.58,12.55,6.05,7.31,11.99,2023-03-13 18:15:00
7.0,61.58,11.52,6.46,12.66,11.44,2023-03-13 18:30:00
7.0,61.58,12.11,7.16,6.24,12.2,2023-03-13 18:45:00
8.0,93.97,11.51,6.8,9.15,11.59,2023-03-13 19:00:00
8.0,102.8,11.36,6.9,12.28,11.53,2023-03-13 19:15:00
