pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3
,,,,,,,,,,2.51,218.54,,2022-09-12 09:30:00,
14.0,,3.28,4.62,36.79,0.5,5.11,1.84,28.81,63.07,2.42,223.71,975.14,2022-09-12 09:45:00,2.76
14.09,,2.51,5.09,36.91,0.44,4.75,1.99,29.18,61.77,2.21,221.78,974.95,2022-09-12 10:00:00,2.6
15.0,,2.03,4.7,37.0,0.5,4.14,2.1,29.66,60.54,1.92,218.26,974.81,2022-09-12 10:15:00,2.9
15.0,,2.04,4.37,37.23,0.46,4.0,1.72,30.07,58.47,1.55,198.31,974.71,2022-09-12 10:30:00,2.81
15.0,,1.93,3.99,38.06,0.45,3.7,2.14,30.12,57.95,1.7,195.08,974.58,2022-09-12 10:45:00,2.66
15.27,,1.84,3.57,38.16,0.48,3.37,1.96,30.47,57.16,1.96,198.28,974.46,2022-09-12 11:00:00,2.76
18.0,37.0,1.79,3.47,38.5,0.45,3.31,1.57,30.66,56.14,1.85,199.09,974.21,2022-09-12 11:15:00,2.87
18.0,37.0,1.63,4.04,37.43,0.47,3.48,1.37,30.8,55.2,1.98,199.2,973.99,2022-09-12 11:30:00,2.65
18.0,37.0,1.6,3.84,37.66,0.46,3.33,2.01,30.91,55.11,1.96,218.78,973.77,2022-09-12 11:45:00,2.66
17.53,37.0,1.78,3.99,36.97,0.47,3.56,2.01,31.39,54.91,1.87,219.93,973.6,2022-09-12 12:00:00,2.81
12.0,34.27,2.16,4.09,37.47,0.47,3.92,2.18,31.73,53.86,1.62,226.38,973.43,2022-09-12 12:15:00,2.87
12.0,34.0,1.99,4.3,36.99,0.46,3.91,2.12,31.81,52.72,2.29,214.82,973.11,2022-09-12 12:30:00,2.95
12.0,34.0,1.85,4.27,37.16,0.48,3.8,1.7,31.83,54.04,1.95,211.35,972.95,2022-09-12 12:45:00,2.74
12.0,34.0,1.63,4.09,36.99,0.45,3.49,2.08,31.72,54.37,2.47,211.39,972.65,2022-09-12 13:00:00,2.93
12.0,35.8,1.79,4.29,37.27,0.5,3.76,,32.07,53.9,2.01,217.24,972.32,2022-09-12 13:15:00,2.77
12.0,36.0,1.82,4.05,36.5,0.44,3.66,,31.89,53.43,2.14,213.96,972.1,2022-09-12 13:30:00,2.63
12.0,36.0,1.76,4.38,36.84,0.48,3.76,,31.53,55.09,1.95,261.66,971.95,2022-09-12 13:45:00,2.94
12.44,36.0,2.57,7.07,36.62,0.54,5.86,3.03,31.16,58.48,1.64,273.54,971.83,2022-09-12 14:00:00,2.92
17.0,35.09,2.85,8.57,36.94,0.49,6.88,5.28,31.4,58.51,1.76,260.26,971.55,2022-09-12 14:15:00,2.91
17.0,35.0,2.6,7.34,36.76,0.49,6.01,,32.32,55.94,1.85,227.0,971.46,2022-09-12 14:30:00,2.96
10.4,33.2,2.6,6.73,36.44,0.48,5.56,2.36,33.13,51.62,2.09,179.01,971.27,2022-09-12 14:45:00,2.84
6.13,22.4,2.27,5.12,34.03,0.43,4.99,1.99,31.74,57.28,1.45,211.55,969.4,2022-09-12 15:00:00,2.8
5.0,16.8,2.25,5.29,33.89,0.4,5.24,1.85,30.96,59.51,1.4,239.59,968.95,2022-09-12 15:15:00,2.75
4.67,16.27,2.74,5.47,33.64,0.4,6.1,2.36,30.9,59.86,1.29,235.49,968.94,2022-09-12 15:30:00,2.89
2.0,12.0,2.14,6.3,34.25,0.44,5.18,1.87,30.94,59.93,1.51,233.21,968.82,2022-09-12 15:45:00,3.14
11.69,38.13,2.36,6.56,36.0,0.47,5.42,2.02,31.98,53.69,2.66,239.58,971.09,2022-09-12 16:00:00,2.61
16.0,43.64,2.58,7.24,35.96,0.51,5.95,1.15,31.78,53.5,2.48,279.07,971.31,2022-09-12 16:15:00,2.82
16.0,44.0,2.92,7.88,36.69,0.49,6.58,1.77,31.73,54.04,1.88,252.61,971.32,2022-09-12 16:30:00,2.84
16.0,44.0,3.23,7.96,36.7,0.51,6.87,2.08,31.5,55.1,1.79,241.04,971.49,2022-09-12 16:45:00,3.22
15.91,44.0,3.22,9.3,36.19,0.5,7.56,2.23,31.06,56.12,2.17,254.43,971.67,2022-09-12 17:00:00,2.96
