pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,mp_xylene
,,,,,,,,,21.63,,,,2022-10-26 15:00:00,,,,
21.24,44.0,,,43.92,0.72,,8.32,34.08,21.7,1.2,115.55,999.29,2022-10-26 15:15:00,,,,
21.24,44.0,,,43.87,0.72,,8.09,33.56,21.97,0.89,102.86,999.25,2022-10-26 15:30:00,,,,
21.27,44.07,,,43.34,0.72,,8.1,33.5,22.31,0.92,107.52,999.22,2022-10-26 15:45:00,,,,
22.16,46.0,,,43.34,0.74,,7.63,33.29,23.89,0.8,103.4,999.19,2022-10-26 16:00:00,,,,
22.16,46.0,,,42.88,0.72,,8.41,32.62,23.61,0.79,164.68,999.19,2022-10-26 16:15:00,,,,
22.16,46.0,,,43.41,0.74,,8.29,32.18,24.43,0.87,118.43,999.2,2022-10-26 16:30:00,,,,
22.19,46.07,,,44.21,0.75,,8.34,31.45,25.17,0.69,155.68,999.34,2022-10-26 16:45:00,,,,
23.08,48.0,,,44.37,0.75,,7.98,30.72,25.14,0.75,93.01,999.44,2022-10-26 17:00:00,,,,
23.08,48.0,,,43.87,0.74,,8.25,29.82,26.1,0.81,90.04,999.59,2022-10-26 17:15:00,,,,
23.08,48.0,,,43.79,0.74,,8.27,28.98,27.08,0.74,88.38,999.77,2022-10-26 17:30:00,,,,
23.1,48.04,,,43.8,0.74,,8.32,28.32,29.02,0.76,81.3,999.92,2022-10-26 17:45:00,,,,
23.54,49.0,,,44.09,0.76,,8.33,27.8,31.21,0.75,76.86,1000.09,2022-10-26 18:00:00,,,,
23.54,49.0,,,45.17,0.74,,8.63,27.52,31.95,0.75,86.07,1000.25,2022-10-26 18:15:00,,,,
23.54,49.0,,,45.33,0.74,,8.58,27.23,33.44,0.63,81.67,1000.48,2022-10-26 18:30:00,,,,
23.54,49.0,,,45.33,0.75,,8.24,26.89,35.83,0.57,85.36,1000.73,2022-10-26 18:45:00,,,,
23.54,49.0,,,44.62,0.73,,8.55,26.42,38.48,0.71,77.95,1000.96,2022-10-26 19:00:00,,,,
23.54,49.0,,,43.84,0.74,,8.24,26.27,39.22,0.76,80.37,1001.22,2022-10-26 19:15:00,,,,
23.54,49.0,,,43.93,0.76,,8.05,25.82,40.87,0.48,99.26,1001.47,2022-10-26 19:30:00,,,,
23.62,49.18,,,43.98,0.75,,7.96,25.6,41.72,0.55,69.89,1001.7,2022-10-26 19:45:00,,,,
25.84,54.0,,,44.11,0.75,,7.91,25.36,43.43,0.54,69.91,1001.86,2022-10-26 20:00:00,,,,
25.84,54.0,,,43.95,0.77,,8.2,25.05,46.03,0.46,95.77,1002.1,2022-10-26 20:15:00,,,,
25.84,54.0,,,43.71,0.77,,8.15,24.54,49.03,0.3,97.07,1002.32,2022-10-26 20:30:00,,,,
26.05,54.43,,,44.14,0.75,,8.43,24.04,51.74,0.19,154.27,1002.44,2022-10-26 20:45:00,,,,
31.82,67.0,,,44.21,0.76,,8.42,23.84,52.82,0.26,106.03,1002.56,2022-10-26 21:00:00,,,,
31.82,67.0,,,43.95,0.77,,7.85,23.82,53.01,0.39,99.11,1002.72,2022-10-26 21:15:00,,,,
31.82,67.0,,,44.18,0.75,,8.5,23.69,54.44,0.4,85.85,1002.78,2022-10-26 21:30:00,,,,
31.66,66.64,,,44.12,0.76,,7.76,23.84,52.99,0.37,91.04,1002.82,2022-10-26 21:45:00,,,,
27.22,57.0,,,43.98,0.75,,8.31,23.77,53.94,0.46,73.03,1002.76,2022-10-26 22:00:00,,,,
27.22,57.0,,,44.34,0.76,,7.9,23.41,56.89,0.54,110.73,1002.73,2022-10-26 22:15:00,,,,
27.22,57.0,,,44.46,0.77,,8.05,23.32,57.91,0.53,205.5,1002.68,2022-10-26 22:30:00,,,,
27.27,57.17,,,43.68,0.76,,8.1,23.35,58.72,0.67,317.35,1002.61,2022-10-26 22:45:00,,,,
29.06,61.0,,,43.35,0.75,,8.04,23.3,58.52,0.6,252.95,1002.51,2022-10-26 23:00:00,,,,
29.06,61.0,,,43.64,0.76,,7.84,23.16,59.53,0.67,232.91,1002.45,2022-10-26 23:15:00,,,,
29.06,61.0,,,43.75,0.76,,7.88,22.97,61.5,0.64,155.1,1002.38,2022-10-26 23:30:00,,,,
28.91,60.5,,,43.91,0.75,,7.93,22.7,64.54,0.64,81.29,1002.25,2022-10-26 23:45:00,,,,
22.62,47.0,,,44.1,0.75,,8.19,22.44,66.53,0.66,45.46,1002.12,2022-10-27 00:00:00,,,,
22.62,47.0,,,43.97,0.75,,8.07,22.47,65.07,0.71,38.33,1002.02,2022-10-27 00:15:00,,,,
22.62,47.0,,,43.85,0.75,,7.97,22.49,63.59,0.65,51.9,1001.83,2022-10-27 00:30:00,,,,
22.67,47.12,,,43.71,0.74,,8.09,22.65,63.9,0.74,169.85,1001.69,2022-10-27 00:45:00,,,,
