pm2.5,co,ozone,timestamp
159.91,,10.82,2020-12-16 09:30:00
159.91,,11.38,2020-12-16 09:45:00
159.91,,9.87,2020-12-16 10:00:00
193.98,2.19,7.69,2020-12-16 10:15:00
201.91,3.6,12.43,2020-12-16 10:30:00
201.91,2.13,13.63,2020-12-16 10:45:00
201.91,3.53,16.91,2020-12-16 11:00:00
219.22,2.82,16.97,2020-12-16 11:15:00
223.25,,27.28,2020-12-16 11:30:00
223.25,2.43,19.16,2020-12-16 11:45:00
223.25,1.39,16.27,2020-12-16 12:00:00
202.62,2.17,15.15,2020-12-16 12:15:00
197.81,1.3,17.05,2020-12-16 12:30:00
197.81,2.54,14.88,2020-12-16 12:45:00
197.81,1.16,14.37,2020-12-16 13:00:00
169.69,2.6,13.81,2020-12-16 13:15:00
163.15,,10.45,2020-12-16 13:30:00
163.15,2.59,10.79,2020-12-16 13:45:00
163.15,1.5,13.47,2020-12-16 14:00:00
139.5,3.38,12.15,2020-12-16 14:15:00
133.99,1.85,14.16,2020-12-16 14:30:00
133.99,3.11,11.56,2020-12-16 14:45:00
133.99,1.74,10.11,2020-12-16 15:00:00
99.11,3.17,14.28,2020-12-16 15:15:00
90.99,2.09,30.43,2020-12-16 15:30:00
90.99,2.85,33.12,2020-12-16 15:45:00
90.99,4.35,33.16,2020-12-16 16:00:00
,0.0,,2020-12-16 18:00:00
85.59,0.3,2.18,2020-12-16 18:15:00
84.71,0.3,13.39,2020-12-16 18:30:00
84.71,0.3,4.56,2020-12-16 18:45:00
84.71,0.3,5.0,2020-12-16 19:00:00
64.99,0.3,4.24,2020-12-16 19:15:00
60.39,0.3,6.48,2020-12-16 19:30:00
60.39,0.3,6.28,2020-12-16 19:45:00
60.39,0.3,9.64,2020-12-16 20:00:00
82.33,0.3,9.38,2020-12-16 20:15:00
87.44,0.3,11.74,2020-12-16 20:30:00
87.44,0.3,15.75,2020-12-16 20:45:00
87.44,0.3,16.76,2020-12-16 21:00:00
95.86,0.3,15.72,2020-12-16 21:15:00
97.83,0.3,14.39,2020-12-16 21:30:00
97.83,0.3,16.26,2020-12-16 21:45:00
97.83,0.3,15.39,2020-12-16 22:00:00
92.79,0.3,16.14,2020-12-16 22:15:00
91.62,0.3,19.64,2020-12-16 22:30:00
91.62,0.3,18.62,2020-12-16 22:45:00
91.62,0.3,18.99,2020-12-16 23:00:00
92.57,0.3,18.35,2020-12-16 23:15:00
92.79,0.3,19.22,2020-12-16 23:30:00
92.79,0.3,18.23,2020-12-17 00:00:00
96.45,0.3,17.81,2020-12-17 00:15:00
97.3,0.3,17.07,2020-12-17 00:30:00
97.3,0.3,15.86,2020-12-17 00:45:00
97.3,0.3,16.92,2020-12-17 01:00:00
82.57,0.3,16.82,2020-12-17 01:15:00
79.13,0.3,15.88,2020-12-17 01:30:00
79.13,0.3,17.18,2020-12-17 01:45:00
79.13,0.3,17.16,2020-12-17 02:00:00
91.88,0.3,15.74,2020-12-17 02:15:00
94.85,0.3,15.19,2020-12-17 02:30:00
94.85,0.3,13.64,2020-12-17 02:45:00
94.85,0.3,12.68,2020-12-17 03:00:00
96.75,0.3,12.7,2020-12-17 03:15:00
97.19,0.3,12.27,2020-12-17 03:30:00
97.19,0.3,12.38,2020-12-17 03:45:00
97.19,0.3,11.67,2020-12-17 04:00:00
92.91,0.3,11.48,2020-12-17 04:15:00
91.91,0.3,10.97,2020-12-17 04:30:00
91.91,0.3,9.53,2020-12-17 04:45:00
91.91,0.3,10.41,2020-12-17 05:00:00
100.49,0.3,11.02,2020-12-17 05:15:00
102.49,0.3,9.69,2020-12-17 05:30:00
102.49,0.3,9.52,2020-12-17 05:45:00
102.49,0.3,9.94,2020-12-17 06:00:00
112.39,0.3,10.01,2020-12-17 06:15:00
114.7,0.3,9.08,2020-12-17 06:30:00
114.7,0.3,8.71,2020-12-17 06:45:00
114.7,0.3,9.03,2020-12-17 07:00:00
113.71,0.3,8.35,2020-12-17 07:15:00
113.48,0.3,8.1,2020-12-17 07:30:00
113.48,0.3,9.37,2020-12-17 07:45:00
113.48,0.3,9.66,2020-12-17 08:00:00
129.08,0.3,10.5,2020-12-17 08:15:00
132.72,0.3,11.87,2020-12-17 08:30:00
132.72,0.3,14.16,2020-12-17 08:45:00
132.72,0.3,15.23,2020-12-17 09:00:00
163.88,0.3,16.13,2020-12-17 09:15:00
171.13,0.3,16.9,2020-12-17 09:30:00
171.13,0.28,16.77,2020-12-17 09:45:00
171.13,0.3,12.8,2020-12-17 10:00:00
165.54,0.22,10.87,2020-12-17 10:15:00
164.23,0.2,10.27,2020-12-17 10:30:00
164.23,0.0,9.76,2020-12-17 10:45:00
164.23,0.0,9.84,2020-12-17 11:00:00
124.85,0.36,10.01,2020-12-17 11:15:00
115.68,0.36,10.91,2020-12-17 11:30:00
115.68,0.36,11.02,2020-12-17 11:45:00
115.68,0.36,10.51,2020-12-17 12:00:00
89.97,0.34,12.26,2020-12-17 12:15:00
83.99,0.29,13.24,2020-12-17 12:30:00
83.99,0.29,13.6,2020-12-17 12:45:00
83.99,0.29,12.5,2020-12-17 13:00:00
74.34,0.29,14.97,2020-12-17 13:15:00
72.09,0.29,14.57,2020-12-17 13:30:00
72.09,0.29,14.4,2020-12-17 13:45:00
72.09,0.29,14.83,2020-12-17 14:00:00
62.73,0.29,15.06,2020-12-17 14:15:00
60.56,0.29,14.43,2020-12-17 14:30:00
60.56,0.42,15.32,2020-12-17 14:45:00
60.56,0.45,12.87,2020-12-17 15:00:00
50.83,0.45,12.16,2020-12-17 15:15:00
48.57,0.45,9.5,2020-12-17 15:30:00
48.57,0.45,8.24,2020-12-17 15:45:00
48.57,0.45,8.63,2020-12-17 16:00:00
55.4,0.42,7.72,2020-12-17 16:15:00
56.99,0.39,7.54,2020-12-17 16:30:00
56.99,0.39,7.52,2020-12-17 16:45:00
56.99,0.39,8.93,2020-12-17 17:00:00
54.58,0.39,9.65,2020-12-17 17:15:00
54.02,0.39,8.1,2020-12-17 17:30:00
54.02,0.39,3.87,2020-12-17 17:45:00
54.02,0.39,4.14,2020-12-17 18:00:00
87.21,0.39,5.86,2020-12-17 18:15:00
94.94,0.39,5.71,2020-12-17 18:30:00
94.94,0.39,6.63,2020-12-17 18:45:00
94.94,0.39,6.71,2020-12-17 19:00:00
119.36,0.39,6.09,2020-12-17 19:15:00
125.04,0.39,6.87,2020-12-17 19:30:00
125.04,0.39,7.29,2020-12-17 19:45:00
125.04,0.39,6.35,2020-12-17 20:00:00
127.1,0.62,7.43,2020-12-17 20:15:00
127.58,0.83,8.34,2020-12-17 20:30:00
127.58,0.83,7.43,2020-12-17 20:45:00
127.58,0.83,5.76,2020-12-17 21:00:00
125.52,0.83,5.64,2020-12-17 21:15:00
125.03,0.83,4.93,2020-12-17 21:30:00
125.03,0.83,4.73,2020-12-17 21:45:00
125.03,0.83,3.51,2020-12-17 22:00:00
100.91,0.83,4.7,2020-12-17 22:15:00
95.29,0.83,5.38,2020-12-17 22:30:00
