pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp
,70.1,24.35,154.36,29.18,6.78,99.81,14.88,2023-11-28 14:00:00
,70.1,25.15,153.8,30.24,6.32,99.94,14.17,2023-11-28 14:15:00
,70.1,24.46,154.46,29.72,6.77,99.93,15.06,2023-11-28 14:30:00
,70.29,24.56,154.77,29.47,5.97,100.16,14.12,2023-11-28 14:45:00
,72.91,24.47,154.83,29.97,6.61,100.14,14.36,2023-11-28 15:00:00
,72.91,22.32,125.66,19.37,6.1,82.64,32.23,2023-11-28 15:15:00
,72.91,14.63,65.56,12.81,7.03,44.78,20.53,2023-11-28 15:30:00
,75.18,14.58,62.99,12.45,7.46,43.32,17.49,2023-11-28 15:45:00
,106.91,13.78,60.79,13.28,7.2,41.64,21.11,2023-11-28 16:00:00
,106.91,15.98,88.57,24.43,7.59,58.39,29.04,2023-11-28 16:15:00
,106.91,20.82,119.96,45.3,8.05,78.62,12.83,2023-11-28 16:30:00
1.88,107.53,23.02,135.75,41.46,7.46,88.67,13.61,2023-11-28 16:45:00
28.19,116.28,24.45,157.89,39.0,7.42,101.84,15.41,2023-11-28 17:00:00
28.19,116.28,27.93,179.47,36.58,8.18,115.83,17.22,2023-11-28 17:15:00
28.19,116.28,29.95,194.66,36.63,8.18,125.45,14.43,2023-11-28 17:30:00
30.2,118.63,31.74,212.56,35.32,7.92,136.44,15.55,2023-11-28 17:45:00
58.27,151.6,33.3,223.35,35.26,7.84,143.34,14.16,2023-11-28 18:00:00
58.27,151.6,34.89,237.88,33.24,8.29,152.34,15.77,2023-11-28 18:15:00
58.27,151.6,36.07,248.09,32.85,8.21,158.7,14.64,2023-11-28 18:30:00
57.38,151.54,36.67,249.35,33.28,8.59,159.74,15.97,2023-11-28 18:45:00
44.94,150.69,39.58,265.87,31.49,8.02,170.6,15.28,2023-11-28 19:00:00
44.94,150.69,38.33,269.6,34.35,7.96,171.98,9.42,2023-11-28 19:15:00
44.94,150.69,39.1,266.66,31.27,8.48,170.77,16.41,2023-11-28 19:30:00
44.79,147.81,38.62,257.95,31.19,7.33,165.64,18.89,2023-11-28 19:45:00
42.76,107.55,37.52,251.89,30.19,8.31,161.64,19.04,2023-11-28 20:00:00
42.76,107.55,36.51,246.29,33.26,7.9,157.94,12.85,2023-11-28 20:15:00
42.76,107.55,35.76,240.38,30.46,8.13,154.23,14.13,2023-11-28 20:30:00
41.9,106.76,34.99,235.14,31.36,7.89,150.87,16.82,2023-11-28 20:45:00
29.79,95.7,34.24,233.16,30.59,7.74,149.34,14.45,2023-11-28 21:00:00
29.79,95.7,34.16,227.62,30.17,8.31,146.21,15.42,2023-11-28 21:15:00
29.79,95.7,33.8,224.54,30.09,7.5,144.28,14.52,2023-11-28 21:30:00
29.7,96.46,34.3,228.68,29.68,7.98,146.88,12.34,2023-11-28 21:45:00
28.38,107.15,33.5,229.16,29.82,7.81,146.7,13.38,2023-11-28 22:00:00
28.38,107.15,33.86,225.65,30.48,8.0,144.94,16.69,2023-11-28 22:15:00
