pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,xylene,mp_xylene
21.85,28.06,0.71,1.41,3.37,0.48,1.33,49.4,32.13,61.26,1.31,70.15,747.6,2024-09-02 11:00:00,3.13,0.22,0.09,0.5,0.39,0.2
14.9,20.09,0.87,2.6,3.3,0.5,2.09,49.16,31.97,64.56,1.16,64.35,747.6,2024-09-02 11:15:00,3.35,0.22,0.09,0.5,0.37,0.18
17.4,50.11,0.83,1.75,3.19,0.49,1.61,49.01,32.22,62.75,1.34,60.43,747.5,2024-09-02 11:30:00,3.61,0.22,0.07,0.51,0.37,0.18
15.79,65.57,0.69,1.64,3.36,0.49,1.43,50.25,31.67,66.58,1.25,78.65,747.4,2024-09-02 11:45:00,3.59,0.22,0.08,0.52,0.41,0.22
12.05,48.27,0.75,1.63,3.38,0.49,1.48,48.99,31.79,68.07,1.8,106.73,747.3,2024-09-02 12:00:00,3.11,0.24,0.08,0.53,0.29,0.19
11.19,32.77,0.7,1.2,3.2,0.49,1.21,46.05,31.71,67.41,1.4,114.41,747.1,2024-09-02 12:15:00,2.84,0.25,0.08,0.47,0.33,0.22
14.34,23.18,0.73,1.04,3.03,0.48,1.15,46.66,32.59,60.64,1.29,91.28,746.8,2024-09-02 12:30:00,3.65,0.36,0.08,0.51,0.31,0.19
,,0.69,1.06,2.86,0.49,1.12,46.09,32.16,64.37,1.21,94.32,746.5,2024-09-02 12:45:00,3.56,0.05,0.08,0.49,0.29,0.17
,,0.64,1.05,3.05,0.48,1.08,49.95,32.25,64.15,1.53,106.44,746.2,2024-09-02 13:00:00,2.83,0.34,0.08,0.51,0.29,0.18
,,0.66,1.58,3.4,0.48,1.38,55.92,32.57,61.83,1.7,103.82,746.0,2024-09-02 13:15:00,3.08,0.44,0.08,0.48,0.32,0.2
17.58,18.36,0.71,1.43,3.37,0.49,1.34,54.47,32.97,61.21,1.67,103.07,745.8,2024-09-02 13:30:00,3.14,0.33,0.08,0.53,0.48,0.24
,,0.63,1.16,2.98,0.48,1.13,55.23,32.97,60.64,1.99,96.37,745.5,2024-09-02 13:45:00,3.59,0.15,0.08,0.5,0.35,0.22
,,0.63,0.72,3.35,0.48,0.9,51.28,32.4,64.26,1.69,94.06,745.3,2024-09-02 14:00:00,3.7,0.24,0.08,0.53,0.49,0.2
12.17,15.39,0.56,0.65,3.31,0.47,0.8,51.76,32.99,60.08,1.25,90.38,745.2,2024-09-02 14:15:00,3.87,0.29,0.08,0.5,0.35,0.24
